monster_name,pick,pick-perc,win,win-perc,leader,leader-perc,banned,banned-perc,first,first-perc,last,last-perc,1p-win,1p-win-perc,5p-win,5p-win-perc,user,monster,opp_pick,opp_pick-perc,opp_win,opp_win-perc,opp_leader,opp_leader-perc,opp_banned,opp_banned-perc,opp_first,opp_first-perc,opp_last,opp_last-perc,opp_1p-win,opp_1p-win-perc,opp_5p-win,opp_5p-win-perc
Okeanos,38,80.9,26,68.4,6,15.8,1,2.6,16,42.1,0,0.0,11,68.8,0,0.0,<--,Okeanos,9,19.1,3,33.3,0,0.0,4,44.4,5,55.6,0,0.0,4,80.0,0,0.0
Cheongpung,46,97.9,28,60.9,0,0.0,6,13.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Cheongpung,1,2.1,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Wolyung,45,95.7,28,62.2,26,57.8,17,37.8,1,2.2,0,0.0,1,100.0,0,0.0,<--,Wolyung,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Vigor,19,40.4,10,52.6,0,0.0,1,5.3,0,0.0,0,0.0,0,0.0,0,0.0,<--,Vigor,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Pater,24,51.1,16,66.7,0,0.0,4,16.7,0,0.0,3,12.5,0,0.0,3,100.0,<--,Pater,3,6.4,1,33.3,0,0.0,1,33.3,0,0.0,0,0.0,0,0.0,0,0.0
Seara,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Seara,26,55.3,15,57.7,18,69.2,3,11.5,11,42.3,0,0.0,2,18.2,0,0.0
Barbara,1,2.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Barbara,12,25.5,7,58.3,0,0.0,3,25.0,0,0.0,1,8.3,0,0.0,0,0.0
Masha,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Masha,5,10.6,4,80.0,0,0.0,2,40.0,0,0.0,0,0.0,0,0.0,0,0.0
Rica,8,17.0,5,62.5,2,25.0,3,37.5,0,0.0,6,75.0,0,0.0,3,50.0,<--,Rica,3,6.4,2,66.7,0,0.0,1,33.3,0,0.0,1,33.3,0,0.0,0,0.0
Chiwu,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Chiwu,12,25.5,9,75.0,3,25.0,3,25.0,2,16.7,0,0.0,1,50.0,0,0.0
Han,17,36.2,10,58.8,6,35.3,4,23.5,3,17.6,2,11.8,1,33.3,2,100.0,<--,Han,3,6.4,2,66.7,0,0.0,2,66.7,0,0.0,0,0.0,0,0.0,0,0.0
Verdehile,6,12.8,5,83.3,0,0.0,3,50.0,0,0.0,3,50.0,0,0.0,2,66.7,<--,Verdehile,7,14.9,4,57.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
