battle_#,win_loss,p1,p2,p3,p4,p5,first,last,leader,banned,opp_p1,opp_p2,opp_p3,opp_p4,opp_p5,opp_first,opp_last,opp_leader,opp_banned,date_added,player,opponent
0,True,Seara,Loren,Barbara,Verdehile,Daphnis,Seara,None,Seara,Daphnis,Fran,Vereesa/DarkCHUN-LI1,Yeonhong,Narsha,SonZhangLao,None,Narsha,Yeonhong,SonZhangLao,2021-01-08 01:24:57,The･ROCK!!,dYU1994
1,True,Seara,Fran,Molly,Juno,Akroma,None,Juno,Seara,Akroma,Okeanos,Ganymede,Chiwu,Vigor,Oberon,Okeanos,None,Chiwu,Oberon,2021-01-08 00:38:15,The･ROCK!!,SaPyn
2,True,Seara,Fran,Daphnis,Verdehile,Loren,Seara,None,Seara,Loren,MoLong,Velajuel,Taranys,Triana,Ragdoll,None,Triana,MoLong,Ragdoll,2021-01-08 00:34:43,The･ROCK!!,KTM''
3,True,Loren,Verdehile,Daphnis,Savannah,Fran,None,Savannah,Daphnis,Fran,Seara,Okeanos,Vigor,Barbara,Chiwu,Seara,None,Seara,Chiwu,2021-01-09 11:10:29,The･ROCK!!,白馒头+黑木耳
4,True,Seara,Juno,Akroma,MeiHouWang,Molly,Seara,None,Seara,Molly,Okeanos,Giana,Abellio,Vigor,Nephthys,None,Vigor,Giana,Nephthys,2021-01-09 10:24:35,The･ROCK!!,程式設計師
5,True,Seara,Loren,Verdehile,Daphnis,Fran,None,Daphnis,Seara,Fran,Vigor,XingZhe,Velajuel,Antares,Rica,Vigor,None,Antares,Rica,2021-01-09 10:19:40,The･ROCK!!,サナトス
6,True,Fran,Barbara,Chiwu,Mina,Vanessa,None,Mina,Chiwu,Vanessa,Bastet,Daphnis,Juno,Elucia,Seara,Seara,None,Bastet,Seara,2021-01-09 01:29:43,The･ROCK!!,-Tnnnn-_
7,True,Vanessa,Fran,Molly,MeiHouWang,Juno,None,MeiHouWang,Vanessa,Juno,Seara,Giana,Okeanos,Artamiel,Vigor,Seara,None,Seara,Vigor,2021-01-09 01:22:16,The･ROCK!!,서빈마마
8,True,Vanessa,Fran,Molly,MeiHouWang,Akroma,None,MeiHouWang,Vanessa,Akroma,Seara,Barbara,Okeanos,Daphnis,Vigor,Seara,None,Seara,Vigor,2021-01-09 01:04:18,The･ROCK!!,|SDF|Cpg
9,True,Seara,Daphnis,Chiwu,Savannah,Taranys,None,Taranys,Chiwu,Taranys,Bastet,Leo,Lucifer,Trinity,Lushen,Bastet,None,Lucifer,Lushen,2021-01-09 01:02:14,The･ROCK!!,チンクロ率400%
