#,server_id,country,wizard_name,rtpvp_score,win_count,lose_count,draw_count,rank,total_battles,win-perc,timestamp
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 13:39:13.723483
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:08:20.514667
84,2,VA,The･ROCK!!,1465,56,26,0,85,82,0.6829268292682921,2021-01-08 21:49:58.690040
84,2,VA,The･ROCK!!,1465,56,26,0,85,82,0.6829268292682921,2021-01-08 23:21:39.109711
84,2,VA,The･ROCK!!,1465,56,26,0,85,82,0.6829268292682921,2021-01-08 23:21:46.394143
75,2,VA,The･ROCK!!,1472,57,26,0,75,83,0.6867469879518071,2021-01-09 11:20:08.468961
75,2,VA,The･ROCK!!,1472,57,26,0,75,83,0.6867469879518071,2021-01-09 15:20:45.570427
75,2,VA,The･ROCK!!,1472,57,26,0,75,83,0.6867469879518071,2021-01-09 20:50:25.174567
26,2,VA,The･ROCK!!,1528,80,37,0,27,117,0.6837606837606831,2021-01-09 22:19:55.992598
26,2,VA,The･ROCK!!,1528,80,37,0,27,117,0.6837606837606831,2021-01-09 22:19:56.472035
26,2,VA,The･ROCK!!,1528,80,37,0,27,117,0.6837606837606831,2021-01-10 17:08:57.452826
26,2,VA,The･ROCK!!,1528,80,37,0,27,117,0.6837606837606831,2021-01-10 17:08:57.908859
