monster_name,pick,pick-perc,win,win-perc,leader,leader-perc,banned,banned-perc,first,first-perc,last,last-perc,1p-win,1p-win-perc,5p-win,5p-win-perc,user,monster,opp_pick,opp_pick-perc,opp_win,opp_win-perc,opp_leader,opp_leader-perc,opp_banned,opp_banned-perc,opp_first,opp_first-perc,opp_last,opp_last-perc,opp_1p-win,opp_1p-win-perc,opp_5p-win,opp_5p-win-perc
Seara,35,87.5,27,77.1,26,74.3,8,22.9,17,48.6,0,0.0,11,64.7,0,0.0,<--,Seara,5,12.5,4,80.0,2,40.0,2,40.0,3,60.0,0,0.0,1,33.3,0,0.0
Eshir,15,37.5,12,80.0,0,0.0,2,13.3,2,13.3,1,6.7,1,50.0,1,100.0,<--,Eshir,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Barbara,17,42.5,14,82.4,0,0.0,2,11.8,0,0.0,1,5.9,0,0.0,1,100.0,<--,Barbara,3,7.5,3,100.0,0,0.0,1,33.3,0,0.0,0,0.0,0,0.0,0,0.0
Miho,2,5.0,2,100.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Miho,1,2.5,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,1,100.0
Antares,1,2.5,1,100.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Antares,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Fran,6,15.0,5,83.3,0,0.0,3,50.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Fran,17,42.5,12,70.6,11,64.7,1,5.9,5,29.4,0,0.0,0,0.0,0,0.0
Okeanos,25,62.5,21,84.0,1,4.0,4,16.0,2,8.0,0,0.0,2,100.0,0,0.0,<--,Okeanos,13,32.5,9,69.2,1,7.7,2,15.4,4,30.8,0,0.0,1,25.0,0,0.0
Diana,4,10.0,4,100.0,0,0.0,0,0.0,0,0.0,1,25.0,0,0.0,1,100.0,<--,Diana,4,10.0,4,100.0,0,0.0,2,50.0,0,0.0,1,25.0,0,0.0,0,0.0
Loren,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Loren,3,7.5,2,66.7,0,0.0,1,33.3,0,0.0,1,33.3,0,0.0,1,100.0
Sian,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Sian,3,7.5,3,100.0,0,0.0,2,66.7,0,0.0,1,33.3,0,0.0,0,0.0
Lulu,7,17.5,6,85.7,0,0.0,1,14.3,0,0.0,0,0.0,0,0.0,0,0.0,<--,Lulu,6,15.0,4,66.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Shushu,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Shushu,1,2.5,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Josephine,4,10.0,3,75.0,0,0.0,3,75.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Josephine,2,5.0,2,100.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Juno,11,27.5,7,63.6,3,27.3,1,9.1,0,0.0,3,27.3,0,0.0,3,100.0,<--,Juno,5,12.5,5,100.0,0,0.0,1,20.0,0,0.0,2,40.0,0,0.0,0,0.0
XingZhe,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,XingZhe,4,10.0,2,50.0,2,50.0,2,50.0,0,0.0,0,0.0,0,0.0,0,0.0
Verdehile,11,27.5,8,72.7,0,0.0,0,0.0,0,0.0,2,18.2,0,0.0,2,100.0,<--,Verdehile,3,7.5,3,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Savannah,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Savannah,5,12.5,5,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Elucia,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Elucia,2,5.0,1,50.0,0,0.0,0,0.0,0,0.0,1,50.0,0,0.0,0,0.0
Giana,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Giana,11,27.5,9,81.8,1,9.1,2,18.2,1,9.1,0,0.0,0,0.0,0,0.0
Belial,2,5.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Belial,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Daphnis,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Daphnis,3,7.5,1,33.3,1,33.3,1,33.3,0,0.0,2,66.7,0,0.0,1,50.0
Vigor,7,17.5,4,57.1,0,0.0,1,14.3,0,0.0,0,0.0,0,0.0,0,0.0,<--,Vigor,10,25.0,7,70.0,0,0.0,2,20.0,0,0.0,1,10.0,0,0.0,1,100.0
Icares,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Icares,1,2.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Artamiel,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Artamiel,3,7.5,2,66.7,2,66.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Masha,10,25.0,8,80.0,0,0.0,2,20.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Masha,1,2.5,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Tetra,2,5.0,2,100.0,0,0.0,2,100.0,0,0.0,2,100.0,0,0.0,2,100.0,<--,Tetra,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Konamiya,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Konamiya,2,5.0,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Praha,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Praha,2,5.0,2,100.0,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Ganymede,8,20.0,5,62.5,2,25.0,0,0.0,0,0.0,1,12.5,0,0.0,1,100.0,<--,Ganymede,5,12.5,4,80.0,3,60.0,0,0.0,1,20.0,0,0.0,0,0.0,0,0.0
Ethna,5,12.5,4,80.0,1,20.0,1,20.0,0,0.0,2,40.0,0,0.0,2,100.0,<--,Ethna,3,7.5,2,66.7,1,33.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Cheongpung,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Cheongpung,6,15.0,5,83.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
