monster_name,pick,pick-perc,win,win-perc,leader,leader-perc,banned,banned-perc,first,first-perc,last,last-perc,1p-win,1p-win-perc,5p-win,5p-win-perc,user,monster,opp_pick,opp_pick-perc,opp_win,opp_win-perc,opp_leader,opp_leader-perc,opp_banned,opp_banned-perc,opp_first,opp_first-perc,opp_last,opp_last-perc,opp_1p-win,opp_1p-win-perc,opp_5p-win,opp_5p-win-perc
Okeanos,58,75.3,39,67.2,6,10.3,9,15.5,33,56.9,0,0.0,23,69.7,0,0.0,<--,Okeanos,15,19.5,9,60.0,4,26.7,2,13.3,13,86.7,0,0.0,5,38.5,0,0.0
Fran,17,22.1,10,58.8,6,35.3,5,29.4,0,0.0,0,0.0,0,0.0,0,0.0,<--,Fran,20,26.0,14,70.0,6,30.0,2,10.0,1,5.0,0,0.0,0,0.0,0,0.0
Vigor,24,31.2,14,58.3,0,0.0,1,4.2,0,0.0,2,8.3,0,0.0,1,50.0,<--,Vigor,9,11.7,4,44.4,0,0.0,2,22.2,0,0.0,0,0.0,0,0.0,0,0.0
Daphnis,11,14.3,8,72.7,1,9.1,3,27.3,0,0.0,1,9.1,0,0.0,1,100.0,<--,Daphnis,6,7.8,5,83.3,1,16.7,2,33.3,0,0.0,0,0.0,0,0.0,0,0.0
Odin,13,16.9,8,61.5,0,0.0,7,53.8,0,0.0,1,7.7,0,0.0,0,0.0,<--,Odin,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Molly,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Molly,17,22.1,10,58.8,0,0.0,5,29.4,5,29.4,0,0.0,2,40.0,0,0.0
Ragdoll,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Ragdoll,12,15.6,5,41.7,0,0.0,1,8.3,0,0.0,0,0.0,0,0.0,0,0.0
Velajuel,7,9.1,3,42.9,1,14.3,4,57.1,0,0.0,2,28.6,0,0.0,1,50.0,<--,Velajuel,7,9.1,3,42.9,1,14.3,1,14.3,0,0.0,1,14.3,0,0.0,1,100.0
XingZhe,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,XingZhe,7,9.1,4,57.1,3,42.9,3,42.9,0,0.0,2,28.6,0,0.0,0,0.0
Juno,11,14.3,6,54.5,1,9.1,2,18.2,0,0.0,2,18.2,0,0.0,2,100.0,<--,Juno,10,13.0,7,70.0,1,10.0,3,30.0,0,0.0,1,10.0,0,0.0,0,0.0
Cheongpung,47,61.0,33,70.2,2,4.3,6,12.8,0,0.0,0,0.0,0,0.0,0,0.0,<--,Cheongpung,9,11.7,6,66.7,0,0.0,1,11.1,1,11.1,0,0.0,0,0.0,0,0.0
Ethna,10,13.0,6,60.0,2,20.0,1,10.0,0,0.0,2,20.0,0,0.0,2,100.0,<--,Ethna,8,10.4,8,100.0,0,0.0,1,12.5,0,0.0,2,25.0,0,0.0,0,0.0
Yeonhong,31,40.3,20,64.5,14,45.2,4,12.9,0,0.0,4,12.9,0,0.0,2,50.0,<--,Yeonhong,4,5.2,2,50.0,0,0.0,1,25.0,0,0.0,0,0.0,0,0.0,0,0.0
Kahn,2,2.6,2,100.0,0,0.0,1,50.0,0,0.0,1,50.0,0,0.0,1,100.0,<--,Kahn,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Seara,30,39.0,18,60.0,24,80.0,4,13.3,1,3.3,0,0.0,0,0.0,0,0.0,<--,Seara,34,44.2,22,64.7,23,67.6,3,8.8,14,41.2,0,0.0,5,35.7,0,0.0
Antares,1,1.3,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Antares,3,3.9,2,66.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Verdehile,5,6.5,2,40.0,0,0.0,3,60.0,0,0.0,2,40.0,0,0.0,1,50.0,<--,Verdehile,18,23.4,12,66.7,0,0.0,8,44.4,0,0.0,5,27.8,0,0.0,2,40.0
Chiwu,12,15.6,10,83.3,4,33.3,6,50.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Chiwu,19,24.7,15,78.9,8,42.1,4,21.1,2,10.5,1,5.3,0,0.0,0,0.0
Savannah,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Savannah,12,15.6,7,58.3,0,0.0,1,8.3,0,0.0,3,25.0,0,0.0,1,33.3
ShiHou,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,ShiHou,2,2.6,0,0.0,0,0.0,1,50.0,0,0.0,1,50.0,0,0.0,1,100.0
Chris,6,7.8,6,100.0,0,0.0,1,16.7,0,0.0,3,50.0,0,0.0,3,100.0,<--,Chris,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Josephine,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Josephine,2,2.6,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
