#,server_id,country,wizard_name,rtpvp_score,win_count,lose_count,draw_count,rank,total_battles,win-perc,timestamp
8,6,BT,VanessaPlease~,1464,59,25,0,9,84,0.7023809523809521,2021-01-06 14:35:26.148568
8,6,BT,VanessaPlease~,1464,59,25,0,9,84,0.7023809523809521,2021-01-06 14:56:08.925672
8,6,BT,VanessaPlease~,1464,59,25,0,9,84,0.7023809523809521,2021-01-06 17:51:39.045251
8,6,BT,VanessaPlease~,1464,59,25,0,9,84,0.7023809523809521,2021-01-06 18:40:01.069336
8,6,BT,VanessaPlease~,1464,59,25,0,9,84,0.7023809523809521,2021-01-06 21:50:21.794470
4,6,BT,VanessaPlease~,1501,65,25,0,5,90,0.7222222222222221,2021-01-07 02:04:06.386215
4,6,BT,VanessaPlease~,1501,65,25,0,5,90,0.7222222222222221,2021-01-07 02:04:07.329690
4,6,BT,VanessaPlease~,1501,65,25,0,5,90,0.7222222222222221,2021-01-07 02:42:40.605102
4,6,BT,VanessaPlease~,1501,65,25,0,5,90,0.7222222222222221,2021-01-07 02:42:41.543912
4,6,BT,VanessaPlease~,1501,65,25,0,5,90,0.7222222222222221,2021-01-07 03:27:26.780277
4,6,BT,VanessaPlease~,1501,65,25,0,5,90,0.7222222222222221,2021-01-07 03:27:28.335492
5,6,BT,VanessaPlease~,1501,65,25,0,6,90,0.7222222222222221,2021-01-07 03:48:34.929139
5,6,BT,VanessaPlease~,1501,65,25,0,6,90,0.7222222222222221,2021-01-07 03:48:36.363113
5,6,BT,VanessaPlease~,1501,65,25,0,6,90,0.7222222222222221,2021-01-07 03:48:36.754059
5,6,BT,VanessaPlease~,1501,65,25,0,6,90,0.7222222222222221,2021-01-07 13:39:11.588184
5,6,BT,VanessaPlease~,1501,65,25,0,6,90,0.7222222222222221,2021-01-07 13:39:13.057846
5,6,BT,VanessaPlease~,1501,65,25,0,6,90,0.7222222222222221,2021-01-07 13:39:13.465224
42,6,BT,VanessaPlease~,1464,81,39,0,43,120,0.675,2021-01-08 01:08:18.110282
42,6,BT,VanessaPlease~,1464,81,39,0,43,120,0.675,2021-01-08 01:08:19.789208
42,6,BT,VanessaPlease~,1464,81,39,0,43,120,0.675,2021-01-08 01:08:20.230179
42,6,BT,VanessaPlease~,1464,81,39,0,43,120,0.675,2021-01-08 01:08:21.082291
42,6,BT,VanessaPlease~,1464,81,39,0,43,120,0.675,2021-01-08 01:08:21.340880
18,6,BT,VanessaPlease~,1508,100,47,0,19,147,0.6802721088435371,2021-01-08 21:49:58.619560
18,6,BT,VanessaPlease~,1508,100,47,0,19,147,0.6802721088435371,2021-01-08 21:49:59.279621
18,6,BT,VanessaPlease~,1508,100,47,0,19,147,0.6802721088435371,2021-01-08 23:21:39.039915
18,6,BT,VanessaPlease~,1508,100,47,0,19,147,0.6802721088435371,2021-01-08 23:21:39.716504
18,6,BT,VanessaPlease~,1508,100,47,0,19,147,0.6802721088435371,2021-01-08 23:21:46.325170
18,6,BT,VanessaPlease~,1508,100,47,0,19,147,0.6802721088435371,2021-01-08 23:21:46.975099
21,6,BT,VanessaPlease~,1508,100,47,0,22,147,0.6802721088435371,2021-01-09 00:22:41.863761
21,6,BT,VanessaPlease~,1508,100,47,0,22,147,0.6802721088435371,2021-01-09 00:24:16.974860
21,6,BT,VanessaPlease~,1508,100,47,0,22,147,0.6802721088435371,2021-01-09 11:20:08.389149
21,6,BT,VanessaPlease~,1508,100,47,0,22,147,0.6802721088435371,2021-01-09 15:20:45.477254
21,6,BT,VanessaPlease~,1508,100,47,0,22,147,0.6802721088435371,2021-01-09 20:50:25.090311
32,6,BT,VanessaPlease~,1522,119,57,0,33,176,0.6761363636363631,2021-01-09 22:19:55.897922
32,6,BT,VanessaPlease~,1522,119,57,0,33,176,0.6761363636363631,2021-01-09 22:19:56.911143
32,6,BT,VanessaPlease~,1522,119,57,0,33,176,0.6761363636363631,2021-01-10 17:08:57.361881
32,6,BT,VanessaPlease~,1522,119,57,0,33,176,0.6761363636363631,2021-01-10 17:08:58.320339
