monster_name,pick,pick-perc,win,win-perc,leader,leader-perc,banned,banned-perc,first,first-perc,last,last-perc,1p-win,1p-win-perc,5p-win,5p-win-perc,user,monster,opp_pick,opp_pick-perc,opp_win,opp_win-perc,opp_leader,opp_leader-perc,opp_banned,opp_banned-perc,opp_first,opp_first-perc,opp_last,opp_last-perc,opp_1p-win,opp_1p-win-perc,opp_5p-win,opp_5p-win-perc
Seara,60,80.0,41,68.3,47,78.3,9,15.0,44,73.3,0,0.0,29,65.9,0,0.0,<--,Seara,13,17.3,10,76.9,6,46.2,5,38.5,12,92.3,0,0.0,3,25.0,0,0.0
Juno,55,73.3,41,74.5,0,0.0,8,14.5,0,0.0,0,0.0,0,0.0,0,0.0,<--,Juno,2,2.7,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Molly,63,84.0,45,71.4,0,0.0,13,20.6,0,0.0,0,0.0,0,0.0,0,0.0,<--,Molly,9,12.0,5,55.6,0,0.0,5,55.6,2,22.2,0,0.0,2,100.0,0,0.0
Jager,47,62.7,34,72.3,12,25.5,6,12.8,0,0.0,3,6.4,0,0.0,3,100.0,<--,Jager,1,1.3,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Leo,11,14.7,8,72.7,0,0.0,6,54.5,0,0.0,2,18.2,0,0.0,2,100.0,<--,Leo,4,5.3,3,75.0,2,50.0,1,25.0,0,0.0,1,25.0,0,0.0,0,0.0
Okeanos,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Okeanos,43,57.3,34,79.1,14,32.6,5,11.6,10,23.3,0,0.0,2,20.0,0,0.0
Chiwu,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Chiwu,9,12.0,7,77.8,6,66.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Savannah,17,22.7,12,70.6,0,0.0,2,11.8,0,0.0,2,11.8,0,0.0,2,100.0,<--,Savannah,9,12.0,6,66.7,0,0.0,3,33.3,0,0.0,0,0.0,0,0.0,0,0.0
Vanessa,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Vanessa,7,9.3,6,85.7,7,100.0,0,0.0,2,28.6,0,0.0,1,50.0,0,0.0
Masha,1,1.3,1,100.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Masha,11,14.7,7,63.6,0,0.0,3,27.3,0,0.0,1,9.1,0,0.0,1,100.0
Fran,32,42.7,22,68.8,8,25.0,7,21.9,0,0.0,2,6.2,0,0.0,2,100.0,<--,Fran,19,25.3,12,63.2,6,31.6,1,5.3,1,5.3,1,5.3,0,0.0,0,0.0
Vigor,17,22.7,12,70.6,0,0.0,5,29.4,0,0.0,3,17.6,0,0.0,3,100.0,<--,Vigor,21,28.0,15,71.4,0,0.0,5,23.8,0,0.0,1,4.8,0,0.0,0,0.0
Beelzebub,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Beelzebub,3,4.0,3,100.0,1,33.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Triana,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Triana,8,10.7,6,75.0,0,0.0,1,12.5,0,0.0,2,25.0,0,0.0,0,0.0
Giana,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Giana,7,9.3,7,100.0,0,0.0,3,42.9,0,0.0,0,0.0,0,0.0,0,0.0
Mina,2,2.7,1,50.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Mina,1,1.3,0,0.0,0,0.0,1,100.0,0,0.0,1,100.0,0,0.0,1,100.0
