#,server_id,country,wizard_name,rtpvp_score,win_count,lose_count,draw_count,rank,total_battles,win-perc,timestamp
87,6,FI,Viilipytty,1358,40,20,0,86,60,0.6666666666666661,2021-01-05 19:43:23.374683
87,6,FI,Viilipytty,1358,40,20,0,86,60,0.6666666666666661,2021-01-05 19:43:23.507433
87,6,FI,Viilipytty,1358,40,20,0,86,60,0.6666666666666661,2021-01-05 19:43:23.518777
87,6,FI,Viilipytty,1358,40,20,0,86,60,0.6666666666666661,2021-01-05 19:43:23.651295
87,6,FI,Viilipytty,1358,40,20,0,86,60,0.6666666666666661,2021-01-05 19:43:23.770408
87,6,FI,Viilipytty,1358,40,20,0,86,60,0.6666666666666661,2021-01-05 19:43:23.901731
87,6,FI,Viilipytty,1358,40,20,0,86,60,0.6666666666666661,2021-01-05 19:43:24.031860
87,6,FI,Viilipytty,1358,40,20,0,86,60,0.6666666666666661,2021-01-05 19:43:24.043371
87,6,FI,Viilipytty,1358,40,20,0,86,60,0.6666666666666661,2021-01-05 19:43:24.156153
87,6,FI,Viilipytty,1358,40,20,0,86,60,0.6666666666666661,2021-01-05 19:43:24.168511
