monster_name,pick,pick-perc,win,win-perc,leader,leader-perc,banned,banned-perc,first,first-perc,last,last-perc,1p-win,1p-win-perc,5p-win,5p-win-perc,user,monster,opp_pick,opp_pick-perc,opp_win,opp_win-perc,opp_leader,opp_leader-perc,opp_banned,opp_banned-perc,opp_first,opp_first-perc,opp_last,opp_last-perc,opp_1p-win,opp_1p-win-perc,opp_5p-win,opp_5p-win-perc
Tablo,24,30.0,17,70.8,10,41.7,7,29.2,0,0.0,1,4.2,0,0.0,1,100.0,<--,Tablo,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Barbara,12,15.0,9,75.0,0,0.0,3,25.0,0,0.0,1,8.3,0,0.0,1,100.0,<--,Barbara,13,16.2,9,69.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Psamathe,2,2.5,1,50.0,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Psamathe,5,6.2,3,60.0,5,100.0,0,0.0,0,0.0,2,40.0,0,0.0,1,50.0
Savannah,29,36.2,17,58.6,0,0.0,2,6.9,0,0.0,2,6.9,0,0.0,0,0.0,<--,Savannah,14,17.5,6,42.9,0,0.0,1,7.1,0,0.0,0,0.0,0,0.0,0,0.0
Eshir,32,40.0,20,62.5,0,0.0,10,31.2,1,3.1,4,12.5,1,100.0,2,50.0,<--,Eshir,1,1.2,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Wolyung,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Wolyung,3,3.8,2,66.7,2,66.7,1,33.3,1,33.3,0,0.0,1,100.0,0,0.0
Okeanos,56,70.0,31,55.4,4,7.1,7,12.5,24,42.9,0,0.0,12,50.0,0,0.0,<--,Okeanos,23,28.7,12,52.2,1,4.3,5,21.7,11,47.8,0,0.0,5,45.5,0,0.0
Shimitae,4,5.0,2,50.0,2,50.0,0,0.0,0,0.0,1,25.0,0,0.0,1,100.0,<--,Shimitae,2,2.5,2,100.0,0,0.0,1,50.0,0,0.0,1,50.0,0,0.0,0,0.0
Leah/LightCHUN-LI1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Leah/LightCHUN-LI1,1,1.2,1,100.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0
Bernard,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Bernard,1,1.2,1,100.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0
Shan,21,26.2,12,57.1,2,9.5,3,14.3,0,0.0,4,19.0,0,0.0,3,75.0,<--,Shan,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Seara,41,51.2,22,53.7,31,75.6,9,22.0,19,46.3,0,0.0,10,52.6,0,0.0,<--,Seara,26,32.5,14,53.8,18,69.2,6,23.1,9,34.6,0,0.0,4,44.4,0,0.0
Ganymede,7,8.8,3,42.9,2,28.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Ganymede,17,21.2,10,58.8,2,11.8,0,0.0,0,0.0,1,5.9,0,0.0,1,100.0
Moore/WaterRYU1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Moore/WaterRYU1,9,11.2,3,33.3,1,11.1,1,11.1,0,0.0,2,22.2,0,0.0,2,100.0
Juno,12,15.0,7,58.3,0,0.0,8,66.7,0,0.0,3,25.0,0,0.0,1,33.3,<--,Juno,11,13.8,6,54.5,2,18.2,1,9.1,0,0.0,1,9.1,0,0.0,0,0.0
XingZhe,20,25.0,13,65.0,7,35.0,2,10.0,0,0.0,3,15.0,0,0.0,2,66.7,<--,XingZhe,7,8.8,2,28.6,2,28.6,1,14.3,0,0.0,0,0.0,0,0.0,0,0.0
Praha,36,45.0,15,41.7,2,5.6,11,30.6,0,0.0,2,5.6,0,0.0,0,0.0,<--,Praha,2,2.5,2,100.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Giana,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Giana,15,18.8,6,40.0,1,6.7,6,40.0,0,0.0,1,6.7,0,0.0,1,100.0
Molly,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Molly,10,12.5,4,40.0,0,0.0,0,0.0,3,30.0,0,0.0,2,66.7,0,0.0
Yeonhong,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Yeonhong,2,2.5,2,100.0,0,0.0,0,0.0,0,0.0,1,50.0,0,0.0,0,0.0
Jager,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Jager,3,3.8,1,33.3,2,66.7,1,33.3,0,0.0,0,0.0,0,0.0,0,0.0
Bastet,11,13.8,4,36.4,2,18.2,3,27.3,0,0.0,1,9.1,0,0.0,0,0.0,<--,Bastet,2,2.5,2,100.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Velajuel,1,1.2,1,100.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,1,100.0,<--,Velajuel,8,10.0,3,37.5,0,0.0,1,12.5,1,12.5,1,12.5,0,0.0,0,0.0
Taranys,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Taranys,2,2.5,1,50.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0
Diana,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Diana,5,6.2,2,40.0,0,0.0,2,40.0,0,0.0,3,60.0,0,0.0,2,66.7
FengYan,3,3.8,1,33.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,FengYan,3,3.8,2,66.7,0,0.0,3,100.0,0,0.0,3,100.0,0,0.0,1,33.3
Douglas/FireRYU1,4,5.0,2,50.0,0,0.0,1,25.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Douglas/FireRYU1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Chiwu,11,13.8,6,54.5,6,54.5,2,18.2,0,0.0,0,0.0,0,0.0,0,0.0,<--,Chiwu,16,20.0,10,62.5,7,43.8,5,31.2,3,18.8,0,0.0,0,0.0,0,0.0
Cheongpung,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Cheongpung,10,12.5,8,80.0,1,10.0,4,40.0,0,0.0,1,10.0,0,0.0,0,0.0
Rica,3,3.8,2,66.7,0,0.0,0,0.0,0,0.0,3,100.0,0,0.0,2,66.7,<--,Rica,12,15.0,8,66.7,1,8.3,5,41.7,0,0.0,6,50.0,0,0.0,3,50.0
