battle_#,win_loss,p1,p2,p3,p4,p5,first,last,leader,banned,opp_p1,opp_p2,opp_p3,opp_p4,opp_p5,opp_first,opp_last,opp_leader,opp_banned,date_added,player,opponent
0,True,Okeanos,Bastet,Poseidon,Lushen,Gemini,Okeanos,None,Poseidon,Gemini,Seara,Molly,Lydia,Miho,Juno,None,Miho,Seara,Juno,2021-01-07 04:32:35,XカブレラX,VanessaPlease~
1,True,Bastet,Shimitae,Triton,Psamathe,Okeanos,Okeanos,None,Psamathe,Okeanos,Cheongpung,Vanessa,Gemini,Diana,Barbara,None,Diana,Vanessa,Barbara,2021-01-07 04:30:19,XカブレラX,DDSquirtle
2,True,Okeanos,Bastet,Shimitae,Savannah,Verdehile,Okeanos,None,Shimitae,Verdehile,Barbara,Vanessa,Triton,Seara,Cheongpung,None,Seara,Vanessa,Cheongpung,2021-01-07 04:25:47,XカブレラX,DDSquirtle
3,True,Okeanos,Bastet,Shimitae,Tablo,Gemini,Okeanos,None,Shimitae,Gemini,Barbara,TianLang,Fran,Miho,Vanessa,None,Miho,Fran,Vanessa,2021-01-07 04:22:48,XカブレラX,♧Mr.Bean♤
4,True,Okeanos,Bastet,Shimitae,Gemini,Tablo,Okeanos,None,Shimitae,Tablo,Fran,TianLang,Barbara,Miho,Vanessa,None,Miho,Fran,Vanessa,2021-01-07 04:20:35,XカブレラX,♧Mr.Bean♤
5,True,Bastet,Okeanos,Lushen,Gemini,Poseidon,None,Gemini,Okeanos,Poseidon,Seara,Molly,Juno,Taranys,Verdehile,Seara,None,Seara,Verdehile,2021-01-07 04:02:20,XカブレラX,VD][Daijantai
6,False,Okeanos,Bastet,Shimitae,Bernadotte/KEN,Savannah,Okeanos,None,Shimitae,Savannah,Seara,Fran,Barbara,Vanessa,Leona,None,Leona,Vanessa,Leona,2021-01-07 03:58:43,XカブレラX,Mav’sprofile
7,False,Bastet,Okeanos,Tablo,Shimitae,Gemini,None,Gemini,Shimitae,Gemini,Giana,Cheongpung,Barbara,Beelzebub,Seara,Giana,None,Beelzebub,Seara,2021-01-07 03:54:03,XカブレラX,Mr.Vio~Rage
8,False,Bastet,Okeanos,Gemini,Shimitae,Lushen,None,Lushen,Shimitae,Lushen,Giana,Vanessa,Triana,Leo,Moore/WaterRYU1,Giana,None,Vanessa,Moore/WaterRYU1,2021-01-07 03:50:59,XカブレラX,o2loveo
9,False,Bastet,Shimitae,Triton,Miho,Poseidon,None,Miho,Shimitae,Poseidon,Okeanos,Chiwu,Savannah,Diana,Leo,Okeanos,None,Chiwu,Leo,2021-01-07 03:47:38,XカブレラX,Raxxaz~
10,True,Okeanos,Shimitae,Tablo,Gemini,Bastet,Okeanos,None,Shimitae,Bastet,Fran,Ethna,Sekhmet,Diana,Seara,None,Diana,Fran,Seara,2021-01-07 01:13:40,XカブレラX,[Wish]Clown®
