#,server_id,country,wizard_name,rtpvp_score,win_count,lose_count,draw_count,rank,total_battles,win-perc,timestamp
27,2,JP,XカブレラX,1424,75,45,0,28,120,0.625,2021-01-06 14:56:09.187542
27,2,JP,XカブレラX,1424,75,45,0,28,120,0.625,2021-01-06 14:56:09.199462
27,2,JP,XカブレラX,1424,75,45,0,28,120,0.625,2021-01-06 14:56:09.211430
27,2,JP,XカブレラX,1424,75,45,0,28,120,0.625,2021-01-06 14:56:09.411384
27,2,JP,XカブレラX,1424,75,45,0,28,120,0.625,2021-01-06 17:51:39.276555
27,2,JP,XカブレラX,1424,75,45,0,28,120,0.625,2021-01-06 17:51:39.287245
27,2,JP,XカブレラX,1424,75,45,0,28,120,0.625,2021-01-06 17:51:39.298274
27,2,JP,XカブレラX,1424,75,45,0,28,120,0.625,2021-01-06 17:51:39.484760
27,2,JP,XカブレラX,1424,75,45,0,28,120,0.625,2021-01-06 18:40:01.319379
27,2,JP,XカブレラX,1424,75,45,0,28,120,0.625,2021-01-06 18:40:01.330959
27,2,JP,XカブレラX,1424,75,45,0,28,120,0.625,2021-01-06 18:40:01.342929
27,2,JP,XカブレラX,1424,75,45,0,28,120,0.625,2021-01-06 18:40:01.539653
27,2,JP,XカブレラX,1424,75,45,0,28,120,0.625,2021-01-06 21:50:22.026502
27,2,JP,XカブレラX,1424,75,45,0,28,120,0.625,2021-01-06 21:50:22.038659
27,2,JP,XカブレラX,1424,75,45,0,28,120,0.625,2021-01-06 21:50:22.051003
27,2,JP,XカブレラX,1424,75,45,0,28,120,0.625,2021-01-06 21:50:22.236542
59,2,JP,XカブレラX,1424,75,45,0,60,120,0.625,2021-01-07 02:04:06.649213
59,2,JP,XカブレラX,1424,75,45,0,60,120,0.625,2021-01-07 02:04:06.660783
59,2,JP,XカブレラX,1424,75,45,0,60,120,0.625,2021-01-07 02:04:06.685524
59,2,JP,XカブレラX,1424,75,45,0,60,120,0.625,2021-01-07 02:04:06.851700
59,2,JP,XカブレラX,1424,75,45,0,60,120,0.625,2021-01-07 02:04:07.377833
59,2,JP,XカブレラX,1424,75,45,0,60,120,0.625,2021-01-07 02:42:40.884140
59,2,JP,XカブレラX,1424,75,45,0,60,120,0.625,2021-01-07 02:42:40.895422
59,2,JP,XカブレラX,1424,75,45,0,60,120,0.625,2021-01-07 02:42:40.918961
59,2,JP,XカブレラX,1424,75,45,0,60,120,0.625,2021-01-07 02:42:41.080754
59,2,JP,XカブレラX,1424,75,45,0,60,120,0.625,2021-01-07 02:42:41.591445
59,2,JP,XカブレラX,1424,75,45,0,60,120,0.625,2021-01-07 03:27:27.289957
59,2,JP,XカブレラX,1424,75,45,0,60,120,0.625,2021-01-07 03:27:27.301275
59,2,JP,XカブレラX,1424,75,45,0,60,120,0.625,2021-01-07 03:27:27.324674
59,2,JP,XカブレラX,1424,75,45,0,60,120,0.625,2021-01-07 03:27:27.653538
59,2,JP,XカブレラX,1424,75,45,0,60,120,0.625,2021-01-07 03:27:28.437571
64,2,JP,XカブレラX,1424,75,45,0,64,120,0.625,2021-01-07 03:48:35.395592
64,2,JP,XカブレラX,1424,75,45,0,64,120,0.625,2021-01-07 03:48:35.405785
64,2,JP,XカブレラX,1424,75,45,0,64,120,0.625,2021-01-07 03:48:35.427162
64,2,JP,XカブレラX,1424,75,45,0,64,120,0.625,2021-01-07 03:48:35.728592
64,2,JP,XカブレラX,1424,75,45,0,64,120,0.625,2021-01-07 03:48:36.456587
64,2,JP,XカブレラX,1424,75,45,0,64,120,0.625,2021-01-07 13:39:12.065709
64,2,JP,XカブレラX,1424,75,45,0,64,120,0.625,2021-01-07 13:39:12.076570
64,2,JP,XカブレラX,1424,75,45,0,64,120,0.625,2021-01-07 13:39:12.098931
64,2,JP,XカブレラX,1424,75,45,0,64,120,0.625,2021-01-07 13:39:12.411710
64,2,JP,XカブレラX,1424,75,45,0,64,120,0.625,2021-01-07 13:39:13.154484
64,2,JP,XカブレラX,1424,75,45,0,64,120,0.625,2021-01-07 13:39:13.924573
53,2,JP,XカブレラX,1457,93,57,0,53,150,0.62,2021-01-08 01:08:18.669784
53,2,JP,XカブレラX,1457,93,57,0,53,150,0.62,2021-01-08 01:08:18.682045
53,2,JP,XカブレラX,1457,93,57,0,53,150,0.62,2021-01-08 01:08:18.706955
53,2,JP,XカブレラX,1457,93,57,0,53,150,0.62,2021-01-08 01:08:19.056861
53,2,JP,XカブレラX,1457,93,57,0,53,150,0.62,2021-01-08 01:08:19.894511
53,2,JP,XカブレラX,1457,93,57,0,53,150,0.62,2021-01-08 01:08:20.736069
53,2,JP,XカブレラX,1457,93,57,0,53,150,0.62,2021-01-08 01:12:48.950532
53,2,JP,XカブレラX,1457,93,57,0,53,150,0.62,2021-01-08 01:13:11.304920
53,2,JP,XカブレラX,1457,93,57,0,53,150,0.62,2021-01-08 12:19:42.516178
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 21:49:58.299390
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 21:49:58.926377
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 21:49:58.944625
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 23:21:38.681067
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 23:21:39.340121
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 23:21:39.357954
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 23:21:46.004965
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 23:21:46.625616
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 23:21:46.643474
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-09 22:19:56.269755
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-10 17:08:57.715037
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-10 17:08:58.487119
