monster_name,pick,pick-perc,win,win-perc,leader,leader-perc,banned,banned-perc,first,first-perc,last,last-perc,1p-win,1p-win-perc,5p-win,5p-win-perc,user,monster,opp_pick,opp_pick-perc,opp_win,opp_win-perc,opp_leader,opp_leader-perc,opp_banned,opp_banned-perc,opp_first,opp_first-perc,opp_last,opp_last-perc,opp_1p-win,opp_1p-win-perc,opp_5p-win,opp_5p-win-perc
Okeanos,46,54.1,26,56.5,11,23.9,9,19.6,31,67.4,0,0.0,18,58.1,0,0.0,<--,Okeanos,27,31.8,11,40.7,2,7.4,3,11.1,19,70.4,0,0.0,12,63.2,0,0.0
Bastet,77,90.6,38,49.4,6,7.8,18,23.4,16,20.8,0,0.0,6,37.5,0,0.0,<--,Bastet,8,9.4,5,62.5,2,25.0,1,12.5,5,62.5,0,0.0,2,40.0,0,0.0
Poseidon,13,15.3,8,61.5,1,7.7,2,15.4,0,0.0,2,15.4,0,0.0,2,100.0,<--,Poseidon,1,1.2,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Lushen,4,4.7,3,75.0,0,0.0,1,25.0,0,0.0,1,25.0,0,0.0,0,0.0,<--,Lushen,4,4.7,2,50.0,0,0.0,1,25.0,0,0.0,0,0.0,0,0.0,0,0.0
Gemini,28,32.9,14,50.0,2,7.1,11,39.3,0,0.0,7,25.0,0,0.0,5,71.4,<--,Gemini,2,2.4,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Seara,13,15.3,8,61.5,3,23.1,1,7.7,0,0.0,1,7.7,0,0.0,0,0.0,<--,Seara,31,36.5,16,51.6,11,35.5,6,19.4,7,22.6,1,3.2,2,28.6,0,0.0
Molly,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Molly,13,15.3,8,61.5,0,0.0,1,7.7,0,0.0,0,0.0,0,0.0,0,0.0
Lydia,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Lydia,1,1.2,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Miho,9,10.6,4,44.4,0,0.0,2,22.2,0,0.0,2,22.2,0,0.0,1,50.0,<--,Miho,12,14.1,7,58.3,0,0.0,3,25.0,0,0.0,4,33.3,0,0.0,1,25.0
Juno,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Juno,14,16.5,6,42.9,1,7.1,3,21.4,0,0.0,4,28.6,0,0.0,4,100.0
Shimitae,56,65.9,25,44.6,39,69.6,5,8.9,0,0.0,0,0.0,0,0.0,0,0.0,<--,Shimitae,3,3.5,2,66.7,1,33.3,1,33.3,0,0.0,0,0.0,0,0.0,0,0.0
Triton,18,21.2,9,50.0,0,0.0,5,27.8,0,0.0,4,22.2,0,0.0,2,50.0,<--,Triton,4,4.7,1,25.0,0,0.0,1,25.0,0,0.0,2,50.0,0,0.0,2,100.0
Psamathe,8,9.4,3,37.5,6,75.0,2,25.0,0,0.0,3,37.5,0,0.0,1,33.3,<--,Psamathe,12,14.1,7,58.3,6,50.0,6,50.0,0,0.0,0,0.0,0,0.0,0,0.0
Cheongpung,13,15.3,5,38.5,1,7.7,2,15.4,0,0.0,0,0.0,0,0.0,0,0.0,<--,Cheongpung,9,10.6,5,55.6,0,0.0,1,11.1,0,0.0,0,0.0,0,0.0,0,0.0
Vanessa,18,21.2,10,55.6,9,50.0,8,44.4,0,0.0,2,11.1,0,0.0,0,0.0,<--,Vanessa,26,30.6,13,50.0,16,61.5,7,26.9,2,7.7,0,0.0,0,0.0,0,0.0
Diana,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Diana,10,11.8,4,40.0,0,0.0,1,10.0,0,0.0,2,20.0,0,0.0,0,0.0
Barbara,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Barbara,16,18.8,9,56.2,0,0.0,4,25.0,0,0.0,0,0.0,0,0.0,0,0.0
Savannah,17,20.0,10,58.8,0,0.0,2,11.8,0,0.0,2,11.8,0,0.0,2,100.0,<--,Savannah,8,9.4,4,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
