monster_name,pick,pick-perc,win,win-perc,leader,leader-perc,banned,banned-perc,first,first-perc,last,last-perc,1p-win,1p-win-perc,5p-win,5p-win-perc,user,monster,opp_pick,opp_pick-perc,opp_win,opp_win-perc,opp_leader,opp_leader-perc,opp_banned,opp_banned-perc,opp_first,opp_first-perc,opp_last,opp_last-perc,opp_1p-win,opp_1p-win-perc,opp_5p-win,opp_5p-win-perc
MoLong,47,100.0,26,55.3,28,59.6,3,6.4,21,44.7,0,0.0,14,66.7,0,0.0,<--,MoLong,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Okeanos,13,27.7,8,61.5,2,15.4,4,30.8,0,0.0,0,0.0,0,0.0,0,0.0,<--,Okeanos,15,31.9,7,46.7,3,20.0,3,20.0,3,20.0,1,6.7,2,66.7,0,0.0
Praha,6,12.8,3,50.0,0,0.0,0,0.0,0,0.0,3,50.0,0,0.0,1,33.3,<--,Praha,1,2.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Psamathe,6,12.8,6,100.0,2,33.3,1,16.7,0,0.0,3,50.0,0,0.0,3,100.0,<--,Psamathe,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Triana,18,38.3,8,44.4,0,0.0,3,16.7,0,0.0,2,11.1,0,0.0,1,50.0,<--,Triana,2,4.3,1,50.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0
Seara,16,34.0,9,56.2,9,56.2,2,12.5,0,0.0,1,6.2,0,0.0,0,0.0,<--,Seara,18,38.3,8,44.4,8,44.4,6,33.3,10,55.6,1,5.6,5,50.0,1,100.0
Vanessa,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Vanessa,3,6.4,1,33.3,3,100.0,0,0.0,1,33.3,0,0.0,1,100.0,0,0.0
Mina,1,2.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Mina,2,4.3,2,100.0,0,0.0,1,50.0,0,0.0,1,50.0,0,0.0,0,0.0
Laika,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Laika,3,6.4,2,66.7,1,33.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Bastet,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Bastet,8,17.0,7,87.5,0,0.0,7,87.5,1,12.5,0,0.0,0,0.0,0,0.0
Daphnis,11,23.4,6,54.5,1,9.1,2,18.2,0,0.0,1,9.1,0,0.0,1,100.0,<--,Daphnis,3,6.4,2,66.7,2,66.7,0,0.0,0,0.0,1,33.3,0,0.0,0,0.0
Racuni,6,12.8,2,33.3,0,0.0,1,16.7,0,0.0,2,33.3,0,0.0,0,0.0,<--,Racuni,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Giana,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Giana,7,14.9,3,42.9,0,0.0,2,28.6,0,0.0,0,0.0,0,0.0,0,0.0
Savannah,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Savannah,9,19.1,5,55.6,0,0.0,1,11.1,0,0.0,1,11.1,0,0.0,0,0.0
Tiana,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Tiana,4,8.5,2,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Ganymede,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Ganymede,10,21.3,4,40.0,3,30.0,2,20.0,0,0.0,2,20.0,0,0.0,0,0.0
Barbara,9,19.1,6,66.7,0,0.0,3,33.3,0,0.0,1,11.1,0,0.0,0,0.0,<--,Barbara,8,17.0,5,62.5,0,0.0,1,12.5,0,0.0,0,0.0,0,0.0,0,0.0
Verdehile,29,61.7,15,51.7,0,0.0,12,41.4,0,0.0,0,0.0,0,0.0,0,0.0,<--,Verdehile,2,4.3,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Taranys,6,12.8,4,66.7,0,0.0,1,16.7,0,0.0,0,0.0,0,0.0,0,0.0,<--,Taranys,7,14.9,4,57.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Harmonia,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Harmonia,3,6.4,3,100.0,0,0.0,1,33.3,0,0.0,0,0.0,0,0.0,0,0.0
Vigor,2,4.3,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Vigor,15,31.9,8,53.3,1,6.7,1,6.7,2,13.3,2,13.3,2,100.0,1,50.0
Juno,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Juno,4,8.5,2,50.0,1,25.0,0,0.0,0,0.0,1,25.0,0,0.0,0,0.0
Moore/WaterRYU1,7,14.9,4,57.1,2,28.6,3,42.9,0,0.0,0,0.0,0,0.0,0,0.0,<--,Moore/WaterRYU1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Leo,14,29.8,10,71.4,0,0.0,5,35.7,0,0.0,0,0.0,0,0.0,0,0.0,<--,Leo,5,10.6,3,60.0,1,20.0,1,20.0,0,0.0,2,40.0,0,0.0,2,100.0
Chiwu,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Chiwu,9,19.1,6,66.7,8,88.9,0,0.0,3,33.3,0,0.0,0,0.0,0,0.0
Cheongpung,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Cheongpung,8,17.0,1,12.5,0,0.0,3,37.5,1,12.5,0,0.0,1,100.0,0,0.0
Icares,7,14.9,3,42.9,0,0.0,0,0.0,0,0.0,1,14.3,0,0.0,1,100.0,<--,Icares,1,2.1,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Fran,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Fran,10,21.3,7,70.0,2,20.0,1,10.0,2,20.0,0,0.0,1,50.0,0,0.0
XingZhe,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,XingZhe,5,10.6,1,20.0,3,60.0,1,20.0,0,0.0,0,0.0,0,0.0,0,0.0
FengYan,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,FengYan,3,6.4,2,66.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Jeanne,4,8.5,2,50.0,3,75.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Jeanne,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Raki,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Raki,2,4.3,1,50.0,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Rica,1,2.1,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Rica,4,8.5,2,50.0,0,0.0,1,25.0,0,0.0,1,25.0,0,0.0,0,0.0
Miho,2,4.3,2,100.0,0,0.0,1,50.0,0,0.0,1,50.0,0,0.0,1,100.0,<--,Miho,1,2.1,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Kahli,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Kahli,1,2.1,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Shimitae,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Shimitae,1,2.1,1,100.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Chris,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Chris,1,2.1,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Gemini,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Gemini,1,2.1,1,100.0,0,0.0,1,100.0,0,0.0,1,100.0,0,0.0,0,0.0
Loren,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Loren,1,2.1,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Velajuel,2,4.3,0,0.0,0,0.0,2,100.0,0,0.0,1,50.0,0,0.0,0,0.0,<--,Velajuel,4,8.5,2,50.0,3,75.0,0,0.0,1,25.0,0,0.0,0,0.0,0,0.0
Hathor,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Hathor,5,10.6,2,40.0,0,0.0,5,100.0,1,20.0,1,20.0,1,100.0,1,100.0
Camilla,5,10.6,4,80.0,0,0.0,0,0.0,0,0.0,2,40.0,0,0.0,2,100.0,<--,Camilla,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Poseidon,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Poseidon,2,4.3,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
