#,server_id,country,wizard_name,rtpvp_score,win_count,lose_count,draw_count,rank,total_battles,win-perc,timestamp
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:27:26.311901
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:27:26.696163
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:27:26.924367
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:27:28.288585
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:48:34.522454
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:48:34.854262
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:48:35.059865
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:48:36.317047
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:48:36.712041
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 13:39:11.161481
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 13:39:11.508483
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 13:39:11.721855
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 13:39:13.014531
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 13:39:13.417936
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:08:17.622505
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:08:18.023792
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:08:18.256208
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:08:19.741541
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:08:20.182562
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:08:21.031983
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:08:21.289301
