monster_name,pick,pick-perc,win,win-perc,leader,leader-perc,banned,banned-perc,first,first-perc,last,last-perc,1p-win,1p-win-perc,5p-win,5p-win-perc,user,monster,opp_pick,opp_pick-perc,opp_win,opp_win-perc,opp_leader,opp_leader-perc,opp_banned,opp_banned-perc,opp_first,opp_first-perc,opp_last,opp_last-perc,opp_1p-win,opp_1p-win-perc,opp_5p-win,opp_5p-win-perc
Seara,80,87.9,41,51.2,44,55.0,20,25.0,47,58.8,0,0.0,25,53.2,0,0.0,<--,Seara,11,12.1,6,54.5,7,63.6,2,18.2,11,100.0,0,0.0,5,45.5,0,0.0
Ethna,18,19.8,13,72.2,3,16.7,4,22.2,0,0.0,2,11.1,0,0.0,1,50.0,<--,Ethna,3,3.3,1,33.3,2,66.7,1,33.3,0,0.0,2,66.7,0,0.0,1,50.0
Chow,9,9.9,5,55.6,1,11.1,0,0.0,0,0.0,1,11.1,0,0.0,1,100.0,<--,Chow,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Oberon,5,5.5,3,60.0,0,0.0,3,60.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Oberon,3,3.3,2,66.7,3,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Bastet,24,26.4,12,50.0,2,8.3,5,20.8,0,0.0,0,0.0,0,0.0,0,0.0,<--,Bastet,10,11.0,4,40.0,1,10.0,2,20.0,1,10.0,0,0.0,1,100.0,0,0.0
Fran,11,12.1,5,45.5,0,0.0,3,27.3,0,0.0,1,9.1,0,0.0,1,100.0,<--,Fran,30,33.0,18,60.0,8,26.7,4,13.3,0,0.0,0,0.0,0,0.0,0,0.0
Vigor,5,5.5,2,40.0,0,0.0,0,0.0,0,0.0,1,20.0,0,0.0,1,100.0,<--,Vigor,24,26.4,13,54.2,0,0.0,4,16.7,2,8.3,4,16.7,0,0.0,2,50.0
Molly,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Molly,14,15.4,8,57.1,0,0.0,4,28.6,6,42.9,0,0.0,2,33.3,0,0.0
Daphnis,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Daphnis,14,15.4,8,57.1,3,21.4,2,14.3,0,0.0,1,7.1,0,0.0,0,0.0
Jager,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Jager,4,4.4,2,50.0,0,0.0,1,25.0,0,0.0,0,0.0,0,0.0,0,0.0
Okeanos,60,65.9,34,56.7,7,11.7,10,16.7,0,0.0,0,0.0,0,0.0,0,0.0,<--,Okeanos,28,30.8,11,39.3,4,14.3,4,14.3,8,28.6,0,0.0,7,87.5,0,0.0
Laika,4,4.4,3,75.0,3,75.0,1,25.0,0,0.0,2,50.0,0,0.0,1,50.0,<--,Laika,2,2.2,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Tesarion,6,6.6,4,66.7,0,0.0,1,16.7,0,0.0,2,33.3,0,0.0,2,100.0,<--,Tesarion,1,1.1,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0
Verdehile,6,6.6,3,50.0,0,0.0,2,33.3,0,0.0,1,16.7,0,0.0,0,0.0,<--,Verdehile,11,12.1,7,63.6,0,0.0,3,27.3,0,0.0,1,9.1,0,0.0,0,0.0
Leo,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Leo,6,6.6,3,50.0,1,16.7,2,33.3,0,0.0,0,0.0,0,0.0,0,0.0
Vanessa,17,18.7,8,47.1,12,70.6,5,29.4,0,0.0,4,23.5,0,0.0,1,25.0,<--,Vanessa,9,9.9,6,66.7,7,77.8,2,22.2,0,0.0,1,11.1,0,0.0,1,100.0
Giana,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Giana,9,9.9,4,44.4,0,0.0,1,11.1,0,0.0,0,0.0,0,0.0,0,0.0
Velajuel,47,51.6,24,51.1,5,10.6,4,8.5,0,0.0,1,2.1,0,0.0,0,0.0,<--,Velajuel,4,4.4,3,75.0,1,25.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
