monster_name,pick,pick-perc,win,win-perc,leader,leader-perc,banned,banned-perc,first,first-perc,last,last-perc,1p-win,1p-win-perc,5p-win,5p-win-perc,user,monster,opp_pick,opp_pick-perc,opp_win,opp_win-perc,opp_leader,opp_leader-perc,opp_banned,opp_banned-perc,opp_first,opp_first-perc,opp_last,opp_last-perc,opp_1p-win,opp_1p-win-perc,opp_5p-win,opp_5p-win-perc
Fran,4,26.7,4,100.0,2,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Fran,9,60.0,6,66.7,8,88.9,0,0.0,4,44.4,0,0.0,0,0.0,0,0.0
Verdehile,13,86.7,10,76.9,0,0.0,1,7.7,0,0.0,0,0.0,0,0.0,0,0.0,<--,Verdehile,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Triana,4,26.7,3,75.0,0,0.0,1,25.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Triana,1,6.7,1,100.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0
Mina,7,46.7,6,85.7,0,0.0,0,0.0,0,0.0,4,57.1,0,0.0,4,100.0,<--,Mina,2,13.3,1,50.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0
Daphnis,11,73.3,9,81.8,4,36.4,4,36.4,0,0.0,1,9.1,0,0.0,1,100.0,<--,Daphnis,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Seara,14,93.3,11,78.6,9,64.3,5,35.7,6,42.9,0,0.0,3,50.0,0,0.0,<--,Seara,1,6.7,1,100.0,1,100.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0
Loren,11,73.3,8,72.7,0,0.0,1,9.1,0,0.0,0,0.0,0,0.0,0,0.0,<--,Loren,2,13.3,2,100.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0
Vigor,3,20.0,3,100.0,0,0.0,0,0.0,0,0.0,1,33.3,0,0.0,1,100.0,<--,Vigor,8,53.3,7,87.5,0,0.0,0,0.0,1,12.5,0,0.0,0,0.0,0,0.0
Jager,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Jager,3,20.0,3,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Hwadam,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Hwadam,1,6.7,1,100.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0
Molly,1,6.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Molly,1,6.7,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Ragdoll,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Ragdoll,2,13.3,2,100.0,0,0.0,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0
Dusky,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Dusky,1,6.7,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Herteit,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Herteit,1,6.7,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Odin,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Odin,1,6.7,1,100.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0
Okeanos,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Okeanos,7,46.7,5,71.4,0,0.0,2,28.6,2,28.6,0,0.0,0,0.0,0,0.0
Eshir,2,13.3,1,50.0,0,0.0,1,50.0,0,0.0,1,50.0,0,0.0,1,100.0,<--,Eshir,3,20.0,1,33.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Barbara,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Barbara,1,6.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Sian,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Sian,2,13.3,0,0.0,0,0.0,2,100.0,0,0.0,2,100.0,0,0.0,2,100.0
