#,server_id,country,wizard_name,rtpvp_score,win_count,lose_count,draw_count,rank,total_battles,win-perc,timestamp
48,5,TH,o2loveo,1375,45,23,0,48,68,0.661764705882352,2021-01-05 22:04:55.249018
48,5,TH,o2loveo,1375,45,23,0,48,68,0.661764705882352,2021-01-05 22:20:08.149316
52,5,TH,o2loveo,1410,58,32,0,51,90,0.644444444444444,2021-01-06 14:35:25.709520
52,5,TH,o2loveo,1410,58,32,0,51,90,0.644444444444444,2021-01-06 14:35:25.998496
52,5,TH,o2loveo,1410,58,32,0,51,90,0.644444444444444,2021-01-06 14:35:26.174551
52,5,TH,o2loveo,1410,58,32,0,51,90,0.644444444444444,2021-01-06 14:56:08.518588
52,5,TH,o2loveo,1410,58,32,0,51,90,0.644444444444444,2021-01-06 14:56:08.776234
52,5,TH,o2loveo,1410,58,32,0,51,90,0.644444444444444,2021-01-06 14:56:08.949454
52,5,TH,o2loveo,1410,58,32,0,51,90,0.644444444444444,2021-01-06 17:51:38.680894
52,5,TH,o2loveo,1410,58,32,0,51,90,0.644444444444444,2021-01-06 17:51:38.919470
52,5,TH,o2loveo,1410,58,32,0,51,90,0.644444444444444,2021-01-06 17:51:39.066606
52,5,TH,o2loveo,1410,58,32,0,51,90,0.644444444444444,2021-01-06 18:40:00.674984
52,5,TH,o2loveo,1410,58,32,0,51,90,0.644444444444444,2021-01-06 18:40:00.932914
52,5,TH,o2loveo,1410,58,32,0,51,90,0.644444444444444,2021-01-06 18:40:01.092721
52,5,TH,o2loveo,1410,58,32,0,51,90,0.644444444444444,2021-01-06 21:50:21.423411
52,5,TH,o2loveo,1410,58,32,0,51,90,0.644444444444444,2021-01-06 21:50:21.671323
52,5,TH,o2loveo,1410,58,32,0,51,90,0.644444444444444,2021-01-06 21:50:21.815578
57,5,TH,o2loveo,1425,61,33,0,58,94,0.6489361702127661,2021-01-07 02:04:06.002361
57,5,TH,o2loveo,1425,61,33,0,58,94,0.6489361702127661,2021-01-07 02:04:06.261082
57,5,TH,o2loveo,1425,61,33,0,58,94,0.6489361702127661,2021-01-07 02:04:06.409352
57,5,TH,o2loveo,1425,61,33,0,58,94,0.6489361702127661,2021-01-07 02:04:07.241862
57,5,TH,o2loveo,1425,61,33,0,58,94,0.6489361702127661,2021-01-07 02:42:40.220562
57,5,TH,o2loveo,1425,61,33,0,58,94,0.6489361702127661,2021-01-07 02:42:40.478888
57,5,TH,o2loveo,1425,61,33,0,58,94,0.6489361702127661,2021-01-07 02:42:40.631883
57,5,TH,o2loveo,1425,61,33,0,58,94,0.6489361702127661,2021-01-07 02:42:41.463758
57,5,TH,o2loveo,1425,61,33,0,58,94,0.6489361702127661,2021-01-07 03:27:26.214344
57,5,TH,o2loveo,1425,61,33,0,58,94,0.6489361702127661,2021-01-07 03:27:26.618231
57,5,TH,o2loveo,1425,61,33,0,58,94,0.6489361702127661,2021-01-07 03:27:26.826792
57,5,TH,o2loveo,1425,61,33,0,58,94,0.6489361702127661,2021-01-07 03:27:28.223631
60,5,TH,o2loveo,1425,61,33,0,61,94,0.6489361702127661,2021-01-07 03:48:34.432675
60,5,TH,o2loveo,1425,61,33,0,61,94,0.6489361702127661,2021-01-07 03:48:34.784388
60,5,TH,o2loveo,1425,61,33,0,61,94,0.6489361702127661,2021-01-07 03:48:34.970784
60,5,TH,o2loveo,1425,61,33,0,61,94,0.6489361702127661,2021-01-07 03:48:36.256810
60,5,TH,o2loveo,1425,61,33,0,61,94,0.6489361702127661,2021-01-07 03:48:36.651947
60,5,TH,o2loveo,1425,61,33,0,61,94,0.6489361702127661,2021-01-07 13:39:11.071442
60,5,TH,o2loveo,1425,61,33,0,61,94,0.6489361702127661,2021-01-07 13:39:11.431376
60,5,TH,o2loveo,1425,61,33,0,61,94,0.6489361702127661,2021-01-07 13:39:11.631295
60,5,TH,o2loveo,1425,61,33,0,61,94,0.6489361702127661,2021-01-07 13:39:12.953038
60,5,TH,o2loveo,1425,61,33,0,61,94,0.6489361702127661,2021-01-07 13:39:13.355934
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:08:17.523351
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:08:17.943767
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:08:18.156810
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:08:19.674059
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:08:20.115241
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:08:20.956787
