monster_name,pick,pick-perc,win,win-perc,leader,leader-perc,banned,banned-perc,first,first-perc,last,last-perc,1p-win,1p-win-perc,5p-win,5p-win-perc,user,monster,opp_pick,opp_pick-perc,opp_win,opp_win-perc,opp_leader,opp_leader-perc,opp_banned,opp_banned-perc,opp_first,opp_first-perc,opp_last,opp_last-perc,opp_1p-win,opp_1p-win-perc,opp_5p-win,opp_5p-win-perc
Seara,13,68.4,8,61.5,2,15.4,4,30.8,10,76.9,0,0.0,5,50.0,0,0.0,<--,Seara,4,21.1,3,75.0,0,0.0,0,0.0,2,50.0,0,0.0,1,50.0,0,0.0
Giana,18,94.7,12,66.7,2,11.1,6,33.3,2,11.1,0,0.0,2,100.0,0,0.0,<--,Giana,1,5.3,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Chiwu,5,26.3,2,40.0,5,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Chiwu,4,21.1,2,50.0,1,25.0,1,25.0,0,0.0,0,0.0,0,0.0,0,0.0
Okeanos,5,26.3,4,80.0,0,0.0,2,40.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Okeanos,9,47.4,5,55.6,4,44.4,4,44.4,1,11.1,0,0.0,0,0.0,0,0.0
Leo,3,15.8,2,66.7,0,0.0,1,33.3,0,0.0,0,0.0,0,0.0,0,0.0,<--,Leo,1,5.3,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Fran,3,15.8,3,100.0,1,33.3,0,0.0,1,33.3,0,0.0,1,100.0,0,0.0,<--,Fran,6,31.6,4,66.7,1,16.7,0,0.0,2,33.3,0,0.0,0,0.0,0,0.0
Savannah,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Savannah,2,10.5,1,50.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0
Yeonhong,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Yeonhong,2,10.5,2,100.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Verdehile,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Verdehile,1,5.3,1,100.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0
Moore/WaterRYU1,4,21.1,3,75.0,1,25.0,1,25.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Moore/WaterRYU1,3,15.8,1,33.3,1,33.3,1,33.3,0,0.0,0,0.0,0,0.0,0,0.0
Triana,1,5.3,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Triana,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Juno,4,21.1,2,50.0,1,25.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Juno,3,15.8,3,100.0,0,0.0,0,0.0,0,0.0,1,33.3,0,0.0,0,0.0
Taranys,1,5.3,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Taranys,1,5.3,1,100.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0
Beelzebub,7,36.8,6,85.7,3,42.9,3,42.9,0,0.0,3,42.9,0,0.0,3,100.0,<--,Beelzebub,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Barbara,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Barbara,5,26.3,4,80.0,0,0.0,1,20.0,0,0.0,0,0.0,0,0.0,0,0.0
Nephthys,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Nephthys,1,5.3,1,100.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Masha,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Masha,2,10.5,2,100.0,0,0.0,0,0.0,0,0.0,1,50.0,0,0.0,0,0.0
Praha,2,10.5,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Praha,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Bastet,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Bastet,1,5.3,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Valantis,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Valantis,1,5.3,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Daphnis,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Daphnis,2,10.5,2,100.0,0,0.0,2,100.0,0,0.0,1,50.0,0,0.0,0,0.0
Lulu,1,5.3,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Lulu,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Vigor,3,15.8,1,33.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Vigor,3,15.8,3,100.0,0,0.0,0,0.0,0,0.0,1,33.3,0,0.0,0,0.0
Julianne,3,15.8,1,33.3,0,0.0,0,0.0,0,0.0,2,66.7,0,0.0,1,50.0,<--,Julianne,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Molly,2,10.5,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Molly,6,31.6,4,66.7,0,0.0,3,50.0,1,16.7,1,16.7,0,0.0,1,100.0
MeiHouWang,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,MeiHouWang,1,5.3,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Tetra,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Tetra,2,10.5,2,100.0,0,0.0,2,100.0,0,0.0,1,50.0,0,0.0,0,0.0
Vanessa,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Vanessa,4,21.1,0,0.0,4,100.0,0,0.0,0,0.0,1,25.0,0,0.0,1,100.0
TianLang,4,21.1,3,75.0,0,0.0,1,25.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,TianLang,2,10.5,0,0.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0
Triton,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Triton,2,10.5,0,0.0,0,0.0,0,0.0,0,0.0,2,100.0,0,0.0,2,100.0
Woonsa,1,5.3,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Woonsa,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Hathor,3,15.8,2,66.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Hathor,1,5.3,1,100.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0
Vivachel,5,26.3,4,80.0,2,40.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Vivachel,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Ragdoll,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Ragdoll,3,15.8,3,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Velajuel,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Velajuel,1,5.3,1,100.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Pater,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Pater,1,5.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Josephine,3,15.8,2,66.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Josephine,1,5.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Sekhmet,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Sekhmet,1,5.3,0,0.0,0,0.0,1,100.0,0,0.0,1,100.0,0,0.0,1,100.0
Oberon,1,5.3,1,100.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Oberon,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Jager,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Jager,3,15.8,3,100.0,1,33.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
