#,server_id,country,wizard_name,rtpvp_score,win_count,lose_count,draw_count,rank,total_battles,win-perc,timestamp
10,1,KR,secondbaby,1423,42,14,0,11,56,0.75,2021-01-05 22:04:54.213539
10,1,KR,secondbaby,1423,42,14,0,11,56,0.75,2021-01-05 22:04:54.341104
10,1,KR,secondbaby,1423,42,14,0,11,56,0.75,2021-01-05 22:04:54.628410
10,1,KR,secondbaby,1423,42,14,0,11,56,0.75,2021-01-05 22:04:54.759719
10,1,KR,secondbaby,1423,42,14,0,11,56,0.75,2021-01-05 22:04:54.904336
10,1,KR,secondbaby,1423,42,14,0,11,56,0.75,2021-01-05 22:04:55.022875
10,1,KR,secondbaby,1423,42,14,0,11,56,0.75,2021-01-05 22:20:07.179158
10,1,KR,secondbaby,1423,42,14,0,11,56,0.75,2021-01-05 22:20:07.301585
10,1,KR,secondbaby,1423,42,14,0,11,56,0.75,2021-01-05 22:20:07.556709
10,1,KR,secondbaby,1423,42,14,0,11,56,0.75,2021-01-05 22:20:07.684565
10,1,KR,secondbaby,1423,42,14,0,11,56,0.75,2021-01-05 22:20:07.812725
10,1,KR,secondbaby,1423,42,14,0,11,56,0.75,2021-01-05 22:20:07.927993
