monster_name,pick,pick-perc,win,win-perc,leader,leader-perc,banned,banned-perc,first,first-perc,last,last-perc,1p-win,1p-win-perc,5p-win,5p-win-perc,user,monster,opp_pick,opp_pick-perc,opp_win,opp_win-perc,opp_leader,opp_leader-perc,opp_banned,opp_banned-perc,opp_first,opp_first-perc,opp_last,opp_last-perc,opp_1p-win,opp_1p-win-perc,opp_5p-win,opp_5p-win-perc
Ragdoll,19,70.4,16,84.2,0,0.0,0,0.0,3,15.8,0,0.0,1,33.3,0,0.0,<--,Ragdoll,3,11.1,3,100.0,0,0.0,3,100.0,2,66.7,0,0.0,0,0.0,0,0.0
Giana,24,88.9,20,83.3,6,25.0,7,29.2,5,20.8,0,0.0,5,100.0,0,0.0,<--,Giana,3,11.1,2,66.7,0,0.0,0,0.0,1,33.3,0,0.0,0,0.0,0,0.0
MoLong,4,14.8,3,75.0,2,50.0,2,50.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,MoLong,1,3.7,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Bolverk,2,7.4,1,50.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Bolverk,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Nephthys,20,74.1,16,80.0,10,50.0,10,50.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Nephthys,1,3.7,0,0.0,1,100.0,0,0.0,1,100.0,0,0.0,1,100.0,0,0.0
Savannah,6,22.2,5,83.3,0,0.0,0,0.0,0,0.0,2,33.3,0,0.0,2,100.0,<--,Savannah,6,22.2,4,66.7,0,0.0,1,16.7,0,0.0,1,16.7,0,0.0,0,0.0
Seara,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Seara,14,51.9,12,85.7,9,64.3,3,21.4,5,35.7,0,0.0,0,0.0,0,0.0
Eleanor,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Eleanor,1,3.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Josephine,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Josephine,1,3.7,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,1,100.0
Tetra,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Tetra,7,25.9,6,85.7,0,0.0,2,28.6,0,0.0,0,0.0,0,0.0,0,0.0
Vigor,4,14.8,4,100.0,0,0.0,0,0.0,0,0.0,2,50.0,0,0.0,2,100.0,<--,Vigor,3,11.1,3,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Cheongpung,11,40.7,8,72.7,1,9.1,1,9.1,0,0.0,3,27.3,0,0.0,3,100.0,<--,Cheongpung,1,3.7,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Narsha,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Narsha,1,3.7,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Fran,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Fran,14,51.9,12,85.7,2,14.3,0,0.0,4,28.6,0,0.0,0,0.0,0,0.0
Daphnis,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Daphnis,1,3.7,1,100.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0
Masha,3,11.1,2,66.7,0,0.0,1,33.3,0,0.0,1,33.3,0,0.0,0,0.0,<--,Masha,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Okeanos,5,18.5,3,60.0,1,20.0,0,0.0,1,20.0,1,20.0,0,0.0,1,100.0,<--,Okeanos,8,29.6,7,87.5,4,50.0,0,0.0,3,37.5,0,0.0,1,33.3,0,0.0
Velajuel,3,11.1,2,66.7,1,33.3,1,33.3,0,0.0,2,66.7,0,0.0,2,100.0,<--,Velajuel,3,11.1,3,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Molly,12,44.4,12,100.0,0,0.0,0,0.0,1,8.3,1,8.3,1,100.0,1,100.0,<--,Molly,6,22.2,4,66.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
XingZhe,1,3.7,1,100.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,XingZhe,1,3.7,1,100.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Juno,1,3.7,1,100.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,1,100.0,<--,Juno,4,14.8,4,100.0,0,0.0,2,50.0,0,0.0,0,0.0,0,0.0,0,0.0
FengYan,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,FengYan,1,3.7,1,100.0,0,0.0,1,100.0,0,0.0,1,100.0,0,0.0,0,0.0
Icares,3,11.1,3,100.0,0,0.0,0,0.0,0,0.0,1,33.3,0,0.0,1,100.0,<--,Icares,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Jager,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Jager,7,25.9,6,85.7,4,57.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Chiwu,2,7.4,2,100.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Chiwu,3,11.1,3,100.0,2,66.7,1,33.3,0,0.0,0,0.0,0,0.0,0,0.0
Rica,1,3.7,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,<--,Rica,3,11.1,2,66.7,0,0.0,0,0.0,0,0.0,1,33.3,0,0.0,1,100.0
Verdehile,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Verdehile,4,14.8,4,100.0,0,0.0,2,50.0,0,0.0,0,0.0,0,0.0,0,0.0
Leo,2,7.4,2,100.0,0,0.0,2,100.0,0,0.0,1,50.0,0,0.0,1,100.0,<--,Leo,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
