#,server_id,country,wizard_name,rtpvp_score,win_count,lose_count,draw_count,rank,total_battles,win-perc,timestamp
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:27:27.336036
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:27:27.664709
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:27:28.448911
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:48:35.437394
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:48:35.739265
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:48:36.467011
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 13:39:12.109536
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 13:39:12.422412
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 13:39:13.165409
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 13:39:13.936202
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:08:18.719074
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:08:19.068974
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:08:19.906510
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:08:20.747836
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:12:48.962538
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:13:11.316557
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 12:19:42.527275
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 21:49:58.310821
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 21:49:58.956924
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 23:21:38.699850
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 23:21:39.382965
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 23:21:46.016547
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 23:21:46.655983
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-09 22:19:56.284114
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-10 17:08:57.728253
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-10 17:08:58.501436
