monster_name,pick,pick-perc,win,win-perc,leader,leader-perc,banned,banned-perc,first,first-perc,last,last-perc,1p-win,1p-win-perc,5p-win,5p-win-perc,user,monster,opp_pick,opp_pick-perc,opp_win,opp_win-perc,opp_leader,opp_leader-perc,opp_banned,opp_banned-perc,opp_first,opp_first-perc,opp_last,opp_last-perc,opp_1p-win,opp_1p-win-perc,opp_5p-win,opp_5p-win-perc
Triana,26,86.7,10,38.5,1,3.8,3,11.5,0,0.0,0,0.0,0,0.0,0,0.0,<--,Triana,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Sekhmet,23,76.7,11,47.8,10,43.5,5,21.7,0,0.0,1,4.3,0,0.0,1,100.0,<--,Sekhmet,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Leona,30,100.0,12,40.0,0,0.0,7,23.3,0,0.0,0,0.0,0,0.0,0,0.0,<--,Leona,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Elucia,2,6.7,2,100.0,2,100.0,0,0.0,0,0.0,1,50.0,0,0.0,1,100.0,<--,Elucia,1,3.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Ragdoll,28,93.3,11,39.3,14,50.0,8,28.6,18,64.3,0,0.0,6,33.3,0,0.0,<--,Ragdoll,2,6.7,1,50.0,0,0.0,0,0.0,2,100.0,0,0.0,1,50.0,0,0.0
Seara,1,3.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Seara,19,63.3,8,42.1,14,73.7,0,0.0,4,21.1,0,0.0,2,50.0,0,0.0
Vigor,10,33.3,5,50.0,0,0.0,0,0.0,0,0.0,2,20.0,0,0.0,0,0.0,<--,Vigor,8,26.7,3,37.5,0,0.0,0,0.0,0,0.0,1,12.5,0,0.0,1,100.0
Juno,1,3.3,0,0.0,0,0.0,1,100.0,0,0.0,1,100.0,0,0.0,0,0.0,<--,Juno,1,3.3,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Masha,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Masha,1,3.3,1,100.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0
Okeanos,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Okeanos,16,53.3,6,37.5,2,12.5,2,12.5,3,18.8,0,0.0,3,100.0,0,0.0
XingZhe,1,3.3,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,XingZhe,3,10.0,2,66.7,3,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Bolverk,2,6.7,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Bolverk,1,3.3,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,1,100.0
Fran,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Fran,20,66.7,7,35.0,1,5.0,13,65.0,1,5.0,0,0.0,0,0.0,0,0.0
Herteit,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Herteit,1,3.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Oberon,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Oberon,1,3.3,0,0.0,0,0.0,1,100.0,0,0.0,1,100.0,0,0.0,1,100.0
Tesarion,1,3.3,1,100.0,0,0.0,1,100.0,0,0.0,1,100.0,0,0.0,1,100.0,<--,Tesarion,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
MiYing,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,MiYing,2,6.7,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Molly,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Molly,4,13.3,3,75.0,0,0.0,2,50.0,1,25.0,0,0.0,0,0.0,0,0.0
Lulu,9,30.0,4,44.4,0,0.0,2,22.2,0,0.0,2,22.2,0,0.0,1,50.0,<--,Lulu,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Jeogun,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Jeogun,1,3.3,1,100.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0
Velajuel,6,20.0,1,16.7,1,16.7,2,33.3,0,0.0,1,16.7,0,0.0,1,100.0,<--,Velajuel,1,3.3,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Giana,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Giana,5,16.7,0,0.0,0,0.0,4,80.0,0,0.0,0,0.0,0,0.0,0,0.0
Rica,3,10.0,0,0.0,0,0.0,0,0.0,0,0.0,1,33.3,0,0.0,0,0.0,<--,Rica,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Laika,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Laika,3,10.0,1,33.3,1,33.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
