#,server_id,country,wizard_name,rtpvp_score,win_count,lose_count,draw_count,rank,total_battles,win-perc,timestamp
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:27:27.278443
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:27:27.642437
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:27:28.436411
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:48:35.385471
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:48:35.718379
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:48:36.455515
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 13:39:12.055029
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 13:39:12.401020
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 13:39:13.153346
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 13:39:13.923428
44,2,FR,☆étoile☆,1463,95,55,0,45,150,0.6333333333333331,2021-01-08 01:08:18.657947
44,2,FR,☆étoile☆,1463,95,55,0,45,150,0.6333333333333331,2021-01-08 01:08:19.045210
44,2,FR,☆étoile☆,1463,95,55,0,45,150,0.6333333333333331,2021-01-08 01:08:19.893314
44,2,FR,☆étoile☆,1463,95,55,0,45,150,0.6333333333333331,2021-01-08 01:08:20.734842
44,2,FR,☆étoile☆,1463,95,55,0,45,150,0.6333333333333331,2021-01-08 01:12:48.944690
44,2,FR,☆étoile☆,1463,95,55,0,45,150,0.6333333333333331,2021-01-08 01:13:11.299014
