monster_name,pick,pick-perc,win,win-perc,leader,leader-perc,banned,banned-perc,first,first-perc,last,last-perc,1p-win,1p-win-perc,5p-win,5p-win-perc,user,monster,opp_pick,opp_pick-perc,opp_win,opp_win-perc,opp_leader,opp_leader-perc,opp_banned,opp_banned-perc,opp_first,opp_first-perc,opp_last,opp_last-perc,opp_1p-win,opp_1p-win-perc,opp_5p-win,opp_5p-win-perc
Seara,22,55.0,19,86.4,10,45.5,2,9.1,16,72.7,0,0.0,15,93.8,0,0.0,<--,Seara,12,30.0,10,83.3,7,58.3,0,0.0,9,75.0,0,0.0,1,11.1,0,0.0
Okeanos,15,37.5,12,80.0,4,26.7,0,0.0,0,0.0,1,6.7,0,0.0,1,100.0,<--,Okeanos,15,37.5,14,93.3,2,13.3,4,26.7,4,26.7,1,6.7,0,0.0,0,0.0
Chiwu,16,40.0,13,81.2,6,37.5,6,37.5,0,0.0,1,6.2,0,0.0,1,100.0,<--,Chiwu,4,10.0,3,75.0,0,0.0,3,75.0,0,0.0,0,0.0,0,0.0,0,0.0
Psamathe,2,5.0,1,50.0,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Psamathe,2,5.0,2,100.0,0,0.0,1,50.0,0,0.0,1,50.0,0,0.0,0,0.0
Leo,5,12.5,2,40.0,0,0.0,5,100.0,0,0.0,5,100.0,0,0.0,2,40.0,<--,Leo,4,10.0,4,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Giana,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Giana,9,22.5,7,77.8,0,0.0,5,55.6,2,22.2,0,0.0,2,100.0,0,0.0
Nephthys,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Nephthys,2,5.0,0,0.0,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Barbara,19,47.5,18,94.7,0,0.0,4,21.1,0,0.0,0,0.0,0,0.0,0,0.0,<--,Barbara,6,15.0,3,50.0,0,0.0,1,16.7,0,0.0,0,0.0,0,0.0,0,0.0
Savannah,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Savannah,7,17.5,4,57.1,0,0.0,1,14.3,0,0.0,0,0.0,0,0.0,0,0.0
Moore/WaterRYU1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Moore/WaterRYU1,5,12.5,3,60.0,0,0.0,5,100.0,0,0.0,1,20.0,0,0.0,0,0.0
Hathor,4,10.0,3,75.0,0,0.0,0,0.0,0,0.0,1,25.0,0,0.0,1,100.0,<--,Hathor,1,2.5,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Fran,18,45.0,17,94.4,3,16.7,2,11.1,1,5.6,0,0.0,1,100.0,0,0.0,<--,Fran,7,17.5,6,85.7,4,57.1,1,14.3,0,0.0,0,0.0,0,0.0,0,0.0
Molly,16,40.0,14,87.5,0,0.0,4,25.0,1,6.2,0,0.0,1,100.0,0,0.0,<--,Molly,5,12.5,5,100.0,0,0.0,3,60.0,2,40.0,1,20.0,0,0.0,0,0.0
