battle_#,win_loss,p1,p2,p3,p4,p5,first,last,leader,banned,opp_p1,opp_p2,opp_p3,opp_p4,opp_p5,opp_first,opp_last,opp_leader,opp_banned,date_added,player,opponent
0,True,Lucifer,Leo,Lushen,Raki,Bastet,None,Raki,Raki,Bastet,Seara,Juno,Belladeon,Racuni,Diana,Seara,None,Juno,Diana,2021-01-07 04:28:24,✨非洲阿潇✨,TTFlasher838
1,False,Bastet,Lucifer,Lushen,Psamathe,Leo,Bastet,None,Psamathe,Leo,Seara,Okeanos,Yeonhong,Vanessa,Magnum,None,Vanessa,Vanessa,Magnum,2021-01-07 04:23:44,✨非洲阿潇✨,Duhstin
2,True,Lucifer,Lushen,Raki,Kahli,Bastet,Bastet,None,Raki,Bastet,Seara,Molly,Miho,Laika,Diana,None,Laika,Seara,Diana,2021-01-07 04:20:07,✨非洲阿潇✨,あいと27
3,True,Bastet,Lushen,Leo,Psamathe,Lucifer,Bastet,None,Psamathe,Lucifer,Seara,Giana,Praha,Hathor,Magnum,None,Hathor,Hathor,Magnum,2021-01-07 04:15:27,✨非洲阿潇✨,血继网罗
4,False,Bastet,Lucifer,Leo,Psamathe,Lushen,None,Psamathe,Psamathe,Lushen,Okeanos,Chiwu,Vanessa,Cheongpung,TianLang,Okeanos,None,Vanessa,TianLang,2021-01-07 04:13:06,✨非洲阿潇✨,Nect
5,False,Bastet,Lucifer,Lushen,Psamathe,Leo,Bastet,None,Psamathe,Leo,Seara,Chiwu,Okeanos,Savannah,Triton,None,Triton,Chiwu,Triton,2021-01-07 04:11:31,✨非洲阿潇✨,Raxxaz~
6,True,Bastet,Lucifer,Lushen,Psamathe,Leo,Bastet,None,Psamathe,Leo,Okeanos,Barbara,Chiwu,Bellenus,Seara,None,Bellenus,Chiwu,Seara,2021-01-07 04:09:19,✨非洲阿潇✨,--InFamous--
7,False,Bastet,Lucifer,Leo,MeiHouWang,Lushen,Bastet,None,Lucifer,Lushen,Okeanos,Savannah,Diana,Vanessa,Bellenus,None,Bellenus,Vanessa,Bellenus,2021-01-07 04:07:10,✨非洲阿潇✨,Inviсtus
8,True,Bastet,Lucifer,Lushen,Raki,Kahli,None,Raki,Raki,Kahli,Seara,Leo,Miho,Laika,Lydia,Seara,None,Seara,Lydia,2021-01-07 03:30:14,✨非洲阿潇✨,VanessaPlease~
9,True,Bastet,Lucifer,Raki,Leo,Lushen,Bastet,None,Raki,Lushen,Beelzebub,Triana,Moore/WaterRYU1,Hwadam,Giana,None,Hwadam,Moore/WaterRYU1,Giana,2021-01-07 03:15:26,✨非洲阿潇✨,o2loveo
10,False,Bastet,Lucifer,Raki,Psamathe,Lushen,None,Psamathe,Psamathe,Lushen,Giana,Triana,Beelzebub,Hwadam,Diana,Giana,None,Beelzebub,Diana,2021-01-07 03:11:24,✨非洲阿潇✨,o2loveo
11,True,Lucifer,Lushen,Kahli,Oberon,Bastet,None,Oberon,Oberon,Bastet,Velajuel,Artamiel,Juno,Leona,Nephthys,Velajuel,None,Juno,Nephthys,2021-01-07 02:59:32,✨非洲阿潇✨,``Nemo``
12,True,Bastet,Lucifer,Lushen,Susano,Leo,Bastet,None,Susano,Leo,Poseidon,Bellenus,Chiwu,Psamathe,Woonsa,None,Woonsa,Psamathe,Woonsa,2021-01-07 02:56:40,✨非洲阿潇✨,MeeթMeeթ
13,True,Bastet,Lucifer,Lushen,Cheongpung,Raki,Bastet,None,Cheongpung,Raki,Seara,Vanessa,Miho,Okeanos,Diana,None,Okeanos,Vanessa,Diana,2021-01-07 02:53:52,✨非洲阿潇✨,TAREZOU
14,True,Lucifer,Lushen,Raki,Psamathe,Bastet,Bastet,None,Psamathe,Bastet,Seara,Okeanos,Sian,Ramagos,Diana,None,Ramagos,Seara,Diana,2021-01-07 02:50:19,✨非洲阿潇✨,Erbiiche
15,True,Lucifer,Lushen,Kahli,Raki,Bastet,None,Raki,Raki,Bastet,Fran,Leo,Triana,Psamathe,FengYan,Fran,None,Psamathe,FengYan,2021-01-07 04:43:14,✨非洲阿潇✨,にゅう
16,True,Bastet,Lucifer,Lushen,Raki,Psamathe,Bastet,None,Raki,Psamathe,Seara,Leo,Garo,Ganymede,Draco,None,Ganymede,Seara,Draco,2021-01-07 04:41:42,✨非洲阿潇✨,Foureyes
17,False,Bastet,Lucifer,Lushen,Raki,Leo,Bastet,None,Raki,Leo,Chiwu,Vanessa,Triana,Yeonhong,Okeanos,None,Yeonhong,Vanessa,Okeanos,2021-01-07 04:39:14,✨非洲阿潇✨,Michelin***
18,True,Bastet,Lucifer,Lushen,Psamathe,Leo,None,Psamathe,Psamathe,Leo,Chiwu,Ganymede,Barbara,Seara,Savannah,Chiwu,None,Seara,Savannah,2021-01-07 04:33:52,✨非洲阿潇✨,BenSod
19,False,Lucifer,Lushen,Kahli,Raki,Bastet,Bastet,None,Raki,Bastet,Seara,Okeanos,Verdehile,Molly,Barbara,None,Barbara,Seara,Barbara,2021-01-07 04:32:13,✨非洲阿潇✨,Dilmaxd
20,False,Lucifer,Lushen,Leo,Raki,Bastet,None,Raki,Raki,Bastet,Seara,Okeanos,Vanessa,Perna,TianLang,Seara,None,Vanessa,TianLang,2021-01-08 05:25:11,✨非洲阿潇✨,Akavali
21,True,Bastet,Lucifer,Lushen,Kahli,Raki,Bastet,None,Lucifer,Raki,Molly,Praha,Beelzebub,Leo,Ragdoll,None,Leo,Beelzebub,Ragdoll,2021-01-08 05:21:34,✨非洲阿潇✨,★Kôtaro★
22,False,Bastet,Lucifer,Lushen,Kahli,Raki,Bastet,None,Lucifer,Raki,Vanessa,Triana,Velajuel,Taranys,Miho,None,Taranys,Vanessa,Miho,2021-01-08 05:18:35,✨非洲阿潇✨,Cezinha251
23,True,Bastet,Lucifer,Kahli,Oberon,Lushen,None,Oberon,Oberon,Lushen,Molly,MoLong,Harmonia,Taranys,Diana,Molly,None,MoLong,Diana,2021-01-08 05:12:16,✨非洲阿潇✨,☆étoile☆
24,True,Leo,Miho,Lushen,Psamathe,Lucifer,None,Psamathe,Psamathe,Lucifer,Bastet,Elenoa,Cheongpung,Rica,Draco,Bastet,None,Elenoa,Draco,2021-01-08 05:07:14,✨非洲阿潇✨,ConDaymn
25,True,Lucifer,Miho,Psamathe,Lushen,Leo,None,Lushen,Psamathe,Leo,Bastet,Elenoa,Cheongpung,Raki,Tablo,Bastet,None,Raki,Tablo,2021-01-08 05:03:33,✨非洲阿潇✨,ConDaymn
26,False,Lucifer,Lushen,Kahli,Susano,Bastet,None,Susano,Susano,Bastet,Ragdoll,Vanessa,Savannah,Psamathe,Giana,Giana,None,Psamathe,Giana,2021-01-08 05:01:10,✨非洲阿潇✨,conejojo
27,True,Bastet,Lucifer,Kahli,Oberon,Lushen,Bastet,None,Oberon,Lushen,Ragdoll,Leo,Verdehile,Vanessa,Giana,None,Vanessa,Leo,Giana,2021-01-08 04:59:14,✨非洲阿潇✨,conejojo
28,False,Bastet,Lucifer,Lushen,Raki,Leo,None,Leo,Lucifer,Leo,Seara,Juno,Raoq,Vanessa,Loren,Seara,None,Vanessa,Loren,2021-01-08 04:56:08,✨非洲阿潇✨,Pinis~
29,True,Lushen,Lucifer,Raki,Kahli,Bastet,Bastet,None,Raki,Bastet,Miho,Antares,Hwadam,Chiwu,Verdehile,None,Chiwu,Chiwu,Verdehile,2021-01-08 04:51:41,✨非洲阿潇✨,50ShadesOfFei
30,True,Bastet,Lushen,Kahli,Oberon,Lucifer,None,Oberon,Oberon,Lucifer,Okeanos,Leo,Verdehile,Icares,TianLang,Okeanos,None,Leo,TianLang,2021-01-08 04:48:13,✨非洲阿潇✨,R1CHN3SS
31,True,Lucifer,Lushen,Leo,Psamathe,Bastet,None,Psamathe,Psamathe,Bastet,Chiwu,Vanessa,Okeanos,Cheongpung,Triton,Chiwu,None,Vanessa,Triton,2021-01-08 04:44:53,✨非洲阿潇✨,50ShadesOfFei
32,True,Bastet,Lucifer,Oberon,Kahli,Lushen,None,Kahli,Oberon,Lushen,XingZhe,Molly,Vanessa,Helena,Okeanos,Okeanos,None,XingZhe,Okeanos,2021-01-08 04:42:44,✨非洲阿潇✨,°빛대
33,False,Bastet,Lucifer,Raki,Kahli,Lushen,Bastet,None,Raki,Lushen,XingZhe,Molly,Vanessa,Helena,Okeanos,None,Helena,Vanessa,Okeanos,2021-01-08 04:39:50,✨非洲阿潇✨,°빛대
34,True,Lucifer,Bastet,Lushen,Julie,Leo,None,Julie,Lucifer,Leo,Chiwu,Okeanos,Savannah,Daphnis,Diana,Chiwu,None,Chiwu,Diana,2021-01-08 04:36:06,✨非洲阿潇✨,꧁ARCH۞S･T꧂
