monster_name,pick,pick-perc,win,win-perc,leader,leader-perc,banned,banned-perc,first,first-perc,last,last-perc,1p-win,1p-win-perc,5p-win,5p-win-perc,user,monster,opp_pick,opp_pick-perc,opp_win,opp_win-perc,opp_leader,opp_leader-perc,opp_banned,opp_banned-perc,opp_first,opp_first-perc,opp_last,opp_last-perc,opp_1p-win,opp_1p-win-perc,opp_5p-win,opp_5p-win-perc
Lucifer,71,100.0,40,56.3,12,16.9,8,11.3,0,0.0,0,0.0,0,0.0,0,0.0,<--,Lucifer,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Leo,36,50.7,17,47.2,0,0.0,21,58.3,0,0.0,1,2.8,0,0.0,0,0.0,<--,Leo,12,16.9,9,75.0,3,25.0,1,8.3,0,0.0,1,8.3,0,0.0,0,0.0
Lushen,70,98.6,40,57.1,0,0.0,14,20.0,0,0.0,1,1.4,0,0.0,1,100.0,<--,Lushen,1,1.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Raki,38,53.5,21,55.3,26,68.4,6,15.8,0,0.0,8,21.1,0,0.0,6,75.0,<--,Raki,1,1.4,1,100.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Bastet,68,95.8,38,55.9,0,0.0,19,27.9,38,55.9,0,0.0,17,44.7,0,0.0,<--,Bastet,3,4.2,2,66.7,0,0.0,0,0.0,3,100.0,0,0.0,1,33.3,0,0.0
Seara,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Seara,33,46.5,17,51.5,17,51.5,2,6.1,13,39.4,0,0.0,5,38.5,0,0.0
Juno,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Juno,7,9.9,5,71.4,3,42.9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Belladeon,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Belladeon,1,1.4,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Racuni,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Racuni,1,1.4,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Diana,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Diana,18,25.4,12,66.7,0,0.0,11,61.1,0,0.0,0,0.0,0,0.0,0,0.0
