battle_#,win_loss,p1,p2,p3,p4,p5,first,last,leader,banned,opp_p1,opp_p2,opp_p3,opp_p4,opp_p5,opp_first,opp_last,opp_leader,opp_banned,date_added,player,opponent
0,True,Hathor,Vanessa,Fran,Rica,Verdehile,Hathor,None,Vanessa,Verdehile,Okeanos,Cheongpung,Chiwu,Vereesa/DarkCHUN-LI1,Velajuel,None,Velajuel,Chiwu,Velajuel,2021-01-07 00:21:32,三玖は俺の嫁,ʚしるばɞ
1,True,Hathor,Vanessa,Verdehile,Rica,Fran,Hathor,None,Vanessa,Fran,Okeanos,Cheongpung,Chiwu,Vereesa/DarkCHUN-LI1,Velajuel,None,Velajuel,Okeanos,Velajuel,2021-01-07 00:17:23,三玖は俺の嫁,ʚしるばɞ
2,False,Vanessa,Hathor,Daphnis,Lulu,Giana,None,Lulu,Vanessa,Giana,Okeanos,Fran,Ganymede,Seara,Moore/WaterRYU1,Okeanos,None,Seara,Moore/WaterRYU1,2021-01-07 00:13:23,三玖は俺の嫁,PinkRoid~
3,False,Hathor,Giana,Ganymede,Elucia,Vanessa,Hathor,None,Ganymede,Vanessa,Verdehile,Josephine,Ethna,Seara,Fran,None,Seara,Seara,Fran,2021-01-07 00:10:59,三玖は俺の嫁,焦Man
4,True,Fran,Hathor,Ganymede,Vanessa,Tesarion,None,Tesarion,Vanessa,Tesarion,Seara,Ragdoll,Juno,Antares,Okeanos,Seara,None,Seara,Okeanos,2021-01-07 00:06:22,三玖は俺の嫁,monkzera_
5,False,Hathor,Fran,Giana,Juno,Seara,Hathor,None,Fran,Seara,Okeanos,Ganymede,Velajuel,Barbara,Chiwu,None,Barbara,Ganymede,Chiwu,2021-01-07 00:02:07,三玖は俺の嫁,!TNT!
6,False,Seara,Hathor,Chiwu,Ganymede,Lulu,None,Lulu,Chiwu,Lulu,Fran,Okeanos,Moore/WaterRYU1,Nephthys,Giana,Giana,None,Nephthys,Giana,2021-01-06 23:54:11,三玖は俺の嫁,Luckygod!
7,True,Hathor,Fran,Vanessa,Ganymede,Giana,None,Ganymede,Vanessa,Giana,Seara,Savannah,Lulu,Juno,Okeanos,Seara,None,Seara,Okeanos,2021-01-06 23:52:10,三玖は俺の嫁,Luckygod!
8,False,Hathor,Giana,Ganymede,Vigor,Chiwu,Hathor,None,Hathor,Chiwu,Cheongpung,Seara,Juno,Gemini,Okeanos,None,Gemini,Seara,Okeanos,2021-01-06 23:47:49,三玖は俺の嫁,DDSquirtle
9,False,Seara,Hathor,Fran,Elucia,Verdehile,None,Elucia,Seara,Verdehile,Okeanos,Cheongpung,Yeonhong,Chris,Chiwu,Okeanos,None,Yeonhong,Chiwu,2021-01-06 23:43:32,三玖は俺の嫁,UT.10
10,False,Ganymede,Fran,Hathor,Elucia,Giana,Ganymede,None,Hathor,Giana,Okeanos,Seara,Chiwu,Savannah,Velajuel,None,Savannah,Chiwu,Velajuel,2021-01-06 23:39:45,三玖は俺の嫁,PinkRoid~
11,True,Fran,Hathor,Ganymede,Elucia,Giana,None,Elucia,Fran,Giana,Okeanos,Artamiel,Daphnis,Verdehile,Velajuel,Okeanos,None,Okeanos,Velajuel,2021-01-06 23:29:20,三玖は俺の嫁,哎艾哎
12,True,Fran,Hathor,Giana,Elucia,Vanessa,None,Elucia,Fran,Vanessa,Okeanos,Ganymede,Barbara,Loren,Seara,Seara,None,Ganymede,Seara,2021-01-06 23:23:38,三玖は俺の嫁,SmokeZzz
13,True,Fran,Vanessa,Giana,Diana,Hathor,None,Diana,Vanessa,Hathor,Seara,Ganymede,Barbara,Moore/WaterRYU1,Okeanos,Seara,None,Seara,Okeanos,2021-01-06 23:21:30,三玖は俺の嫁,SmokeZzz
14,True,Hathor,Fran,Giana,Elucia,Vanessa,None,Elucia,Fran,Vanessa,Seara,Okeanos,Barbara,Juno,Chiwu,Seara,None,Seara,Chiwu,2021-01-06 23:16:32,三玖は俺の嫁,TitoGoflette
15,False,Hathor,Vigor,Ganymede,Daphnis,Giana,Hathor,None,Ganymede,Giana,Vanessa,Fran,Ragdoll,Jager,Okeanos,None,Okeanos,Vanessa,Okeanos,2021-01-08 00:17:06,三玖は俺の嫁,Elmimo
16,True,Hathor,Vigor,Ganymede,Daphnis,Giana,Hathor,None,Hathor,Giana,Fran,Jager,Lulu,Akroma,Ragdoll,None,Akroma,Akroma,Ragdoll,2021-01-08 00:14:20,三玖は俺の嫁,Elmimo
17,True,Hathor,Fran,Giana,Elucia,Vanessa,Hathor,None,Fran,Vanessa,Okeanos,Ganymede,Oberon,Wedjat,Chiwu,None,Wedjat,Wedjat,Chiwu,2021-01-08 00:11:39,三玖は俺の嫁,SaPyn
18,True,Hathor,Giana,Fran,Vigor,Ganymede,Hathor,None,Fran,Ganymede,Nephthys,Diana,Josephine,MeiHouWang,Racuni,None,MeiHouWang,Nephthys,Racuni,2021-01-08 00:08:32,三玖は俺の嫁,シモテ(乂Дィ)
19,True,Fran,Hathor,Ganymede,Vigor,Giana,None,Vigor,Fran,Giana,Okeanos,Velajuel,Seara,MeiHouWang,Daphnis,Okeanos,None,Seara,Daphnis,2021-01-08 00:03:47,三玖は俺の嫁,哎艾哎
20,False,Hathor,Fran,Vanessa,Ganymede,Verdehile,Hathor,None,Vanessa,Verdehile,Seara,Chiwu,Savannah,Juno,Okeanos,None,Juno,Chiwu,Okeanos,2021-01-07 23:58:36,三玖は俺の嫁,Raxxaz~
21,False,Hathor,Fran,Giana,Laika,Vigor,Hathor,None,Giana,Vigor,Molly,Juno,MeiHouWang,TianLang,Velajuel,None,TianLang,MeiHouWang,Velajuel,2021-01-07 23:53:48,三玖は俺の嫁,包是面包的包
22,True,Hathor,Giana,Elucia,Seara,Ganymede,Hathor,None,Seara,Ganymede,Fran,Anavel,Verdehile,Josephine,Leo,None,Josephine,Josephine,Leo,2021-01-07 23:44:32,三玖は俺の嫁,Enylem
23,True,Hathor,Ganymede,Triana,Daphnis,Giana,Hathor,None,Hathor,Giana,Seara,Fran,Moore/WaterRYU1,Masha,Okeanos,None,Masha,Seara,Okeanos,2021-01-07 23:39:41,三玖は俺の嫁,⚡Enel⚡
24,False,Hathor,Giana,Ganymede,Poseidon,Chiwu,None,Poseidon,Ganymede,Chiwu,Fran,Okeanos,Ethna,Masha,Seara,Fran,None,Fran,Seara,2021-01-07 23:32:45,三玖は俺の嫁,_Dr.Nalga_
25,True,Fran,Vanessa,Ganymede,Giana,Hathor,None,Giana,Vanessa,Hathor,Okeanos,Ethna,Vigor,Masha,Seara,Seara,None,Okeanos,Seara,2021-01-07 23:29:43,三玖は俺の嫁,_Dr.Nalga_
26,True,Hathor,Fran,Ganymede,Rica,Vanessa,Hathor,None,Hathor,Vanessa,Okeanos,Savannah,Ethna,Wolyung,Tablo,None,Wolyung,Wolyung,Tablo,2021-01-07 23:25:57,三玖は俺の嫁,KARIMO
27,False,Hathor,Seara,Elucia,Lulu,Fran,None,Lulu,Seara,Fran,Okeanos,Moore/WaterRYU1,Ganymede,Vereesa/DarkCHUN-LI1,Savannah,Okeanos,None,Moore/WaterRYU1,Savannah,2021-01-07 23:20:37,三玖は俺の嫁,2NoobsOfficial
28,True,Hathor,Fran,Ganymede,Daphnis,Giana,None,Daphnis,Ganymede,Giana,Nicki,Velajuel,Elsharion,Zeratu,Okeanos,Okeanos,None,Zeratu,Okeanos,2021-01-07 23:16:33,三玖は俺の嫁,Flash!Flash!
29,True,Seara,Hathor,Fran,Ganymede,Giana,None,Ganymede,Seara,Giana,Nicki,Velajuel,Tiana,Zeratu,Okeanos,Okeanos,None,Tiana,Okeanos,2021-01-07 23:08:59,三玖は俺の嫁,Flash!Flash!
