#,server_id,country,wizard_name,rtpvp_score,win_count,lose_count,draw_count,rank,total_battles,win-perc,timestamp
28,5,TW,三玖は俺の嫁,1424,60,30,0,28,90,0.6666666666666661,2021-01-06 14:35:26.124286
28,5,TW,三玖は俺の嫁,1424,60,30,0,28,90,0.6666666666666661,2021-01-06 14:56:08.903056
28,5,TW,三玖は俺の嫁,1424,60,30,0,28,90,0.6666666666666661,2021-01-06 14:56:09.365512
28,5,TW,三玖は俺の嫁,1424,60,30,0,28,90,0.6666666666666661,2021-01-06 14:56:09.376606
28,5,TW,三玖は俺の嫁,1424,60,30,0,28,90,0.6666666666666661,2021-01-06 14:56:09.481268
28,5,TW,三玖は俺の嫁,1424,60,30,0,28,90,0.6666666666666661,2021-01-06 17:51:39.024752
28,5,TW,三玖は俺の嫁,1424,60,30,0,28,90,0.6666666666666661,2021-01-06 17:51:39.442498
28,5,TW,三玖は俺の嫁,1424,60,30,0,28,90,0.6666666666666661,2021-01-06 17:51:39.452529
28,5,TW,三玖は俺の嫁,1424,60,30,0,28,90,0.6666666666666661,2021-01-06 17:51:39.548283
28,5,TW,三玖は俺の嫁,1424,60,30,0,28,90,0.6666666666666661,2021-01-06 18:40:01.046896
28,5,TW,三玖は俺の嫁,1424,60,30,0,28,90,0.6666666666666661,2021-01-06 18:40:01.494568
28,5,TW,三玖は俺の嫁,1424,60,30,0,28,90,0.6666666666666661,2021-01-06 18:40:01.505090
28,5,TW,三玖は俺の嫁,1424,60,30,0,28,90,0.6666666666666661,2021-01-06 18:40:01.608683
28,5,TW,三玖は俺の嫁,1424,60,30,0,28,90,0.6666666666666661,2021-01-06 21:50:21.774423
28,5,TW,三玖は俺の嫁,1424,60,30,0,28,90,0.6666666666666661,2021-01-06 21:50:22.193938
28,5,TW,三玖は俺の嫁,1424,60,30,0,28,90,0.6666666666666661,2021-01-06 21:50:22.203939
28,5,TW,三玖は俺の嫁,1424,60,30,0,28,90,0.6666666666666661,2021-01-06 21:50:22.303209
63,5,TW,三玖は俺の嫁,1424,60,30,0,60,90,0.6666666666666661,2021-01-07 02:04:06.363981
63,5,TW,三玖は俺の嫁,1424,60,30,0,60,90,0.6666666666666661,2021-01-07 02:04:06.802768
63,5,TW,三玖は俺の嫁,1424,60,30,0,60,90,0.6666666666666661,2021-01-07 02:04:06.813333
63,5,TW,三玖は俺の嫁,1424,60,30,0,60,90,0.6666666666666661,2021-01-07 02:04:06.921837
63,5,TW,三玖は俺の嫁,1424,60,30,0,60,90,0.6666666666666661,2021-01-07 02:04:07.306694
63,5,TW,三玖は俺の嫁,1424,60,30,0,60,90,0.6666666666666661,2021-01-07 02:04:07.454716
63,5,TW,三玖は俺の嫁,1424,60,30,0,60,90,0.6666666666666661,2021-01-07 02:42:40.583015
63,5,TW,三玖は俺の嫁,1424,60,30,0,60,90,0.6666666666666661,2021-01-07 02:42:41.035389
63,5,TW,三玖は俺の嫁,1424,60,30,0,60,90,0.6666666666666661,2021-01-07 02:42:41.045755
63,5,TW,三玖は俺の嫁,1424,60,30,0,60,90,0.6666666666666661,2021-01-07 02:42:41.153323
63,5,TW,三玖は俺の嫁,1424,60,30,0,60,90,0.6666666666666661,2021-01-07 02:42:41.520893
63,5,TW,三玖は俺の嫁,1424,60,30,0,60,90,0.6666666666666661,2021-01-07 02:42:41.664714
63,5,TW,三玖は俺の嫁,1424,60,30,0,60,90,0.6666666666666661,2021-01-07 03:27:26.757602
63,5,TW,三玖は俺の嫁,1424,60,30,0,60,90,0.6666666666666661,2021-01-07 03:27:27.553654
63,5,TW,三玖は俺の嫁,1424,60,30,0,60,90,0.6666666666666661,2021-01-07 03:27:27.564332
63,5,TW,三玖は俺の嫁,1424,60,30,0,60,90,0.6666666666666661,2021-01-07 03:27:27.775608
63,5,TW,三玖は俺の嫁,1424,60,30,0,60,90,0.6666666666666661,2021-01-07 03:27:28.313701
63,5,TW,三玖は俺の嫁,1424,60,30,0,60,90,0.6666666666666661,2021-01-07 03:27:28.562065
65,5,TW,三玖は俺の嫁,1424,60,30,0,64,90,0.6666666666666661,2021-01-07 03:48:34.909148
65,5,TW,三玖は俺の嫁,1424,60,30,0,64,90,0.6666666666666661,2021-01-07 03:48:35.635656
65,5,TW,三玖は俺の嫁,1424,60,30,0,64,90,0.6666666666666661,2021-01-07 03:48:35.645488
65,5,TW,三玖は俺の嫁,1424,60,30,0,64,90,0.6666666666666661,2021-01-07 03:48:35.846018
65,5,TW,三玖は俺の嫁,1424,60,30,0,64,90,0.6666666666666661,2021-01-07 03:48:36.339210
65,5,TW,三玖は俺の嫁,1424,60,30,0,64,90,0.6666666666666661,2021-01-07 03:48:36.570189
65,5,TW,三玖は俺の嫁,1424,60,30,0,64,90,0.6666666666666661,2021-01-07 03:48:36.734345
65,5,TW,三玖は俺の嫁,1424,60,30,0,64,90,0.6666666666666661,2021-01-07 13:39:11.566156
65,5,TW,三玖は俺の嫁,1424,60,30,0,64,90,0.6666666666666661,2021-01-07 13:39:12.316996
65,5,TW,三玖は俺の嫁,1424,60,30,0,64,90,0.6666666666666661,2021-01-07 13:39:12.326848
65,5,TW,三玖は俺の嫁,1424,60,30,0,64,90,0.6666666666666661,2021-01-07 13:39:12.527805
65,5,TW,三玖は俺の嫁,1424,60,30,0,64,90,0.6666666666666661,2021-01-07 13:39:13.037097
65,5,TW,三玖は俺の嫁,1424,60,30,0,64,90,0.6666666666666661,2021-01-07 13:39:13.272241
65,5,TW,三玖は俺の嫁,1424,60,30,0,64,90,0.6666666666666661,2021-01-07 13:39:13.440863
65,5,TW,三玖は俺の嫁,1424,60,30,0,64,90,0.6666666666666661,2021-01-07 13:39:14.049370
28,5,TW,三玖は俺の嫁,1477,80,40,0,28,120,0.6666666666666661,2021-01-08 01:08:18.087130
28,5,TW,三玖は俺の嫁,1477,80,40,0,28,120,0.6666666666666661,2021-01-08 01:08:18.950619
28,5,TW,三玖は俺の嫁,1477,80,40,0,28,120,0.6666666666666661,2021-01-08 01:08:18.962423
28,5,TW,三玖は俺の嫁,1477,80,40,0,28,120,0.6666666666666661,2021-01-08 01:08:19.202148
28,5,TW,三玖は俺の嫁,1477,80,40,0,28,120,0.6666666666666661,2021-01-08 01:08:19.766307
28,5,TW,三玖は俺の嫁,1477,80,40,0,28,120,0.6666666666666661,2021-01-08 01:08:20.024309
28,5,TW,三玖は俺の嫁,1477,80,40,0,28,120,0.6666666666666661,2021-01-08 01:08:20.207245
28,5,TW,三玖は俺の嫁,1477,80,40,0,28,120,0.6666666666666661,2021-01-08 01:08:20.870839
28,5,TW,三玖は俺の嫁,1477,80,40,0,28,120,0.6666666666666661,2021-01-08 01:08:21.058371
28,5,TW,三玖は俺の嫁,1477,80,40,0,28,120,0.6666666666666661,2021-01-08 01:08:21.315573
28,5,TW,三玖は俺の嫁,1477,80,40,0,28,120,0.6666666666666661,2021-01-08 01:12:49.059812
28,5,TW,三玖は俺の嫁,1477,80,40,0,28,120,0.6666666666666661,2021-01-08 01:13:11.414450
28,5,TW,三玖は俺の嫁,1477,80,40,0,28,120,0.6666666666666661,2021-01-08 12:19:42.620370
41,5,TW,三玖は俺の嫁,1485,98,52,0,41,150,0.6533333333333331,2021-01-08 21:49:58.406782
41,5,TW,三玖は俺の嫁,1485,98,52,0,41,150,0.6533333333333331,2021-01-08 21:49:58.594965
41,5,TW,三玖は俺の嫁,1485,98,52,0,41,150,0.6533333333333331,2021-01-08 21:49:59.073312
41,5,TW,三玖は俺の嫁,1485,98,52,0,41,150,0.6533333333333331,2021-01-08 21:49:59.255299
41,5,TW,三玖は俺の嫁,1485,98,52,0,41,150,0.6533333333333331,2021-01-08 23:21:38.830324
41,5,TW,三玖は俺の嫁,1485,98,52,0,41,150,0.6533333333333331,2021-01-08 23:21:39.015943
41,5,TW,三玖は俺の嫁,1485,98,52,0,41,150,0.6533333333333331,2021-01-08 23:21:39.516434
41,5,TW,三玖は俺の嫁,1485,98,52,0,41,150,0.6533333333333331,2021-01-08 23:21:39.692532
41,5,TW,三玖は俺の嫁,1485,98,52,0,41,150,0.6533333333333331,2021-01-08 23:21:46.113126
41,5,TW,三玖は俺の嫁,1485,98,52,0,41,150,0.6533333333333331,2021-01-08 23:21:46.301094
41,5,TW,三玖は俺の嫁,1485,98,52,0,41,150,0.6533333333333331,2021-01-08 23:21:46.771066
41,5,TW,三玖は俺の嫁,1485,98,52,0,41,150,0.6533333333333331,2021-01-08 23:21:46.950838
54,5,TW,三玖は俺の嫁,1485,98,52,0,55,150,0.6533333333333331,2021-01-09 00:22:41.839692
54,5,TW,三玖は俺の嫁,1485,98,52,0,55,150,0.6533333333333331,2021-01-09 00:24:16.949916
54,5,TW,三玖は俺の嫁,1485,98,52,0,55,150,0.6533333333333331,2021-01-09 11:20:08.367153
54,5,TW,三玖は俺の嫁,1485,98,52,0,55,150,0.6533333333333331,2021-01-09 15:20:45.451353
54,5,TW,三玖は俺の嫁,1485,98,52,0,55,150,0.6533333333333331,2021-01-09 20:50:25.067093
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-09 22:19:55.871383
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-09 22:19:56.418391
