monster_name,pick,pick-perc,win,win-perc,leader,leader-perc,banned,banned-perc,first,first-perc,last,last-perc,1p-win,1p-win-perc,5p-win,5p-win-perc,user,monster,opp_pick,opp_pick-perc,opp_win,opp_win-perc,opp_leader,opp_leader-perc,opp_banned,opp_banned-perc,opp_first,opp_first-perc,opp_last,opp_last-perc,opp_1p-win,opp_1p-win-perc,opp_5p-win,opp_5p-win-perc
Hathor,44,97.8,27,61.4,7,15.9,6,13.6,22,50.0,1,2.3,12,54.5,1,100.0,<--,Hathor,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Vanessa,21,46.7,15,71.4,14,66.7,7,33.3,0,0.0,0,0.0,0,0.0,0,0.0,<--,Vanessa,1,2.2,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Fran,28,62.2,20,71.4,8,28.6,3,10.7,0,0.0,0,0.0,0,0.0,0,0.0,<--,Fran,11,24.4,5,45.5,3,27.3,1,9.1,2,18.2,0,0.0,1,50.0,0,0.0
Rica,4,8.9,4,100.0,0,0.0,0,0.0,0,0.0,1,25.0,0,0.0,1,100.0,<--,Rica,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Verdehile,6,13.3,4,66.7,0,0.0,3,50.0,0,0.0,1,16.7,0,0.0,1,100.0,<--,Verdehile,5,11.1,3,60.0,0,0.0,2,40.0,0,0.0,1,20.0,0,0.0,1,100.0
Okeanos,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Okeanos,33,73.3,19,57.6,4,12.1,14,42.4,9,27.3,1,3.0,4,44.4,1,100.0
Cheongpung,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Cheongpung,4,8.9,2,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Chiwu,4,8.9,1,25.0,1,25.0,2,50.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Chiwu,9,20.0,4,44.4,3,33.3,5,55.6,0,0.0,0,0.0,0,0.0,0,0.0
Vereesa/DarkCHUN-LI1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Vereesa/DarkCHUN-LI1,3,6.7,2,66.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Velajuel,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Velajuel,11,24.4,7,63.6,1,9.1,5,45.5,0,0.0,2,18.2,0,0.0,0,0.0
