#,server_id,country,wizard_name,rtpvp_score,win_count,lose_count,draw_count,rank,total_battles,win-perc,timestamp
67,4,US,我怎么这么好看,1421,42,17,0,68,59,0.711864406779661,2021-01-07 02:04:06.636122
67,4,US,我怎么这么好看,1421,42,17,0,68,59,0.711864406779661,2021-01-07 02:04:06.672973
67,4,US,我怎么这么好看,1421,42,17,0,68,59,0.711864406779661,2021-01-07 02:04:06.837031
67,4,US,我怎么这么好看,1421,42,17,0,68,59,0.711864406779661,2021-01-07 02:42:40.871753
67,4,US,我怎么这么好看,1421,42,17,0,68,59,0.711864406779661,2021-01-07 02:42:40.906682
67,4,US,我怎么这么好看,1421,42,17,0,68,59,0.711864406779661,2021-01-07 02:42:41.068298
67,4,US,我怎么这么好看,1421,42,17,0,68,59,0.711864406779661,2021-01-07 03:27:27.266320
67,4,US,我怎么这么好看,1421,42,17,0,68,59,0.711864406779661,2021-01-07 03:27:27.312509
67,4,US,我怎么这么好看,1421,42,17,0,68,59,0.711864406779661,2021-01-07 03:27:27.630256
72,4,US,我怎么这么好看,1421,42,17,0,72,59,0.711864406779661,2021-01-07 03:48:35.374182
72,4,US,我怎么这么好看,1421,42,17,0,72,59,0.711864406779661,2021-01-07 03:48:35.415965
72,4,US,我怎么这么好看,1421,42,17,0,72,59,0.711864406779661,2021-01-07 03:48:35.707289
72,4,US,我怎么这么好看,1421,42,17,0,72,59,0.711864406779661,2021-01-07 13:39:12.043493
72,4,US,我怎么这么好看,1421,42,17,0,72,59,0.711864406779661,2021-01-07 13:39:12.087303
72,4,US,我怎么这么好看,1421,42,17,0,72,59,0.711864406779661,2021-01-07 13:39:12.389761
84,4,US,我怎么这么好看,1445,56,27,0,85,83,0.6746987951807221,2021-01-08 01:08:18.645149
84,4,US,我怎么这么好看,1445,56,27,0,85,83,0.6746987951807221,2021-01-08 01:08:18.694241
84,4,US,我怎么这么好看,1445,56,27,0,85,83,0.6746987951807221,2021-01-08 01:08:19.032667
