battle_#,win_loss,p1,p2,p3,p4,p5,first,last,leader,banned,opp_p1,opp_p2,opp_p3,opp_p4,opp_p5,opp_first,opp_last,opp_leader,opp_banned,date_added,player,opponent
0,True,Seara,Chiwu,Ganymede,Savannah,Giana,None,Savannah,Chiwu,Giana,Okeanos,Yeonhong,Cheongpung,Anavel,Moore/WaterRYU1,Okeanos,None,Yeonhong,Moore/WaterRYU1,2021-01-08 15:06:13,欧洲萌新自在℡,ワタルゴ
1,True,Giana,Cheongpung,Ganymede,Ragdoll,Seara,None,Ragdoll,Ganymede,Seara,Molly,Tetra,Leo,MeiHouWang,Verdehile,Molly,None,MeiHouWang,Verdehile,2021-01-08 14:59:57,欧洲萌新自在℡,어깨걸이풍조
2,False,Cheongpung,Ganymede,Okeanos,Savannah,Chiwu,None,Savannah,Ganymede,Chiwu,Seara,Illiana,Nephthys,Ragdoll,Giana,Seara,None,Nephthys,Giana,2021-01-08 14:55:37,欧洲萌新自在℡,暴走の小浚
3,True,Seara,Chiwu,Cheongpung,Ganymede,Leona,None,Leona,Chiwu,Leona,Giana,Artamiel,Akroma,Molly,Ragdoll,Giana,None,Akroma,Ragdoll,2021-01-08 14:48:23,欧洲萌新自在℡,暴走の小浚
4,False,Giana,Ganymede,Ragdoll,Cheongpung,Seara,Seara,None,Ganymede,Seara,Okeanos,Ethna,Vigor,Verdehile,Vanessa,None,Verdehile,Okeanos,Vanessa,2021-01-08 14:43:14,欧洲萌新自在℡,娄帅帅
5,False,Seara,Giana,Okeanos,Ganymede,Cheongpung,Seara,None,Seara,Cheongpung,Fran,Jager,Molly,MeiHouWang,Ragdoll,None,MeiHouWang,Fran,Ragdoll,2021-01-08 14:40:35,欧洲萌新自在℡,MiranღNoah
6,True,Giana,Cheongpung,Ganymede,Savannah,Seara,None,Savannah,Ganymede,Seara,Shan,Molly,Josephine,Juno,Verdehile,Shan,None,Shan,Verdehile,2021-01-08 14:37:07,欧洲萌新自在℡,ニア@
7,True,Seara,Chiwu,Ragdoll,Cheongpung,Leona,None,Leona,Chiwu,Leona,Okeanos,Moore/WaterRYU,Verdehile,Ganymede,Giana,Giana,None,Moore/WaterRYU,Giana,2021-01-08 14:09:52,欧洲萌新自在℡,HONG_KFC
8,True,Seara,Giana,Cheongpung,Ganymede,Leona,None,Leona,Seara,Leona,Okeanos,Tetra,Leo,Verdehile,Ragdoll,Okeanos,None,Okeanos,Ragdoll,2021-01-08 13:55:52,欧洲萌新自在℡,隐ཀ圈✪圈࿒࿐
9,False,Seara,Okeanos,Ragdoll,Leo,Cheongpung,None,Leo,Seara,Cheongpung,Chiwu,Ganymede,Rica,Fran,Giana,Giana,None,Chiwu,Giana,2021-01-08 12:29:54,欧洲萌新自在℡,Seiishizo
