#,server_id,country,wizard_name,rtpvp_score,win_count,lose_count,draw_count,rank,total_battles,win-perc,timestamp
8,3,MO,欧洲萌新自在℡,1526,60,17,0,9,77,0.779220779220779,2021-01-08 01:08:21.389430
8,3,MO,欧洲萌新自在℡,1526,60,17,0,9,77,0.779220779220779,2021-01-08 01:08:21.401473
8,3,MO,欧洲萌新自在℡,1560,70,19,0,9,89,0.7865168539325841,2021-01-08 21:49:58.666827
8,3,MO,欧洲萌新自在℡,1560,70,19,0,9,89,0.7865168539325841,2021-01-08 21:49:59.327477
8,3,MO,欧洲萌新自在℡,1560,70,19,0,9,89,0.7865168539325841,2021-01-08 21:49:59.349720
8,3,MO,欧洲萌新自在℡,1560,70,19,0,9,89,0.7865168539325841,2021-01-08 23:21:39.086675
8,3,MO,欧洲萌新自在℡,1560,70,19,0,9,89,0.7865168539325841,2021-01-08 23:21:39.766230
8,3,MO,欧洲萌新自在℡,1560,70,19,0,9,89,0.7865168539325841,2021-01-08 23:21:39.788208
8,3,MO,欧洲萌新自在℡,1560,70,19,0,9,89,0.7865168539325841,2021-01-08 23:21:46.371596
8,3,MO,欧洲萌新自在℡,1560,70,19,0,9,89,0.7865168539325841,2021-01-08 23:21:47.022281
8,3,MO,欧洲萌新自在℡,1560,70,19,0,9,89,0.7865168539325841,2021-01-08 23:21:47.044576
10,3,MO,欧洲萌新自在℡,1560,70,19,0,11,89,0.7865168539325841,2021-01-09 00:22:41.911772
10,3,MO,欧洲萌新自在℡,1560,70,19,0,11,89,0.7865168539325841,2021-01-09 00:24:17.024253
10,3,MO,欧洲萌新自在℡,1560,70,19,0,11,89,0.7865168539325841,2021-01-09 11:20:08.433211
10,3,MO,欧洲萌新自在℡,1560,70,19,0,11,89,0.7865168539325841,2021-01-09 15:20:45.528924
10,3,MO,欧洲萌新自在℡,1560,70,19,0,11,89,0.7865168539325841,2021-01-09 20:50:25.137162
16,3,MO,欧洲萌新自在℡,1560,88,31,0,17,119,0.7394957983193271,2021-01-09 22:19:55.950285
16,3,MO,欧洲萌新自在℡,1560,88,31,0,17,119,0.7394957983193271,2021-01-09 22:19:56.964943
16,3,MO,欧洲萌新自在℡,1560,88,31,0,17,119,0.7394957983193271,2021-01-10 17:08:57.411994
16,3,MO,欧洲萌新自在℡,1560,88,31,0,17,119,0.7394957983193271,2021-01-10 17:08:58.371811
