monster_name,pick,pick-perc,win,win-perc,leader,leader-perc,banned,banned-perc,first,first-perc,last,last-perc,1p-win,1p-win-perc,5p-win,5p-win-perc,user,monster,opp_pick,opp_pick-perc,opp_win,opp_win-perc,opp_leader,opp_leader-perc,opp_banned,opp_banned-perc,opp_first,opp_first-perc,opp_last,opp_last-perc,opp_1p-win,opp_1p-win-perc,opp_5p-win,opp_5p-win-perc
Seara,29,70.7,21,72.4,16,55.2,5,17.2,16,55.2,0,0.0,10,62.5,0,0.0,<--,Seara,11,26.8,10,90.9,9,81.8,1,9.1,9,81.8,0,0.0,1,11.1,0,0.0
Chiwu,20,48.8,18,90.0,16,80.0,3,15.0,1,5.0,1,5.0,1,100.0,1,100.0,<--,Chiwu,8,19.5,4,50.0,5,62.5,2,25.0,0,0.0,0,0.0,0,0.0,0,0.0
Ganymede,22,53.7,17,77.3,6,27.3,1,4.5,0,0.0,1,4.5,0,0.0,1,100.0,<--,Ganymede,8,19.5,6,75.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Savannah,12,29.3,11,91.7,0,0.0,3,25.0,0,0.0,5,41.7,0,0.0,4,80.0,<--,Savannah,1,2.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Giana,32,78.0,26,81.2,0,0.0,6,18.8,1,3.1,0,0.0,1,100.0,0,0.0,<--,Giana,7,17.1,5,71.4,0,0.0,5,71.4,4,57.1,0,0.0,1,25.0,0,0.0
Okeanos,21,51.2,17,81.0,2,9.5,4,19.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Okeanos,15,36.6,10,66.7,2,13.3,2,13.3,4,26.7,0,0.0,1,25.0,0,0.0
Yeonhong,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Yeonhong,5,12.2,3,60.0,1,20.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Cheongpung,26,63.4,18,69.2,0,0.0,4,15.4,0,0.0,1,3.8,0,0.0,0,0.0,<--,Cheongpung,4,9.8,3,75.0,0,0.0,1,25.0,0,0.0,0,0.0,0,0.0,0,0.0
Anavel,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Anavel,2,4.9,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Moore/WaterRYU1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Moore/WaterRYU1,7,17.1,6,85.7,2,28.6,1,14.3,0,0.0,0,0.0,0,0.0,0,0.0
Ragdoll,19,46.3,13,68.4,0,0.0,6,31.6,1,5.3,4,21.1,1,100.0,4,100.0,<--,Ragdoll,5,12.2,3,60.0,0,0.0,4,80.0,1,20.0,0,0.0,0,0.0,0,0.0
Molly,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Molly,8,19.5,7,87.5,0,0.0,2,25.0,1,12.5,0,0.0,0,0.0,0,0.0
Tetra,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Tetra,5,12.2,5,100.0,0,0.0,1,20.0,0,0.0,0,0.0,0,0.0,0,0.0
Leo,7,17.1,3,42.9,0,0.0,1,14.3,0,0.0,2,28.6,0,0.0,1,50.0,<--,Leo,6,14.6,6,100.0,1,16.7,0,0.0,0,0.0,1,16.7,0,0.0,0,0.0
MeiHouWang,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,MeiHouWang,2,4.9,1,50.0,1,50.0,0,0.0,0,0.0,1,50.0,0,0.0,1,100.0
Verdehile,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Verdehile,14,34.1,13,92.9,0,0.0,6,42.9,0,0.0,1,7.1,0,0.0,1,100.0
Illiana,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Illiana,1,2.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Nephthys,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Nephthys,3,7.3,2,66.7,2,66.7,1,33.3,0,0.0,0,0.0,0,0.0,0,0.0
Leona,8,19.5,8,100.0,0,0.0,6,75.0,0,0.0,8,100.0,0,0.0,8,100.0,<--,Leona,2,4.9,2,100.0,0,0.0,0,0.0,0,0.0,1,50.0,0,0.0,0,0.0
Artamiel,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Artamiel,4,9.8,4,100.0,1,25.0,0,0.0,0,0.0,1,25.0,0,0.0,0,0.0
Akroma,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Akroma,3,7.3,3,100.0,1,33.3,1,33.3,0,0.0,0,0.0,0,0.0,0,0.0
Ethna,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Ethna,3,7.3,2,66.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Vigor,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Vigor,3,7.3,2,66.7,0,0.0,1,33.3,1,33.3,0,0.0,0,0.0,0,0.0
Vanessa,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Vanessa,8,19.5,3,37.5,3,37.5,5,62.5,0,0.0,3,37.5,0,0.0,1,33.3
Fran,2,4.9,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Fran,7,17.1,5,71.4,2,28.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Jager,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Jager,1,2.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Shan,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Shan,1,2.4,1,100.0,1,100.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0
Josephine,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Josephine,3,7.3,3,100.0,0,0.0,1,33.3,0,0.0,1,33.3,0,0.0,0,0.0
Juno,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Juno,8,19.5,8,100.0,0,0.0,1,12.5,0,0.0,1,12.5,0,0.0,0,0.0
Moore/WaterRYU,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Moore/WaterRYU,4,9.8,4,100.0,1,25.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Rica,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Rica,3,7.3,2,66.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
MoLong,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,MoLong,4,9.8,3,75.0,2,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Diana,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Diana,1,2.4,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
XingZhe,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,XingZhe,2,4.9,2,100.0,0,0.0,1,50.0,0,0.0,1,50.0,0,0.0,0,0.0
Magnum,3,7.3,3,100.0,0,0.0,1,33.3,0,0.0,0,0.0,0,0.0,0,0.0,<--,Magnum,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Psamathe,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Psamathe,1,2.4,1,100.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
