#,server_id,country,wizard_name,rtpvp_score,win_count,lose_count,draw_count,rank,total_battles,win-perc,timestamp
30,1,KR,막시무스.,1492,112,68,0,30,180,0.622222222222222,2021-01-08 21:49:58.550718
30,1,KR,막시무스.,1492,112,68,0,30,180,0.622222222222222,2021-01-08 21:49:59.204751
30,1,KR,막시무스.,1492,112,68,0,30,180,0.622222222222222,2021-01-08 23:21:38.972505
30,1,KR,막시무스.,1492,112,68,0,30,180,0.622222222222222,2021-01-08 23:21:39.642967
30,1,KR,막시무스.,1492,112,68,0,30,180,0.622222222222222,2021-01-08 23:21:46.254149
30,1,KR,막시무스.,1492,112,68,0,30,180,0.622222222222222,2021-01-08 23:21:46.901173
39,1,KR,막시무스.,1492,112,68,0,39,180,0.622222222222222,2021-01-09 00:22:41.789626
39,1,KR,막시무스.,1492,112,68,0,39,180,0.622222222222222,2021-01-09 00:24:16.895012
39,1,KR,막시무스.,1492,112,68,0,39,180,0.622222222222222,2021-01-09 11:20:08.321574
39,1,KR,막시무스.,1492,112,68,0,39,180,0.622222222222222,2021-01-09 15:20:45.397713
39,1,KR,막시무스.,1492,112,68,0,39,180,0.622222222222222,2021-01-09 20:50:25.019355
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-09 22:19:55.816711
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-09 22:19:56.829411
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-10 17:08:57.280968
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-10 17:08:58.242627
