#,server_id,country,wizard_name,rtpvp_score,win_count,lose_count,draw_count,rank,total_battles,win-perc
0,1,KR,삞싥뭃,1777,185,53,1,1,239,0.774058577405857
1,1,KR,secondbaby,1766,173,50,0,2,223,0.775784753363228
2,6,NL,PinkRoid~,1717,165,45,0,3,210,0.785714285714285
3,6,NL,Seiishizo,1678,150,50,0,4,200,0.75
4,4,US,Ex|Shizzy,1671,124,37,0,5,161,0.770186335403726
5,3,CN,海贼༒卡罗特,1671,117,38,0,5,155,0.7548387096774191
6,4,US,Duhstin,1626,129,51,0,7,180,0.716666666666666
7,5,TH,HONG_KFC,1617,158,67,0,8,225,0.7022222222222221
8,4,US,TopaV,1614,129,51,0,9,180,0.716666666666666
9,5,TH,Krom`z,1601,136,64,1,10,201,0.676616915422885
10,5,TH,YєoɴHonG-187,1599,143,67,0,11,210,0.6809523809523811
11,3,CN,帅狗奥特曼,1596,99,32,0,12,131,0.755725190839694
12,3,CN,⚕⚕至尊寶⚕⚕,1595,159,81,0,13,240,0.6625
13,3,CN,呆橘不发呆,1592,111,50,0,14,161,0.6894409937888191
14,2,JP,まつ@げりらじ,1581,113,48,0,15,161,0.7018633540372671
15,3,CN,砖头硬邦邦,1580,64,11,0,16,75,0.853333333333333
16,6,DE,Raxxaz~,1577,95,37,0,17,132,0.7196969696969691
17,2,VA,The･ROCK!!,1572,90,38,0,18,128,0.703125
18,4,US,TrueWhale,1570,112,48,0,19,160,0.7000000000000001
19,3,CN,杰咪爸,1565,120,48,0,20,168,0.7142857142857141
20,1,KR,TM궁극체,1565,150,90,0,20,240,0.625
21,4,CA,ლ((ΦωΦ))ლ,1564,59,12,0,22,71,0.8309859154929571
22,3,MO,欧洲萌新自在℡,1560,88,31,0,23,119,0.7394957983193271
23,4,UY,Elmimo,1559,144,64,1,24,209,0.688995215311004
24,3,CN,Himiko.,1557,128,67,0,25,195,0.6564102564102561
25,4,CA,Raii!,1557,134,76,0,25,210,0.638095238095238
26,5,TH,เฮียทัช,1556,128,74,0,27,202,0.633663366336633
27,2,FR,☆étoile☆,1556,133,71,0,27,204,0.6519607843137251
28,5,MY,JinYao,1551,136,74,0,29,210,0.6476190476190471
29,3,CN,俏皮可爱小尾巴,1551,135,75,0,29,210,0.642857142857142
30,2,JP,おがさわら,1547,132,78,0,31,210,0.628571428571428
31,6,DE,R4ider~,1543,119,68,0,32,187,0.636363636363636
32,3,CN,我的刀有剧毒,1543,129,73,0,32,202,0.6386138613861381
33,5,TW,/喵喵/,1539,125,63,0,34,188,0.664893617021276
34,6,FR,SaPyn,1538,123,69,0,35,192,0.640625
35,4,US,KĪRĪN_,1536,126,60,0,36,186,0.6774193548387091
36,4,CA,Raigeki!,1535,96,44,0,37,140,0.685714285714285
37,6,FR,Albuza,1535,103,51,0,37,154,0.668831168831168
38,4,SE,Catch~,1532,133,74,0,39,207,0.6425120772946861
39,1,KR,BBodda,1532,98,48,1,39,147,0.6666666666666661
40,3,CN,哥改名回欧洲,1532,123,68,0,39,191,0.6439790575916231
41,3,CN,卻倚緩弦歌別緒,1531,61,19,0,42,80,0.7625000000000001
42,1,KR,PRO༊,1530,117,67,0,43,184,0.635869565217391
43,4,BR,DanieIKarioKa,1529,95,52,0,44,147,0.64625850340136
44,2,JP,えれま,1527,120,70,0,45,190,0.631578947368421
