monster_name,pick,pick-perc,win,win-perc,leader,leader-perc,banned,banned-perc,first,first-perc,last,last-perc,1p-win,1p-win-perc,5p-win,5p-win-perc,user,monster,opp_pick,opp_pick-perc,opp_win,opp_win-perc,opp_leader,opp_leader-perc,opp_banned,opp_banned-perc,opp_first,opp_first-perc,opp_last,opp_last-perc,opp_1p-win,opp_1p-win-perc,opp_5p-win,opp_5p-win-perc
XingZhe,8,26.7,5,62.5,4,50.0,2,25.0,0,0.0,1,12.5,0,0.0,0,0.0,<--,XingZhe,1,3.3,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Juno,23,76.7,15,65.2,1,4.3,4,17.4,0,0.0,1,4.3,0,0.0,0,0.0,<--,Juno,2,6.7,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Alexandra,21,70.0,15,71.4,0,0.0,4,19.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Alexandra,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Belial,8,26.7,5,62.5,7,87.5,1,12.5,0,0.0,2,25.0,0,0.0,1,50.0,<--,Belial,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Molly,24,80.0,17,70.8,1,4.2,8,33.3,0,0.0,0,0.0,0,0.0,0,0.0,<--,Molly,4,13.3,1,25.0,0,0.0,2,50.0,3,75.0,0,0.0,2,66.7,0,0.0
Seara,22,73.3,15,68.2,10,45.5,2,9.1,14,63.6,0,0.0,11,78.6,0,0.0,<--,Seara,7,23.3,5,71.4,4,57.1,1,14.3,7,100.0,0,0.0,2,28.6,0,0.0
Giana,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Giana,6,20.0,4,66.7,0,0.0,2,33.3,0,0.0,0,0.0,0,0.0,0,0.0
Zeratu,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Zeratu,1,3.3,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Okeanos,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Okeanos,15,50.0,10,66.7,1,6.7,7,46.7,4,26.7,0,0.0,2,50.0,0,0.0
Fran,1,3.3,1,100.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Fran,9,30.0,5,55.6,3,33.3,4,44.4,0,0.0,1,11.1,0,0.0,0,0.0
