monster_name,pick,pick-perc,win,win-perc,leader,leader-perc,banned,banned-perc,first,first-perc,last,last-perc,1p-win,1p-win-perc,5p-win,5p-win-perc,user,monster,opp_pick,opp_pick-perc,opp_win,opp_win-perc,opp_leader,opp_leader-perc,opp_banned,opp_banned-perc,opp_first,opp_first-perc,opp_last,opp_last-perc,opp_1p-win,opp_1p-win-perc,opp_5p-win,opp_5p-win-perc
Seara,14,73.7,11,78.6,7,50.0,2,14.3,7,50.0,0,0.0,7,100.0,0,0.0,<--,Seara,4,21.1,4,100.0,2,50.0,1,25.0,4,100.0,0,0.0,0,0.0,0,0.0
Molly,17,89.5,13,76.5,0,0.0,2,11.8,0,0.0,0,0.0,0,0.0,0,0.0,<--,Molly,2,10.5,2,100.0,0,0.0,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0
Ragdoll,15,78.9,13,86.7,1,6.7,4,26.7,0,0.0,0,0.0,0,0.0,0,0.0,<--,Ragdoll,2,10.5,2,100.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Juno,16,84.2,13,81.2,5,31.2,2,12.5,0,0.0,2,12.5,0,0.0,2,100.0,<--,Juno,2,10.5,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Leo,8,42.1,7,87.5,4,50.0,3,37.5,0,0.0,2,25.0,0,0.0,1,50.0,<--,Leo,1,5.3,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Okeanos,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Okeanos,7,36.8,5,71.4,0,0.0,0,0.0,4,57.1,0,0.0,2,50.0,0,0.0
Ganymede,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Ganymede,3,15.8,2,66.7,1,33.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Chiwu,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Chiwu,2,10.5,2,100.0,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Masha,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Masha,2,10.5,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
TianLang,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,TianLang,1,5.3,1,100.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0
