monster_name,pick,pick-perc,win,win-perc,leader,leader-perc,banned,banned-perc,first,first-perc,last,last-perc,1p-win,1p-win-perc,5p-win,5p-win-perc,user,monster,opp_pick,opp_pick-perc,opp_win,opp_win-perc,opp_leader,opp_leader-perc,opp_banned,opp_banned-perc,opp_first,opp_first-perc,opp_last,opp_last-perc,opp_1p-win,opp_1p-win-perc,opp_5p-win,opp_5p-win-perc
Seara,12,80.0,5,41.7,6,50.0,0,0.0,10,83.3,0,0.0,4,40.0,0,0.0,<--,Seara,3,20.0,2,66.7,3,100.0,0,0.0,3,100.0,0,0.0,1,33.3,0,0.0
Barbara,15,100.0,7,46.7,0,0.0,5,33.3,0,0.0,0,0.0,0,0.0,0,0.0,<--,Barbara,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Okeanos,10,66.7,6,60.0,0,0.0,1,10.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Okeanos,5,33.3,1,20.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Fran,3,20.0,2,66.7,2,66.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Fran,7,46.7,3,42.9,3,42.9,2,28.6,0,0.0,0,0.0,0,0.0,0,0.0
Masha,4,26.7,1,25.0,0,0.0,1,25.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Masha,1,6.7,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Vigor,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Vigor,3,20.0,2,66.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Juno,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Juno,4,26.7,1,25.0,1,25.0,1,25.0,0,0.0,2,50.0,0,0.0,2,100.0
Verdehile,1,6.7,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Verdehile,4,26.7,3,75.0,0,0.0,0,0.0,0,0.0,1,25.0,0,0.0,0,0.0
Diana,1,6.7,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Diana,3,20.0,2,66.7,0,0.0,1,33.3,0,0.0,1,33.3,0,0.0,0,0.0
Leo,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Leo,2,13.3,1,50.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0
Chiwu,11,73.3,5,45.5,7,63.6,3,27.3,0,0.0,0,0.0,0,0.0,0,0.0,<--,Chiwu,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
