battle_#,win_loss,p1,p2,p3,p4,p5,first,last,leader,banned,opp_p1,opp_p2,opp_p3,opp_p4,opp_p5,opp_first,opp_last,opp_leader,opp_banned,date_added,player,opponent
0,True,Seara,Okeanos,Fran,TianLang,Bolverk,Seara,None,Seara,Bolverk,Artamiel,Ganymede,Amelia,Sekhmet,Juno,None,Sekhmet,Sekhmet,Juno,2021-01-10 10:56:58,Bor@m,༺欧皇老项༻
1,True,Seara,Fran,Praha,Josephine,Daphnis,Seara,None,Seara,Daphnis,Okeanos,Ganymede,Vigor,ShiHou,Giana,None,ShiHou,Ganymede,Giana,2021-01-10 08:36:06,Bor@m,✎ℳ战歌ᝰ
2,False,Seara,Okeanos,TianLang,Ethna,Moore/WaterRYU1,Seara,None,Seara,Moore/WaterRYU1,Bastet,Chiwu,Valantis,Savannah,Vanessa,None,Savannah,Chiwu,Vanessa,2021-01-09 10:17:02,Bor@m,また✩びん♪
3,True,Seara,Okeanos,Juno,Rica,Verdehile,None,Rica,Seara,Verdehile,Chiwu,Savannah,Masha,Daphnis,Fran,Fran,None,Chiwu,Fran,2021-01-09 10:13:55,Bor@m,Nïlø
4,False,Seara,Okeanos,Eleanor,Praha,Moore/WaterRYU1,Seara,None,Seara,Moore/WaterRYU1,Chiwu,Ganymede,Barbara,Velajuel,Cheongpung,None,Cheongpung,Chiwu,Cheongpung,2021-01-09 10:11:22,Bor@m,가현☞☜
5,True,Seara,Okeanos,Jeogun,Daphnis,Cheongpung,None,Daphnis,Seara,Cheongpung,MoLong,Harmonia,Fermion,Amelia,Juno,MoLong,None,MoLong,Juno,2021-01-09 10:05:23,Bor@m,愁云淡淡雨潇潇
6,False,Seara,TianLang,Bolverk,Triana,Okeanos,None,Triana,Seara,Okeanos,Ragdoll,MoLong,Harmonia,Taranys,Eleanor,Ragdoll,None,MoLong,Eleanor,2021-01-09 10:00:54,Bor@m,我们知道闪光暗
7,True,Seara,Eleanor,Daphnis,Fran,Verdehile,None,Fran,Seara,Verdehile,Okeanos,Cheongpung,Savannah,Jeogun,Poseidon,Okeanos,None,Okeanos,Poseidon,2021-01-09 09:55:49,Bor@m,みちゃこ.
8,False,Seara,Okeanos,Daphnis,TianLang,Fran,Seara,None,Seara,Fran,Ragdoll,Velajuel,Anavel,Leo,Abellio,None,Leo,Velajuel,Abellio,2021-01-09 09:52:36,Bor@m,《DMN》Pogier
9,False,Okeanos,Psamathe,Verdehile,Leo,Eleanor,None,Leo,Psamathe,Eleanor,Seara,Cheongpung,Josephine,Vigor,Chiwu,Seara,None,Seara,Chiwu,2021-01-09 09:50:45,Bor@m,青歌～～
10,False,Seara,Okeanos,Daphnis,TianLang,Fran,Seara,None,Seara,Fran,MoLong,Ragdoll,Lulu,Icares,Molly,None,Icares,MoLong,Molly,2021-01-09 09:47:15,Bor@m,[symp]Abarai
11,False,Seara,Okeanos,Daphnis,Cheongpung,TianLang,None,Cheongpung,Seara,TianLang,MoLong,Ragdoll,Lulu,Pater,Molly,Molly,None,MoLong,Molly,2021-01-09 09:44:40,Bor@m,[symp]Abarai
12,True,Seara,Eleanor,Verdehile,Rica,Leo,None,Rica,Seara,Leo,Okeanos,Savannah,Cheongpung,Vigor,Chiwu,Okeanos,None,Okeanos,Chiwu,2021-01-09 09:43:05,Bor@m,☆Rittles☆
13,False,Seara,Okeanos,Daphnis,Rica,TianLang,Seara,None,Seara,TianLang,MoLong,Harmonia,Artamiel,Diana,Amelia,None,Amelia,MoLong,Amelia,2021-01-09 09:40:36,Bor@m,✎ℳ战歌ᝰ
14,True,Seara,TianLang,Psamathe,Juno,Okeanos,Seara,None,Psamathe,Okeanos,Daphnis,Moore/WaterRYU1,Velajuel,Isis,Bastet,None,Isis,Moore/WaterRYU1,Bastet,2021-01-09 09:37:03,Bor@m,すろもん
15,True,Fran,Daphnis,Cheongpung,Rica,Seara,None,Rica,Fran,Seara,Okeanos,Vigor,Savannah,Laika,Gemini,Okeanos,None,Okeanos,Gemini,2021-01-10 23:51:17,Bor@m,꧁ĶTJΘŘN꧂
16,True,Seara,Okeanos,Daphnis,Jeogun,Cheongpung,Seara,None,Seara,Cheongpung,Tiana,Savannah,Helena,Laika,Verad,None,Laika,Tiana,Verad,2021-01-10 23:46:23,Bor@m,HarleyVuong
17,True,Seara,Okeanos,Jeogun,Praha,Vigor,None,Vigor,Seara,Vigor,Vanessa,Fran,MeiHouWang,Josephine,Juno,Vanessa,None,Vanessa,Juno,2021-01-10 22:34:32,Bor@m,-Valmont-
