monster_name,pick,pick-perc,win,win-perc,leader,leader-perc,banned,banned-perc,first,first-perc,last,last-perc,1p-win,1p-win-perc,5p-win,5p-win-perc,user,monster,opp_pick,opp_pick-perc,opp_win,opp_win-perc,opp_leader,opp_leader-perc,opp_banned,opp_banned-perc,opp_first,opp_first-perc,opp_last,opp_last-perc,opp_1p-win,opp_1p-win-perc,opp_5p-win,opp_5p-win-perc
Cheongpung,26,100.0,18,69.2,3,11.5,5,19.2,15,57.7,0,0.0,8,53.3,0,0.0,<--,Cheongpung,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Barbara,16,61.5,11,68.8,0,0.0,2,12.5,0,0.0,0,0.0,0,0.0,0,0.0,<--,Barbara,2,7.7,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Gemini,12,46.2,9,75.0,5,41.7,2,16.7,0,0.0,2,16.7,0,0.0,2,100.0,<--,Gemini,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Shan,8,30.8,6,75.0,2,25.0,2,25.0,0,0.0,1,12.5,0,0.0,1,100.0,<--,Shan,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Vanessa,17,65.4,13,76.5,11,64.7,6,35.3,0,0.0,0,0.0,0,0.0,0,0.0,<--,Vanessa,1,3.8,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0
Okeanos,17,65.4,12,70.6,0,0.0,2,11.8,0,0.0,1,5.9,0,0.0,1,100.0,<--,Okeanos,8,30.8,6,75.0,1,12.5,1,12.5,3,37.5,0,0.0,0,0.0,0,0.0
Seara,5,19.2,2,40.0,1,20.0,1,20.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Seara,10,38.5,7,70.0,6,60.0,1,10.0,4,40.0,0,0.0,1,25.0,0,0.0
Chiwu,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Chiwu,9,34.6,7,77.8,8,88.9,0,0.0,1,11.1,0,0.0,0,0.0,0,0.0
Giana,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Giana,2,7.7,2,100.0,0,0.0,0,0.0,0,0.0,1,50.0,0,0.0,0,0.0
Leo,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Leo,13,50.0,10,76.9,0,0.0,10,76.9,0,0.0,1,7.7,0,0.0,0,0.0
Diana,2,7.7,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Diana,4,15.4,1,25.0,0,0.0,0,0.0,0,0.0,1,25.0,0,0.0,1,100.0
Helena,1,3.8,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Helena,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Miho,2,7.7,1,50.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Miho,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Lucifer,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Lucifer,1,3.8,1,100.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Raoq,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Raoq,1,3.8,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Lushen,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Lushen,3,11.5,3,100.0,0,0.0,0,0.0,0,0.0,1,33.3,0,0.0,0,0.0
