battle_#,win_loss,p1,p2,p3,p4,p5,first,last,leader,banned,opp_p1,opp_p2,opp_p3,opp_p4,opp_p5,opp_first,opp_last,opp_leader,opp_banned,date_added,player,opponent
0,True,Okeanos,Fran,Ethna,Barbara,Artamiel,None,Artamiel,Fran,Artamiel,Seara,Praha,Verdehile,Diana,MoLong,Seara,None,Praha,MoLong,2021-01-10 07:00:26,Dilmaxd,Kargh
1,True,Seara,Okeanos,Barbara,Masha,Miho,Seara,None,Seara,Miho,Cheongpung,Fran,Raoq,Elsharion,Verdehile,None,Elsharion,Fran,Verdehile,2021-01-10 06:55:52,Dilmaxd,AsunaYu
2,True,Seara,Fran,Lulu,Ethna,Barbara,Seara,None,Seara,Barbara,Okeanos,Savannah,Vigor,Masha,Garo,None,Masha,Okeanos,Garo,2021-01-10 06:51:25,Dilmaxd,Barrio✨
3,False,Seara,Okeanos,Ethna,Vigor,Miho,Seara,None,Seara,Miho,Barbara,Fran,Juno,Vanessa,Masha,None,Vanessa,Vanessa,Masha,2021-01-10 06:45:27,Dilmaxd,츠브
4,False,Fran,Ethna,Lulu,Antares,Seara,Seara,None,Fran,Seara,Okeanos,Barbara,Verdehile,Cheongpung,Woonsa,None,Woonsa,Okeanos,Woonsa,2021-01-10 06:41:22,Dilmaxd,Mordil
5,False,Okeanos,Barbara,Fran,Ethna,Antares,None,Antares,Fran,Antares,Molly,Hathor,Diana,Leo,Seara,Seara,None,Leo,Seara,2021-01-09 05:12:20,Dilmaxd,Xero1308
6,False,Seara,Fran,Vanessa,Ethna,Vigor,Seara,None,Vanessa,Vigor,Okeanos,Barbara,Illiana,Juno,Masha,None,Juno,Juno,Masha,2021-01-09 05:06:56,Dilmaxd,しのぶん#
7,True,Seara,Okeanos,Barbara,Miho,Vanessa,Seara,None,Seara,Vanessa,Lushen,Jamire,Julie,Tablo,Bastet,None,Tablo,Tablo,Bastet,2021-01-09 05:00:35,Dilmaxd,Yutaa
8,False,Seara,Barbara,Okeanos,Vigor,Vanessa,None,Vigor,Seara,Vanessa,Bastet,Psamathe,Draco,Garo,Lushen,Bastet,None,Psamathe,Lushen,2021-01-09 04:56:49,Dilmaxd,No天気
9,True,Barbara,Okeanos,Verdehile,Masha,Seara,Seara,None,Okeanos,Seara,Ganymede,Valantis,Gemini,QitianDasheng,Poseidon,None,Poseidon,Gemini,Poseidon,2021-01-09 04:52:20,Dilmaxd,Abel_Levi
10,False,Seara,Barbara,Fran,Masha,Antares,None,Antares,Seara,Antares,Okeanos,Ethna,Tablo,Jamire,Mina,Okeanos,None,Jamire,Mina,2021-01-09 04:47:22,Dilmaxd,~>Toxik<~
11,True,Seara,Vigor,Ethna,Fran,Barbara,None,Barbara,Seara,Barbara,Molly,XingZhe,Bastet,Masha,Juno,Molly,None,XingZhe,Juno,2021-01-09 04:36:15,Dilmaxd,Tarcisio...
12,True,Fran,Barbara,Vigor,Masha,Seara,Seara,None,Fran,Seara,Vanessa,Eshir,Clara,Psamathe,Ganymede,None,Psamathe,Psamathe,Ganymede,2021-01-09 04:31:52,Dilmaxd,Nonosss
13,False,Seara,Barbara,Fran,Masha,Antares,None,Antares,Seara,Antares,Ethna,Triana,Diana,Daphnis,Okeanos,Okeanos,None,Daphnis,Okeanos,2021-01-09 04:22:10,Dilmaxd,Fantaisi
14,True,Okeanos,Fran,Barbara,Masha,Ethna,Okeanos,None,Fran,Ethna,Seara,Triana,Daphnis,Artamiel,Praha,None,Praha,Daphnis,Praha,2021-01-09 04:18:04,Dilmaxd,Fantaisi
