monster_name,pick,pick-perc,win,win-perc,leader,leader-perc,banned,banned-perc,first,first-perc,last,last-perc,1p-win,1p-win-perc,5p-win,5p-win-perc,user,monster,opp_pick,opp_pick-perc,opp_win,opp_win-perc,opp_leader,opp_leader-perc,opp_banned,opp_banned-perc,opp_first,opp_first-perc,opp_last,opp_last-perc,opp_1p-win,opp_1p-win-perc,opp_5p-win,opp_5p-win-perc
Fran,23,76.7,17,73.9,6,26.1,3,13.0,14,60.9,0,0.0,9,64.3,0,0.0,<--,Fran,6,20.0,3,50.0,0,0.0,1,16.7,5,83.3,0,0.0,2,40.0,0,0.0
Ragdoll,24,80.0,18,75.0,0,0.0,4,16.7,1,4.2,0,0.0,0,0.0,0,0.0,<--,Ragdoll,4,13.3,2,50.0,1,25.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Vanessa,9,30.0,7,77.8,8,88.9,1,11.1,0,0.0,1,11.1,0,0.0,0,0.0,<--,Vanessa,1,3.3,1,100.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Vigor,17,56.7,12,70.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Vigor,3,10.0,3,100.0,0,0.0,1,33.3,0,0.0,0,0.0,0,0.0,0,0.0
Okeanos,18,60.0,13,72.2,2,11.1,7,38.9,0,0.0,1,5.6,0,0.0,1,100.0,<--,Okeanos,5,16.7,4,80.0,0,0.0,0,0.0,1,20.0,0,0.0,0,0.0,0,0.0
Seara,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Seara,14,46.7,11,78.6,10,71.4,3,21.4,3,21.4,1,7.1,0,0.0,0,0.0
Verdehile,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Verdehile,3,10.0,3,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Yeonhong,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Yeonhong,1,3.3,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Daphnis,1,3.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Daphnis,4,13.3,3,75.0,2,50.0,0,0.0,0,0.0,1,25.0,0,0.0,0,0.0
Giana,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Giana,6,20.0,5,83.3,2,33.3,4,66.7,1,16.7,1,16.7,0,0.0,0,0.0
Juno,13,43.3,8,61.5,3,23.1,0,0.0,0,0.0,2,15.4,0,0.0,2,100.0,<--,Juno,4,13.3,3,75.0,0,0.0,2,50.0,0,0.0,1,25.0,0,0.0,1,100.0
Ethna,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Ethna,3,10.0,3,100.0,1,33.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Cheongpung,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Cheongpung,7,23.3,5,71.4,0,0.0,1,14.3,0,0.0,0,0.0,0,0.0,0,0.0
Velajuel,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Velajuel,5,16.7,3,60.0,1,20.0,1,20.0,0,0.0,0,0.0,0,0.0,0,0.0
Masha,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Masha,2,6.7,1,50.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0
Tesarion,4,13.3,3,75.0,1,25.0,3,75.0,0,0.0,1,25.0,0,0.0,1,100.0,<--,Tesarion,2,6.7,1,50.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0
Taranys,4,13.3,3,75.0,0,0.0,2,50.0,0,0.0,3,75.0,0,0.0,3,100.0,<--,Taranys,3,10.0,0,0.0,0,0.0,1,33.3,0,0.0,0,0.0,0,0.0,0,0.0
Jager,13,43.3,9,69.2,4,30.8,2,15.4,0,0.0,0,0.0,0,0.0,0,0.0,<--,Jager,3,10.0,2,66.7,1,33.3,0,0.0,1,33.3,0,0.0,0,0.0,0,0.0
Molly,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Molly,9,30.0,7,77.8,0,0.0,0,0.0,1,11.1,0,0.0,0,0.0,0,0.0
Lulu,6,20.0,5,83.3,0,0.0,2,33.3,0,0.0,2,33.3,0,0.0,2,100.0,<--,Lulu,2,6.7,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
XingZhe,5,16.7,4,80.0,5,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,XingZhe,1,3.3,1,100.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Miho,1,3.3,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,<--,Miho,2,6.7,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Laika,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Laika,2,6.7,2,100.0,0,0.0,0,0.0,0,0.0,1,50.0,0,0.0,0,0.0
Vivachel,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Vivachel,1,3.3,1,100.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0
