battle_#,win_loss,p1,p2,p3,p4,p5,first,last,leader,banned,opp_p1,opp_p2,opp_p3,opp_p4,opp_p5,opp_first,opp_last,opp_leader,opp_banned,date_added,player,opponent
0,True,Seara,Okeanos,Han,Moore/WaterRYU1,Giana,Seara,None,Moore/WaterRYU1,Giana,Fran,Savannah,Juno,Ganymede,Sian,None,Sian,Juno,Sian,2021-01-09 01:50:51,Ex|Shizzy,おがさわら
1,True,Seara,Giana,Han,Moore/WaterRYU1,Velajuel,None,Velajuel,Seara,Velajuel,Okeanos,Ragdoll,Fran,Savannah,Rica,Okeanos,None,Fran,Rica,2021-01-09 01:38:01,Ex|Shizzy,o0从麟开始0o
2,True,Seara,Okeanos,Giana,Savannah,Moore/WaterRYU1,None,Savannah,Seara,Moore/WaterRYU1,Ganymede,Chiwu,Vanessa,Barbara,QitianDasheng,Ganymede,None,Vanessa,QitianDasheng,2021-01-09 01:34:31,Ex|Shizzy,김선생님
3,True,Okeanos,Moore/WaterRYU1,Han,Juno,Giana,None,Juno,Moore/WaterRYU1,Giana,Hathor,Seara,Fran,Ganymede,Chiwu,Hathor,None,Seara,Chiwu,2021-01-09 01:30:01,Ex|Shizzy,布丁鮮奶茶➿
4,True,Seara,Vigor,Han,Giana,Fran,Fran,None,Seara,Fran,Okeanos,Vanessa,Jager,Tetra,Ragdoll,None,Tetra,Vanessa,Ragdoll,2021-01-09 01:26:21,Ex|Shizzy,Elmimo
5,True,Okeanos,Seara,Vigor,Savannah,Giana,None,Savannah,Seara,Giana,Fran,Jager,Lulu,XingZhe,Ragdoll,Fran,None,Fran,Ragdoll,2021-01-09 01:24:11,Ex|Shizzy,Elmimo
6,False,Giana,Seara,Moore/WaterRYU1,Fran,Savannah,Giana,None,Seara,Savannah,Okeanos,Ganymede,TianLang,Molly,Leo,None,Leo,Ganymede,Leo,2021-01-09 01:20:31,Ex|Shizzy,包是面包的包
7,True,Seara,Giana,Savannah,Velajuel,Moore/WaterRYU1,None,Velajuel,Seara,Moore/WaterRYU1,Okeanos,Cheongpung,Vanessa,Hathor,Chiwu,Okeanos,None,Vanessa,Chiwu,2021-01-09 01:14:43,Ex|Shizzy,Krom`z
8,True,Okeanos,Han,Vanessa,Savannah,Giana,Okeanos,None,Vanessa,Giana,Seara,Ganymede,Moore/WaterRYU1,Chiwu,Cheongpung,None,Chiwu,Seara,Cheongpung,2021-01-09 01:11:26,Ex|Shizzy,Krom`z
9,False,Vanessa,Okeanos,Han,Moore/WaterRYU1,Giana,None,Moore/WaterRYU1,Vanessa,Giana,Praha,Sekhmet,Vigor,Akia,Seara,Seara,None,Praha,Seara,2021-01-09 01:07:06,Ex|Shizzy,LeMambo
