monster_name,pick,pick-perc,win,win-perc,leader,leader-perc,banned,banned-perc,first,first-perc,last,last-perc,1p-win,1p-win-perc,5p-win,5p-win-perc,user,monster,opp_pick,opp_pick-perc,opp_win,opp_win-perc,opp_leader,opp_leader-perc,opp_banned,opp_banned-perc,opp_first,opp_first-perc,opp_last,opp_last-perc,opp_1p-win,opp_1p-win-perc,opp_5p-win,opp_5p-win-perc
Seara,17,63.0,15,88.2,12,70.6,4,23.5,2,11.8,0,0.0,2,100.0,0,0.0,<--,Seara,9,33.3,7,77.8,3,33.3,3,33.3,5,55.6,0,0.0,1,20.0,0,0.0
Okeanos,16,59.3,13,81.2,2,12.5,2,12.5,5,31.2,1,6.2,4,80.0,0,0.0,<--,Okeanos,9,33.3,8,88.9,1,11.1,4,44.4,6,66.7,0,0.0,0,0.0,0,0.0
Han,21,77.8,19,90.5,1,4.8,4,19.0,0,0.0,1,4.8,0,0.0,1,100.0,<--,Han,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Moore/WaterRYU1,11,40.7,8,72.7,3,27.3,3,27.3,0,0.0,1,9.1,0,0.0,0,0.0,<--,Moore/WaterRYU1,3,11.1,3,100.0,1,33.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Giana,25,92.6,22,88.0,0,0.0,6,24.0,3,12.0,0,0.0,2,66.7,0,0.0,<--,Giana,1,3.7,0,0.0,0,0.0,1,100.0,1,100.0,0,0.0,1,100.0,0,0.0
Fran,10,37.0,8,80.0,3,30.0,1,10.0,1,10.0,0,0.0,1,100.0,0,0.0,<--,Fran,5,18.5,5,100.0,2,40.0,0,0.0,1,20.0,0,0.0,0,0.0,0,0.0
Savannah,16,59.3,14,87.5,0,0.0,3,18.8,0,0.0,5,31.2,0,0.0,5,100.0,<--,Savannah,4,14.8,4,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Juno,1,3.7,1,100.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,1,100.0,<--,Juno,10,37.0,10,100.0,1,10.0,1,10.0,0,0.0,1,10.0,0,0.0,0,0.0
Ganymede,4,14.8,4,100.0,2,50.0,0,0.0,0,0.0,2,50.0,0,0.0,2,100.0,<--,Ganymede,8,29.6,7,87.5,1,12.5,1,12.5,1,12.5,0,0.0,0,0.0,0,0.0
Sian,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Sian,1,3.7,1,100.0,0,0.0,1,100.0,0,0.0,1,100.0,0,0.0,0,0.0
Velajuel,2,7.4,2,100.0,0,0.0,1,50.0,0,0.0,2,100.0,0,0.0,2,100.0,<--,Velajuel,1,3.7,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Ragdoll,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Ragdoll,5,18.5,4,80.0,0,0.0,3,60.0,0,0.0,0,0.0,0,0.0,0,0.0
Rica,1,3.7,1,100.0,0,0.0,1,100.0,0,0.0,1,100.0,0,0.0,1,100.0,<--,Rica,1,3.7,1,100.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0
Chiwu,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Chiwu,8,29.6,7,87.5,2,25.0,3,37.5,0,0.0,1,12.5,0,0.0,0,0.0
Vanessa,4,14.8,2,50.0,4,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Vanessa,5,18.5,5,100.0,5,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Barbara,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Barbara,5,18.5,4,80.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
QitianDasheng,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,QitianDasheng,1,3.7,1,100.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0
Hathor,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Hathor,4,14.8,3,75.0,0,0.0,2,50.0,1,25.0,0,0.0,0,0.0,0,0.0
Vigor,4,14.8,4,100.0,0,0.0,0,0.0,0,0.0,1,25.0,0,0.0,1,100.0,<--,Vigor,3,11.1,1,33.3,0,0.0,0,0.0,1,33.3,0,0.0,0,0.0,0,0.0
Jager,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Jager,3,11.1,3,100.0,1,33.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Tetra,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Tetra,4,14.8,4,100.0,0,0.0,0,0.0,0,0.0,2,50.0,0,0.0,0,0.0
Lulu,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Lulu,1,3.7,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
