battle_#,win_loss,p1,p2,p3,p4,p5,first,last,leader,banned,opp_p1,opp_p2,opp_p3,opp_p4,opp_p5,opp_first,opp_last,opp_leader,opp_banned,date_added,player,opponent
0,True,Seara,Fran,Ganymede,Barbara,Daphnis,Seara,None,Seara,Daphnis,Okeanos,Woosa,Juno,Velajuel,Leo,None,Leo,Velajuel,Leo,2021-01-09 04:02:22,Faintmemοry,NoSoul4Me
1,True,Okeanos,Fran,Han,Gemini,Cheongpung,None,Gemini,Gemini,Cheongpung,Seara,Hathor,Ganymede,ShiHou,Chiwu,Seara,None,Seara,Chiwu,2021-01-09 03:57:34,Faintmemοry,소름-
2,False,Seara,Okeanos,Fran,Cheongpung,Verdehile,None,Verdehile,Seara,Verdehile,Han,Savannah,Bering,Woonsa,Nephthys,Han,None,Han,Nephthys,2021-01-09 03:54:58,Faintmemοry,Reach
3,True,Fran,Cheongpung,Sian,Han,Seara,Seara,None,Han,Seara,Okeanos,Ganymede,Juno,Barbara,Ragdoll,None,Barbara,Ganymede,Ragdoll,2021-01-09 03:51:54,Faintmemοry,Elizondo-CR
4,True,Seara,Okeanos,Han,Ganymede,Gemini,None,Gemini,Seara,Gemini,Fran,Molly,Cheongpung,Nephthys,Ragdoll,Fran,None,Nephthys,Ragdoll,2021-01-09 03:49:04,Faintmemοry,『MɨҨueℓ』
5,True,Fran,Okeanos,Cheongpung,Han,Moore/WaterRYU,None,Moore/WaterRYU,Fran,Moore/WaterRYU,Barbara,Velajuel,Chiwu,Juno,Seara,Seara,None,Chiwu,Seara,2021-01-09 03:44:14,Faintmemοry,来自欧洲的浩浩
6,False,Okeanos,Cheongpung,Fran,Gemini,Han,None,Gemini,Fran,Han,Seara,Vanessa,Jamire,Juno,Barbara,Seara,None,Vanessa,Barbara,2021-01-09 03:41:08,Faintmemοry,来自欧洲的浩浩
7,False,Seara,Okeanos,Cheongpung,Ganymede,Gemini,Seara,None,Seara,Gemini,Vanessa,Pater,Molly,Juno,Moore/WaterRYU1,None,Moore/WaterRYU1,Vanessa,Moore/WaterRYU1,2021-01-09 03:37:14,Faintmemοry,イヤキチばばあ
8,True,Seara,Fran,Ganymede,Sian,Verdehile,Seara,None,Seara,Verdehile,Savannah,Tablo,Eshir,Shimitae,Okeanos,None,Shimitae,Shimitae,Okeanos,2021-01-09 03:31:22,Faintmemοry,GodAcog
9,True,Fran,Cheongpung,Ganymede,Han,Seara,None,Han,Fran,Seara,Okeanos,Barbara,Ethna,Triton,Tablo,Okeanos,None,Okeanos,Tablo,2021-01-09 03:26:31,Faintmemοry,~>Toxik<~
10,True,Seara,Okeanos,Cheongpung,Fran,Gemini,None,Gemini,Seara,Gemini,Artamiel,Molly,Triana,Harmonia,Amelia,Artamiel,None,Artamiel,Amelia,2021-01-09 03:20:33,Faintmemοry,༺狗拖༻
11,False,Fran,Okeanos,Cheongpung,Han,Moore/WaterRYU,None,Han,Fran,Moore/WaterRYU,Seara,Daphnis,Barbara,Verdehile,Vanessa,Seara,None,Seara,Vanessa,2021-01-09 03:12:33,Faintmemοry,ƑɾӠժ•
12,True,Seara,Okeanos,Cheongpung,Fran,Sian,Seara,None,Seara,Sian,XingZhe,Juno,Leo,MeiHouWang,Velajuel,None,Velajuel,XingZhe,Velajuel,2021-01-09 03:09:15,Faintmemοry,ひら子♡3rd
13,False,Seara,Han,Ganymede,Betta,Cheongpung,None,Betta,Seara,Cheongpung,Okeanos,Verdehile,Fran,Ethna,Woonsa,Okeanos,None,Fran,Woonsa,2021-01-09 03:07:24,Faintmemοry,공략불가
14,False,Seara,Moore/WaterRYU,Cheongpung,Sian,Fran,None,Sian,Seara,Fran,Chiwu,Ganymede,Verdehile,Juno,Okeanos,Okeanos,None,Chiwu,Okeanos,2021-01-09 03:02:30,Faintmemοry,sjdhe7
