battle_#,win_loss,p1,p2,p3,p4,p5,first,last,leader,banned,opp_p1,opp_p2,opp_p3,opp_p4,opp_p5,opp_first,opp_last,opp_leader,opp_banned,date_added,player,opponent
0,True,Nicki,Draco,Bernard,Julie,Lushen,Nicki,None,Nicki,Lushen,Pater,Craka,Lydia,Rahul,Ragdoll,None,Rahul,Craka,Ragdoll,2021-01-09 10:24:05,FlagBearer,Kenballer
1,True,Nicki,Bernard,Draco,Shimitae,Garo,Nicki,None,Shimitae,Garo,Seara,Giana,Vanessa,Elucia,Hwadam,None,Hwadam,Vanessa,Hwadam,2021-01-09 10:21:09,FlagBearer,那些你冒险的梦
2,False,Nicki,Draco,Bernard,Shimitae,Garo,None,Garo,Shimitae,Garo,Okeanos,Seara,Chiwu,Savannah,Woonsa,Okeanos,None,Seara,Woonsa,2021-01-09 00:52:35,FlagBearer,Valhh
3,True,Nicki,Bernard,Shimitae,Garo,Draco,Nicki,None,Shimitae,Draco,Bastet,Chiwu,Savannah,Lushen,Psamathe,None,Lushen,Chiwu,Psamathe,2021-01-09 00:50:09,FlagBearer,りゅうとRK
4,False,Nicki,Vigor,Okeanos,Daphnis,Verdehile,Nicki,None,Daphnis,Verdehile,Vanessa,Eshir,Juno,Savannah,Sekhmet,None,Sekhmet,Vanessa,Sekhmet,2021-01-09 00:48:12,FlagBearer,LeMambo
5,True,Nicki,Draco,Bernard,Julie,Lushen,None,Lushen,Nicki,Lushen,Vanessa,Harmonia,Diana,FengYan,Bastet,Bastet,None,Vanessa,Bastet,2021-01-09 00:46:02,FlagBearer,欧阳乘风
6,False,Nicki,Draco,Daphnis,Vigor,Miho,None,Miho,Daphnis,Miho,Okeanos,Molly,Psamathe,Chow,Ragdoll,Okeanos,None,Psamathe,Ragdoll,2021-01-09 00:43:50,FlagBearer,呆橘不发呆
7,True,Draco,Bernard,Shimitae,Psamathe,Nicki,Nicki,None,Psamathe,Nicki,Okeanos,Ethna,Seara,Vigor,Triana,None,Triana,Seara,Triana,2021-01-09 00:38:23,FlagBearer,Hughedingo
8,True,Nicki,Draco,Bernard,Julie,Lushen,Nicki,None,Nicki,Lushen,Asima,Tiana,Douglas/FireRYU1,Molly,Leo,None,Leo,Tiana,Leo,2021-01-09 00:33:53,FlagBearer,Sâm???
9,True,Okeanos,Nicki,Vigor,Rica,Verdehile,Okeanos,None,Okeanos,Verdehile,Vanessa,Giana,Seara,Triton,Verad,None,Verad,Vanessa,Verad,2021-01-09 00:10:59,FlagBearer,Seiishizo
10,False,Nicki,Draco,Shimitae,Bernard,Miho,None,Miho,Shimitae,Miho,Okeanos,Vanessa,Leo,Verdehile,Giana,Okeanos,None,Vanessa,Giana,2021-01-09 00:07:02,FlagBearer,Seiishizo
11,True,Nicki,Draco,Bernard,Shimitae,Garo,None,Garo,Shimitae,Garo,Seara,Barbara,Tablo,Leo,Magnum,Seara,None,Tablo,Magnum,2021-01-08 09:16:42,FlagBearer,xᴀɴᴀx
12,True,Nicki,Bernard,Shimitae,Garo,Draco,None,Garo,Shimitae,Draco,Okeanos,Chiwu,Barbara,Psamathe,Leo,Okeanos,None,Psamathe,Leo,2021-01-08 09:14:13,FlagBearer,#미업
13,True,Draco,Bernard,Shimitae,Psamathe,Nicki,Nicki,None,Psamathe,Nicki,Okeanos,Ganymede,Chiwu,Barbara,Diana,None,Diana,Chiwu,Diana,2021-01-08 09:12:20,FlagBearer,#미업
14,True,Nicki,Draco,Bernard,Lushen,Julie,Nicki,None,Bernard,Julie,Okeanos,Triana,Velajuel,Taranys,Leo,None,Leo,Velajuel,Leo,2021-01-08 09:10:37,FlagBearer,Turtle™
15,False,Nicki,Draco,Bernard,Lushen,Shimitae,None,Lushen,Bernard,Shimitae,Okeanos,Chiwu,Giana,Triana,Psamathe,Okeanos,None,Chiwu,Psamathe,2021-01-10 00:50:01,FlagBearer,OTPit
16,False,Nicki,Draco,Bernard,Julie,Lushen,None,Julie,Nicki,Lushen,Molly,Vigor,Juno,Akroma,Moore/WaterRYU1,Molly,None,Akroma,Moore/WaterRYU1,2021-01-10 00:47:15,FlagBearer,~luckyme~
17,True,Nicki,Draco,Bernard,Julie,Lushen,None,Julie,Nicki,Lushen,Giana,Molly,Lydia,Jager,Ragdoll,Giana,None,Jager,Ragdoll,2021-01-10 00:45:01,FlagBearer,杰咪爸
18,False,Nicki,Draco,Bernard,Julie,Lushen,Nicki,None,Nicki,Lushen,Vigor,Tetra,Antares,Leo,TianLang,None,Leo,Leo,TianLang,2021-01-10 00:43:05,FlagBearer,로키_
19,True,Nicki,Draco,Bernard,Shimitae,Garo,Nicki,None,Shimitae,Garo,Okeanos,Ganymede,Chiwu,Triton,Vanessa,None,Triton,Chiwu,Vanessa,2021-01-10 00:41:05,FlagBearer,삞돮줦
20,False,Nicki,Vigor,Daphnis,Triana,Okeanos,Nicki,None,Daphnis,Okeanos,Molly,Taranys,MoLong,Illiana,Beelzebub,None,Beelzebub,MoLong,Beelzebub,2021-01-10 00:38:02,FlagBearer,アイアム貝
21,False,Nicki,Draco,Bernard,Shimitae,Psamathe,None,Psamathe,Shimitae,Psamathe,Chiwu,Bastet,Poseidon,Vanessa,Diana,Chiwu,None,Vanessa,Diana,2021-01-10 00:34:03,FlagBearer,りんちゃん09
