monster_name,pick,pick-perc,win,win-perc,leader,leader-perc,banned,banned-perc,first,first-perc,last,last-perc,1p-win,1p-win-perc,5p-win,5p-win-perc,user,monster,opp_pick,opp_pick-perc,opp_win,opp_win-perc,opp_leader,opp_leader-perc,opp_banned,opp_banned-perc,opp_first,opp_first-perc,opp_last,opp_last-perc,opp_1p-win,opp_1p-win-perc,opp_5p-win,opp_5p-win-perc
Nicki,22,100.0,13,59.1,6,27.3,2,9.1,11,50.0,0,0.0,8,72.7,0,0.0,<--,Nicki,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Draco,19,86.4,12,63.2,0,0.0,2,10.5,0,0.0,0,0.0,0,0.0,0,0.0,<--,Draco,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Bernard,18,81.8,12,66.7,2,11.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Bernard,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Julie,7,31.8,5,71.4,0,0.0,1,14.3,0,0.0,2,28.6,0,0.0,1,50.0,<--,Julie,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Lushen,8,36.4,5,62.5,0,0.0,6,75.0,0,0.0,2,25.0,0,0.0,1,50.0,<--,Lushen,1,4.5,1,100.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0
Pater,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Pater,1,4.5,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Craka,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Craka,1,4.5,1,100.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Lydia,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Lydia,2,9.1,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Rahul,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Rahul,1,4.5,1,100.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0
Ragdoll,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Ragdoll,3,13.6,2,66.7,0,0.0,3,100.0,0,0.0,0,0.0,0,0.0,0,0.0
