battle_#,win_loss,p1,p2,p3,p4,p5,first,last,leader,banned,opp_p1,opp_p2,opp_p3,opp_p4,opp_p5,opp_first,opp_last,opp_leader,opp_banned,date_added,player,opponent
0,False,Okeanos,Praha,Savannah,Rica,Seara,Okeanos,None,Okeanos,Seara,MoLong,Juno,Taranys,Rakan,Fran,None,Fran,MoLong,Fran,2021-01-09 13:09:49,GreekSteeler,欧皇༢Givemeཏ
1,False,Okeanos,Fran,Praha,Soha,Savannah,None,Soha,Okeanos,Savannah,Seara,Molly,Velajuel,Amelia,Leo,Seara,None,Seara,Leo,2021-01-09 13:05:46,GreekSteeler,Mariuss777
2,False,Okeanos,Fran,Praha,Rica,Savannah,None,Rica,Okeanos,Savannah,Poseidon,Thrain,Vereesa/DarkCHUN-LI1,Yeonhong,Bellenus,Bellenus,None,Poseidon,Bellenus,2021-01-09 12:58:26,GreekSteeler,☆.LOKI.☆
3,True,Okeanos,Praha,Rica,Ganymede,Fran,None,Ganymede,Ganymede,Fran,Seara,Barbara,Vanessa,Bastet,Savannah,Seara,None,Vanessa,Savannah,2021-01-09 12:51:02,GreekSteeler,-BlackOrder-
4,True,Okeanos,Fran,Praha,Soha,Savannah,Okeanos,None,Okeanos,Savannah,Chiwu,Sekhmet,Yeonhong,Cheongpung,Seara,None,Cheongpung,Chiwu,Seara,2021-01-09 12:46:25,GreekSteeler,れお1003
5,True,Fran,Savannah,Soha,Praha,Okeanos,Okeanos,None,Fran,Okeanos,Hathor,Ganymede,Sekhmet,Ethna,Chiwu,None,Ethna,Ganymede,Chiwu,2021-01-09 12:43:57,GreekSteeler,☆SkyzGR☆
6,False,Fran,Praha,Savannah,Vanessa,Okeanos,None,Vanessa,Praha,Okeanos,Ragdoll,Craka,Leo,Bering,Seara,Seara,None,Bering,Seara,2021-01-09 11:55:18,GreekSteeler,○meko＿ボッキ
7,True,Seara,Fran,Okeanos,Soha,Praha,None,Soha,Seara,Praha,Chloe,Bellenus,Diana,Triana,Garo,Chloe,None,Chloe,Garo,2021-01-09 11:49:20,GreekSteeler,휴지우유
8,False,Seara,Savannah,Praha,Soha,Okeanos,Seara,None,Seara,Okeanos,MoLong,Harmonia,Juno,Artamiel,Taranys,None,Taranys,MoLong,Taranys,2021-01-09 11:43:58,GreekSteeler,不安敬
9,False,Seara,Okeanos,Fran,Savannah,Ganymede,None,Ganymede,Seara,Ganymede,Woonsa,Beth,Lydia,Bellenus,Diana,Woonsa,None,Beth,Diana,2021-01-09 11:39:56,GreekSteeler,•iGaN•
10,False,Savannah,Ganymede,Vanessa,Fran,Okeanos,None,Fran,Vanessa,Okeanos,Seara,Loren,Miho,Antares,Diana,Seara,None,Seara,Diana,2021-01-09 11:36:43,GreekSteeler,~HailSatan~
11,False,Praha,Ganymede,Soha,Vanessa,Seara,Seara,None,Praha,Seara,Fran,Juno,Mina,Rica,Leona,None,Leona,Fran,Leona,2021-01-08 15:01:39,GreekSteeler,₭I_Katpor
12,True,Seara,Praha,Savannah,Soha,Okeanos,None,Soha,Seara,Okeanos,Fran,Illiana,Taranys,Woonsa,Lushen,Fran,None,Fran,Lushen,2021-01-08 14:58:15,GreekSteeler,PunkerTob
13,False,Fran,Savannah,Vanessa,Praha,Seara,Seara,None,Praha,Seara,Ganymede,Juno,Verdehile,Leo,Okeanos,None,Leo,Juno,Okeanos,2021-01-08 14:50:49,GreekSteeler,是青春也是遗憾
14,True,Seara,Okeanos,Fran,Praha,Savannah,None,Savannah,Okeanos,Savannah,Psamathe,Vigor,Laika,Molly,Nephthys,Psamathe,None,Molly,Nephthys,2021-01-08 14:37:37,GreekSteeler,Kebo92
