battle_#,win_loss,p1,p2,p3,p4,p5,first,last,leader,banned,opp_p1,opp_p2,opp_p3,opp_p4,opp_p5,opp_first,opp_last,opp_leader,opp_banned,date_added,player,opponent
0,False,Cheongpung,Molly,Jager,Pater,Ragdoll,None,Pater,Jager,Ragdoll,Giana,Fran,Savannah,Han,Seara,Giana,None,Fran,Seara,2021-01-09 00:56:27,杰咪爸,Ex|Shizzy
1,True,Cheongpung,Jager,Ragdoll,Nephthys,Giana,Giana,None,Nephthys,Giana,Seara,Okeanos,Savannah,Fran,Molly,None,Fran,Seara,Molly,2021-01-09 00:51:35,杰咪爸,Ex|Shizzy
2,True,Giana,Cheongpung,Jager,Molly,Ragdoll,None,Ragdoll,Jager,Ragdoll,Seara,Fran,Okeanos,Barbara,Ethna,Seara,None,Seara,Ethna,2021-01-09 00:49:05,杰咪爸,俏皮可爱小瓦瓦
3,True,Giana,Cheongpung,Jager,Molly,Ragdoll,None,Ragdoll,Jager,Ragdoll,Chiwu,QitianDasheng,Verdehile,Woonsa,Seara,Seara,None,Chiwu,Seara,2021-01-09 00:45:42,杰咪爸,ZeOmi
4,False,Giana,Seara,Molly,TianLang,Jager,None,TianLang,Seara,Jager,Ragdoll,Okeanos,Artamiel,Taranys,Fran,Ragdoll,None,Artamiel,Fran,2021-01-09 00:42:59,杰咪爸,ლ((ΦωΦ))ლ
5,True,Giana,Cheongpung,Ragdoll,Molly,Jager,None,Molly,Ragdoll,Jager,Seara,Juno,Taranys,Okeanos,Tetra,Seara,None,Seara,Tetra,2021-01-09 00:39:34,杰咪爸,_Iris_
6,False,Giana,Seara,Cheongpung,Jager,Nephthys,None,Nephthys,Seara,Nephthys,Molly,Artamiel,Rica,Juno,Tetra,Molly,None,Artamiel,Tetra,2021-01-09 00:36:17,杰咪爸,姐姐们的马
7,False,Jager,Molly,Cheongpung,Ragdoll,Pater,None,Pater,Jager,Pater,Fran,Seara,Tesarion,Vigor,Giana,Giana,None,Seara,Giana,2021-01-09 00:32:16,杰咪爸,海贼༒卡罗特
8,True,Giana,Molly,Ragdoll,Nephthys,Jager,Giana,None,Nephthys,Jager,Verdehile,Juno,Akroma,Tesarion,Tetra,None,Tesarion,Akroma,Tetra,2021-01-09 00:28:11,杰咪爸,[MY]XenoEX
9,False,Jager,Molly,Ragdoll,Leo,Nephthys,None,Nephthys,Jager,Nephthys,Lushen,Tablo,Miho,Laika,Bastet,Bastet,None,Laika,Bastet,2021-01-09 00:24:05,杰咪爸,venry
10,True,Giana,Jager,Juno,Nephthys,Molly,Giana,None,Nephthys,Molly,Chiwu,Okeanos,Cheongpung,Tablo,Isis,None,Tablo,Chiwu,Isis,2021-01-09 00:19:09,杰咪爸,BloodyKlaw
11,True,Giana,Cheongpung,Seara,Nephthys,Ragdoll,Giana,None,Nephthys,Ragdoll,Leo,Helena,Sekhmet,Rakan,Molly,None,Rakan,Rakan,Molly,2021-01-08 22:38:04,杰咪爸,等光暗的卡米拉
12,True,Cheongpung,Giana,Jager,Ragdoll,Molly,None,Ragdoll,Giana,Molly,Seara,Chiwu,Verdehile,Leo,MoLong,Seara,None,Seara,MoLong,2021-01-08 22:32:30,杰咪爸,ོꦿꫛꫀꪝ　
13,True,Giana,Jager,Molly,TianLang,Nephthys,None,Nephthys,Jager,Nephthys,Wedjat,FengYan,Taranys,Vigor,Velajuel,Velajuel,None,Wedjat,Velajuel,2021-01-08 22:24:54,杰咪爸,삞댥챦
14,True,Cheongpung,Jager,Molly,Ragdoll,Giana,None,Ragdoll,Jager,Giana,Seara,Okeanos,Ganymede,Fran,Tesarion,Seara,None,Seara,Tesarion,2021-01-08 22:17:17,杰咪爸,Zera
15,True,Molly,Jager,TianLang,Miho,Giana,None,Miho,Jager,Giana,Ragdoll,Fran,Cheongpung,Laika,Nephthys,Ragdoll,None,Fran,Nephthys,2021-01-10 11:55:09,杰咪爸,오드나
16,True,Giana,Jager,Pater,Juno,Molly,Giana,None,Giana,Molly,Moore/WaterRYU1,Bernadotte/KEN,Nephthys,Barbara,Cheongpung,None,Barbara,Nephthys,Cheongpung,2021-01-10 11:50:05,杰咪爸,東方無敵
