battle_#,win_loss,p1,p2,p3,p4,p5,first,last,leader,banned,opp_p1,opp_p2,opp_p3,opp_p4,opp_p5,opp_first,opp_last,opp_leader,opp_banned,date_added,player,opponent
0,False,Okeanos,Shimitae,Bastet,Seara,Woonsa,Okeanos,None,Seara,Woonsa,Cheongpung,Chiwu,Savannah,Gemini,TianLang,None,Gemini,Chiwu,TianLang,2021-01-09 05:28:36,KĪRĪN_,-MD5-
1,False,Bastet,ShiHou,Psamathe,Woonsa,Seara,Seara,None,Psamathe,Seara,Chiwu,Okeanos,Cheongpung,Savannah,Diana,None,Diana,Chiwu,Diana,2021-01-09 05:25:56,KĪRĪN_,takuzo10
2,False,Bastet,Okeanos,Shimitae,Eshir,Masha,None,Masha,Shimitae,Masha,Seara,Moore/WaterRYU1,Cheongpung,Verdehile,Leo,Seara,None,Seara,Leo,2021-01-09 05:22:49,KĪRĪN_,takuzo10
3,False,Bastet,Okeanos,Tesarion,Daphnis,Seara,None,Daphnis,Okeanos,Seara,Molly,Juno,Leo,Fran,ShiHou,Molly,None,Juno,ShiHou,2021-01-09 05:19:42,KĪRĪN_,༺BR༄Leo༻
4,False,Okeanos,Shimitae,Woonsa,Lushen,Bastet,Okeanos,None,Okeanos,Bastet,Seara,Fran,Ragdoll,Juno,Diana,None,Diana,Seara,Diana,2021-01-09 05:14:02,KĪRĪN_,ÇuzImaG
5,True,Bastet,Okeanos,Vanessa,Tesarion,Cheongpung,None,Tesarion,Okeanos,Cheongpung,Seara,Juno,Ragdoll,Leo,Amelia,Seara,None,Juno,Amelia,2021-01-09 05:11:00,KĪRĪN_,Noprocplease
6,True,Okeanos,Bastet,Shimitae,Woonsa,Cheongpung,Okeanos,None,Shimitae,Cheongpung,Nephthys,Giana,Seara,Josephine,Molly,None,Josephine,Seara,Molly,2021-01-08 14:50:04,KĪRĪN_,程式設計師
7,True,Bastet,Shimitae,Trinity,Woonsa,Okeanos,Bastet,None,Trinity,Okeanos,Vanessa,Fran,Barbara,Taranys,Ragdoll,None,Taranys,Vanessa,Ragdoll,2021-01-08 14:46:16,KĪRĪN_,家里有匹小野马
8,True,Bastet,Shimitae,Woonsa,Trinity,Okeanos,None,Trinity,Trinity,Okeanos,Seara,Chiwu,Cheongpung,QitianDasheng,Verdehile,Seara,None,Seara,Verdehile,2021-01-08 14:43:49,KĪRĪN_,溅人灬香香
9,False,Seara,Okeanos,Vanessa,Eshir,Woonsa,None,Woonsa,Vanessa,Woonsa,Bastet,Leo,Lushen,Julie,Lucifer,Bastet,None,Bastet,Lucifer,2021-01-08 14:41:18,KĪRĪN_,GEAN
10,False,Shimitae,Poseidon,Masha,ShiHou,Bastet,None,ShiHou,Shimitae,Bastet,Molly,Vanessa,Miho,Antares,Okeanos,Okeanos,None,Vanessa,Okeanos,2021-01-08 14:39:03,KĪRĪN_,관자오일파스타
11,True,Okeanos,Bastet,Cheongpung,Daphnis,Miho,Okeanos,None,Okeanos,Miho,Fran,Molly,Jager,MeiHouWang,Ragdoll,None,MeiHouWang,Fran,Ragdoll,2021-01-08 14:33:31,KĪRĪN_,MiranღNoah
12,True,Okeanos,Shimitae,Woonsa,Psamathe,Bastet,None,Psamathe,Psamathe,Bastet,Hathor,Vanessa,Giana,Verdehile,Moore/WaterRYU1,Hathor,None,Vanessa,Moore/WaterRYU1,2021-01-08 14:29:46,KĪRĪN_,R00T_
13,True,Bastet,Okeanos,Eshir,Masha,Shimitae,None,Masha,Okeanos,Shimitae,Seara,Verdehile,Fran,Juno,Ethna,Seara,None,Seara,Ethna,2021-01-08 14:26:58,KĪRĪN_,明天就弃坑、
14,True,Okeanos,Bastet,Cheongpung,Tesarion,Miho,Okeanos,None,Okeanos,Miho,Molly,Ragdoll,Jager,Verdehile,Fran,None,Fran,Jager,Fran,2021-01-08 14:21:44,KĪRĪN_,MiranღNoah
15,False,Shimitae,Bastet,Trinity,Eshir,Okeanos,Okeanos,None,Trinity,Okeanos,Giana,Seara,Triana,Eladriel,Vanessa,None,Eladriel,Seara,Vanessa,2021-01-10 11:21:42,KĪRĪN_,肥大！使用飾拳
16,False,Shimitae,Bastet,Trinity,Woonsa,Poseidon,None,Woonsa,Trinity,Poseidon,Okeanos,Chiwu,Ganymede,Magnum,Leo,Okeanos,None,Chiwu,Leo,2021-01-10 11:19:13,KĪRĪN_,sjdhe7
17,True,Shimitae,Bastet,Trinity,Poseidon,Woonsa,None,Woonsa,Trinity,Woonsa,Okeanos,Chiwu,Cheongpung,Jamire,Leo,Okeanos,None,Chiwu,Leo,2021-01-10 11:15:32,KĪRĪN_,꧁KẹoNgọt꧂
18,True,Okeanos,Bastet,Cheongpung,Bellenus,Shimitae,Okeanos,None,Okeanos,Shimitae,Seara,Woonsa,Leo,Juno,Giana,None,Juno,Seara,Giana,2021-01-10 11:11:54,KĪRĪN_,™MrCường➰
19,True,Bastet,Cheongpung,Poseidon,Gemini,Okeanos,None,Gemini,Poseidon,Okeanos,MoLong,Harmonia,Icares,XingZhe,Leo,MoLong,None,MoLong,Leo,2021-01-10 04:58:18,KĪRĪN_,ごば(乂Д･)
20,False,Bastet,Okeanos,Cheongpung,Seara,Gemini,None,Gemini,Okeanos,Gemini,Vigor,MoLong,Juno,Rica,Velajuel,Vigor,None,MoLong,Velajuel,2021-01-10 04:53:00,KĪRĪN_,K1D_1C4RUS
21,True,Shimitae,Bastet,Trinity,Woonsa,Poseidon,None,Woonsa,Trinity,Poseidon,Okeanos,Vanessa,Giana,Izaria,Eshir,Okeanos,None,Vanessa,Eshir,2021-01-10 04:50:22,KĪRĪN_,Nevermore19
22,True,Okeanos,Shimitae,Bastet,Bellenus,Cheongpung,Okeanos,None,Okeanos,Cheongpung,Seara,Vanessa,Leo,Amelia,Giana,None,Amelia,Vanessa,Giana,2021-01-10 04:47:46,KĪRĪN_,Seiishizo
23,True,Shimitae,Bastet,Trinity,Poseidon,Woonsa,None,Woonsa,Trinity,Woonsa,Okeanos,Cheongpung,Chiwu,Savannah,Vanessa,Okeanos,None,Chiwu,Vanessa,2021-01-10 04:44:23,KĪRĪN_,MoJoRisn2112
24,True,Bastet,Okeanos,Cheongpung,Tesarion,Bellenus,None,Tesarion,Okeanos,Bellenus,Seara,Leo,Molly,Josephine,Verdehile,Seara,None,Seara,Verdehile,2021-01-10 04:29:57,KĪRĪN_,Hâm.[H]âm
25,True,Okeanos,Seara,Eshir,Psamathe,Woonsa,Okeanos,None,Psamathe,Woonsa,Chiwu,Bastet,Bellenus,Bernadotte/KEN,Garo,None,Bernadotte/KEN,Chiwu,Garo,2021-01-10 04:26:27,KĪRĪN_,Métropoilu
26,True,Okeanos,Shimitae,Eshir,Trinity,Bastet,None,Trinity,Trinity,Bastet,Seara,Verdehile,Chiwu,Barbara,Psamathe,Seara,None,Chiwu,Psamathe,2021-01-10 04:22:19,KĪRĪN_,BenSod
27,True,Okeanos,Shimitae,Bastet,Trinity,Woonsa,Okeanos,None,Trinity,Woonsa,Seara,Fran,Barbara,Savannah,Sian,None,Sian,Seara,Sian,2021-01-10 04:19:44,KĪRĪN_,BenSod
28,True,Okeanos,Bastet,Cheongpung,Tesarion,Bellenus,Okeanos,None,Okeanos,Bellenus,Leo,Antares,Diana,Rica,Molly,None,Rica,Leo,Molly,2021-01-10 04:18:09,KĪRĪN_,ʚしるばɞ
29,False,Seara,Bastet,Psamathe,Woonsa,Cheongpung,None,Cheongpung,Psamathe,Cheongpung,Okeanos,Vanessa,Giana,Triana,Diana,Okeanos,None,Vanessa,Diana,2021-01-10 04:14:39,KĪRĪN_,Seiishizo
