monster_name,pick,pick-perc,win,win-perc,leader,leader-perc,banned,banned-perc,first,first-perc,last,last-perc,1p-win,1p-win-perc,5p-win,5p-win-perc,user,monster,opp_pick,opp_pick-perc,opp_win,opp_win-perc,opp_leader,opp_leader-perc,opp_banned,opp_banned-perc,opp_first,opp_first-perc,opp_last,opp_last-perc,opp_1p-win,opp_1p-win-perc,opp_5p-win,opp_5p-win-perc
Okeanos,23,76.7,16,69.6,11,47.8,4,17.4,11,47.8,0,0.0,8,72.7,0,0.0,<--,Okeanos,7,23.3,3,42.9,0,0.0,1,14.3,6,85.7,0,0.0,3,50.0,0,0.0
Shimitae,18,60.0,12,66.7,3,16.7,2,11.1,0,0.0,0,0.0,0,0.0,0,0.0,<--,Shimitae,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Bastet,28,93.3,18,64.3,0,0.0,4,14.3,1,3.6,0,0.0,1,100.0,0,0.0,<--,Bastet,2,6.7,1,50.0,1,50.0,0,0.0,1,50.0,0,0.0,1,100.0,0,0.0
Seara,7,23.3,1,14.3,1,14.3,2,28.6,1,14.3,0,0.0,0,0.0,0,0.0,<--,Seara,12,40.0,9,75.0,9,75.0,0,0.0,6,50.0,0,0.0,1,16.7,0,0.0
Woonsa,15,50.0,9,60.0,0,0.0,6,40.0,0,0.0,5,33.3,0,0.0,3,60.0,<--,Woonsa,1,3.3,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Cheongpung,11,36.7,9,81.8,0,0.0,4,36.4,0,0.0,1,9.1,0,0.0,0,0.0,<--,Cheongpung,6,20.0,3,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Chiwu,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Chiwu,8,26.7,5,62.5,7,87.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Savannah,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Savannah,4,13.3,2,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Gemini,2,6.7,1,50.0,0,0.0,1,50.0,0,0.0,2,100.0,0,0.0,1,50.0,<--,Gemini,1,3.3,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,1,100.0
TianLang,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,TianLang,1,3.3,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0
