monster_name,pick,pick-perc,win,win-perc,leader,leader-perc,banned,banned-perc,first,first-perc,last,last-perc,1p-win,1p-win-perc,5p-win,5p-win-perc,user,monster,opp_pick,opp_pick-perc,opp_win,opp_win-perc,opp_leader,opp_leader-perc,opp_banned,opp_banned-perc,opp_first,opp_first-perc,opp_last,opp_last-perc,opp_1p-win,opp_1p-win-perc,opp_5p-win,opp_5p-win-perc
Okeanos,14,100.0,11,78.6,0,0.0,2,14.3,5,35.7,0,0.0,5,100.0,0,0.0,<--,Okeanos,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Seara,6,42.9,4,66.7,6,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Seara,5,35.7,4,80.0,3,60.0,2,40.0,2,40.0,0,0.0,1,50.0,0,0.0
Vigor,6,42.9,5,83.3,0,0.0,1,16.7,0,0.0,1,16.7,0,0.0,1,100.0,<--,Vigor,1,7.1,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Han,6,42.9,4,66.7,2,33.3,0,0.0,0,0.0,4,66.7,0,0.0,2,50.0,<--,Han,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Fran,9,64.3,6,66.7,3,33.3,3,33.3,0,0.0,0,0.0,0,0.0,0,0.0,<--,Fran,4,28.6,4,100.0,1,25.0,1,25.0,2,50.0,0,0.0,0,0.0,0,0.0
Ragdoll,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Ragdoll,3,21.4,3,100.0,0,0.0,0,0.0,1,33.3,0,0.0,0,0.0,0,0.0
XingZhe,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,XingZhe,3,21.4,2,66.7,2,66.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Praha,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Praha,3,21.4,2,66.7,1,33.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Juno,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Juno,2,14.3,2,100.0,0,0.0,0,0.0,0,0.0,1,50.0,0,0.0,0,0.0
Molly,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Molly,6,42.9,5,83.3,0,0.0,6,100.0,3,50.0,0,0.0,1,33.3,0,0.0
Chiwu,5,35.7,5,100.0,2,40.0,3,60.0,0,0.0,1,20.0,0,0.0,1,100.0,<--,Chiwu,3,21.4,2,66.7,1,33.3,1,33.3,0,0.0,0,0.0,0,0.0,0,0.0
Savannah,8,57.1,7,87.5,0,0.0,0,0.0,0,0.0,2,25.0,0,0.0,2,100.0,<--,Savannah,3,21.4,2,66.7,0,0.0,1,33.3,0,0.0,0,0.0,0,0.0,0,0.0
MeiHouWang,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,MeiHouWang,1,7.1,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
