monster_name,pick,pick-perc,win,win-perc,leader,leader-perc,banned,banned-perc,first,first-perc,last,last-perc,1p-win,1p-win-perc,5p-win,5p-win-perc,user,monster,opp_pick,opp_pick-perc,opp_win,opp_win-perc,opp_leader,opp_leader-perc,opp_banned,opp_banned-perc,opp_first,opp_first-perc,opp_last,opp_last-perc,opp_1p-win,opp_1p-win-perc,opp_5p-win,opp_5p-win-perc
Okeanos,16,88.9,9,56.2,0,0.0,4,25.0,12,75.0,0,0.0,8,66.7,0,0.0,<--,Okeanos,2,11.1,0,0.0,0,0.0,2,100.0,2,100.0,0,0.0,2,100.0,0,0.0
Ganymede,14,77.8,8,57.1,2,14.3,1,7.1,0,0.0,0,0.0,0,0.0,0,0.0,<--,Ganymede,2,11.1,1,50.0,1,50.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0
Cheongpung,17,94.4,9,52.9,0,0.0,2,11.8,0,0.0,0,0.0,0,0.0,0,0.0,<--,Cheongpung,1,5.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Yeonhong,12,66.7,7,58.3,2,16.7,1,8.3,0,0.0,0,0.0,0,0.0,0,0.0,<--,Yeonhong,1,5.6,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Tesarion,3,16.7,2,66.7,0,0.0,3,100.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Tesarion,1,5.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Vigor,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Vigor,3,16.7,1,33.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Molly,2,11.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Molly,3,16.7,2,66.7,0,0.0,1,33.3,0,0.0,0,0.0,0,0.0,0,0.0
Juno,1,5.6,0,0.0,1,100.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,<--,Juno,6,33.3,4,66.7,0,0.0,0,0.0,0,0.0,2,33.3,0,0.0,0,0.0
MeiHouWang,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,MeiHouWang,2,11.1,2,100.0,2,100.0,0,0.0,0,0.0,1,50.0,0,0.0,0,0.0
Verdehile,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Verdehile,8,44.4,3,37.5,0,0.0,3,37.5,0,0.0,0,0.0,0,0.0,0,0.0
Diana,1,5.6,1,100.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,1,100.0,<--,Diana,1,5.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Chiwu,6,33.3,2,33.3,3,50.0,3,50.0,0,0.0,2,33.3,0,0.0,0,0.0,<--,Chiwu,2,11.1,1,50.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0
Valantis,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Valantis,1,5.6,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Lulu,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Lulu,1,5.6,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Miho,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Miho,1,5.6,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
QitianDasheng,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,QitianDasheng,2,11.1,1,50.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0
Seara,2,11.1,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Seara,9,50.0,4,44.4,6,66.7,3,33.3,2,22.2,0,0.0,2,100.0,0,0.0
Velajuel,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Velajuel,5,27.8,3,60.0,1,20.0,1,20.0,0,0.0,0,0.0,0,0.0,0,0.0
Moore/WaterRYU,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Moore/WaterRYU,1,5.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Rica,2,11.1,0,0.0,0,0.0,1,50.0,0,0.0,1,50.0,0,0.0,0,0.0,<--,Rica,1,5.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Triton,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Triton,1,5.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Vanessa,8,44.4,4,50.0,6,75.0,2,25.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Vanessa,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Hathor,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Hathor,1,5.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Nephthys,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Nephthys,1,5.6,0,0.0,1,100.0,0,0.0,0,0.0,1,100.0,0,0.0,1,100.0
XingZhe,1,5.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,XingZhe,2,11.1,1,50.0,0,0.0,0,0.0,0,0.0,1,50.0,0,0.0,1,100.0
Akroma,1,5.6,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Akroma,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Giana,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Giana,2,11.1,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Antares,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Antares,3,16.7,2,66.7,0,0.0,0,0.0,0,0.0,1,33.3,0,0.0,0,0.0
Fran,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Fran,4,22.2,4,100.0,2,50.0,1,25.0,0,0.0,0,0.0,0,0.0,0,0.0
