battle_#,win_loss,p1,p2,p3,p4,p5,first,last,leader,banned,opp_p1,opp_p2,opp_p3,opp_p4,opp_p5,opp_first,opp_last,opp_leader,opp_banned,date_added,player,opponent
0,True,Giana,Nephthys,Savannah,Bernadotte/KEN,Okeanos,None,Bernadotte/KEN,Nephthys,Okeanos,Seara,Molly,Jager,Tetra,Leo,Seara,None,Seara,Leo,2021-01-08 23:50:20,Luckygod!,海贼༒卡罗特
1,True,Seara,Tesarion,Vigor,Julianne,Fran,Seara,None,Seara,Fran,XingZhe,Molly,Akroma,Lulu,Rica,None,Rica,Akroma,Rica,2021-01-08 23:45:07,Luckygod!,Bảy
2,True,Seara,Okeanos,TianLang,Praha,Lulu,None,Praha,Seara,Lulu,Giana,Ragdoll,Vanessa,Woosa,Masha,Giana,None,Vanessa,Masha,2021-01-08 23:41:12,Luckygod!,Benz.;
3,True,Seara,Okeanos,Lulu,Tesarion,TianLang,None,Tesarion,Seara,TianLang,Giana,Juno,Ragdoll,Savannah,Woosa,Giana,None,Juno,Woosa,2021-01-08 23:37:37,Luckygod!,Benz.;
4,True,Seara,Savannah,Tesarion,Fran,Antares,None,Antares,Seara,Antares,Molly,XingZhe,Akroma,Diana,Juno,Molly,None,Akroma,Juno,2021-01-08 23:33:56,Luckygod!,Bảy
5,True,Giana,Fran,Praha,Lulu,Seara,Seara,None,Praha,Seara,Velajuel,Vigor,Juno,Josephine,Leona,None,Leona,Velajuel,Leona,2021-01-08 23:30:30,Luckygod!,出门便是江湖
6,False,Okeanos,Giana,Nephthys,TianLang,Seara,None,TianLang,Nephthys,Seara,Ragdoll,Artamiel,Velajuel,Tetra,Juno,Ragdoll,None,Velajuel,Juno,2021-01-08 23:23:47,Luckygod!,我的刀有剧毒
7,False,Seara,Giana,Savannah,Bernadotte/KEN,Nephthys,Seara,None,Seara,Nephthys,Okeanos,Ethna,Verdehile,Jager,Vanessa,None,Jager,Ethna,Vanessa,2021-01-08 23:20:15,Luckygod!,Hughedingo
8,True,Seara,Savannah,Lulu,Praha,Giana,Seara,None,Seara,Giana,Okeanos,Fran,Vanessa,Triana,Juno,None,Juno,Vanessa,Juno,2021-01-08 23:16:22,Luckygod!,Crazy★Eternal
9,True,Giana,Savannah,Nephthys,Moore/WaterRYU1,Seara,Seara,None,Nephthys,Seara,Ganymede,Chiwu,Verdehile,Psamathe,Okeanos,None,Psamathe,Psamathe,Okeanos,2021-01-08 23:11:37,Luckygod!,SaPyn
