monster_name,pick,pick-perc,win,win-perc,leader,leader-perc,banned,banned-perc,first,first-perc,last,last-perc,1p-win,1p-win-perc,5p-win,5p-win-perc,user,monster,opp_pick,opp_pick-perc,opp_win,opp_win-perc,opp_leader,opp_leader-perc,opp_banned,opp_banned-perc,opp_first,opp_first-perc,opp_last,opp_last-perc,opp_1p-win,opp_1p-win-perc,opp_5p-win,opp_5p-win-perc
Giana,24,80.0,16,66.7,2,8.3,10,41.7,1,4.2,0,0.0,1,100.0,0,0.0,<--,Giana,4,13.3,2,50.0,0,0.0,1,25.0,2,50.0,0,0.0,0,0.0,0,0.0
Nephthys,12,40.0,7,58.3,9,75.0,1,8.3,0,0.0,1,8.3,0,0.0,1,100.0,<--,Nephthys,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Savannah,9,30.0,6,66.7,0,0.0,0,0.0,0,0.0,1,11.1,0,0.0,0,0.0,<--,Savannah,3,10.0,1,33.3,0,0.0,0,0.0,0,0.0,1,33.3,0,0.0,1,100.0
Bernadotte/KEN,4,13.3,2,50.0,0,0.0,0,0.0,0,0.0,2,50.0,0,0.0,2,100.0,<--,Bernadotte/KEN,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Okeanos,6,20.0,3,50.0,1,16.7,1,16.7,0,0.0,0,0.0,0,0.0,0,0.0,<--,Okeanos,11,36.7,8,72.7,2,18.2,3,27.3,2,18.2,0,0.0,0,0.0,0,0.0
Seara,25,83.3,18,72.0,14,56.0,7,28.0,18,72.0,0,0.0,12,66.7,0,0.0,<--,Seara,5,16.7,2,40.0,3,60.0,0,0.0,4,80.0,0,0.0,3,75.0,0,0.0
Molly,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Molly,9,30.0,7,77.8,0,0.0,1,11.1,2,22.2,0,0.0,0,0.0,0,0.0
Jager,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Jager,2,6.7,1,50.0,0,0.0,0,0.0,0,0.0,1,50.0,0,0.0,1,100.0
Tetra,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Tetra,4,13.3,2,50.0,0,0.0,1,25.0,0,0.0,2,50.0,0,0.0,1,50.0
Leo,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Leo,1,3.3,1,100.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0
Tesarion,3,10.0,3,100.0,0,0.0,0,0.0,0,0.0,1,33.3,0,0.0,1,100.0,<--,Tesarion,1,3.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Vigor,8,26.7,4,50.0,0,0.0,1,12.5,0,0.0,1,12.5,0,0.0,0,0.0,<--,Vigor,4,13.3,3,75.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Julianne,1,3.3,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Julianne,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Fran,11,36.7,7,63.6,1,9.1,2,18.2,0,0.0,0,0.0,0,0.0,0,0.0,<--,Fran,7,23.3,6,85.7,0,0.0,1,14.3,0,0.0,0,0.0,0,0.0,0,0.0
XingZhe,1,3.3,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,XingZhe,6,20.0,4,66.7,3,50.0,1,16.7,0,0.0,1,16.7,0,0.0,0,0.0
Akroma,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Akroma,2,6.7,2,100.0,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Lulu,7,23.3,7,100.0,0,0.0,1,14.3,0,0.0,0,0.0,0,0.0,0,0.0,<--,Lulu,1,3.3,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Rica,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Rica,2,6.7,2,100.0,0,0.0,2,100.0,0,0.0,2,100.0,0,0.0,0,0.0
TianLang,19,63.3,12,63.2,0,0.0,3,15.8,0,0.0,1,5.3,0,0.0,0,0.0,<--,TianLang,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Praha,3,10.0,3,100.0,1,33.3,0,0.0,0,0.0,1,33.3,0,0.0,1,100.0,<--,Praha,1,3.3,1,100.0,1,100.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0
Ragdoll,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Ragdoll,6,20.0,3,50.0,0,0.0,1,16.7,1,16.7,0,0.0,1,100.0,0,0.0
Vanessa,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Vanessa,4,13.3,3,75.0,3,75.0,1,25.0,0,0.0,0,0.0,0,0.0,0,0.0
Woosa,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Woosa,2,6.7,2,100.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0
Masha,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Masha,1,3.3,1,100.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0
Juno,2,6.7,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Juno,10,33.3,8,80.0,2,20.0,5,50.0,0,0.0,2,20.0,0,0.0,0,0.0
Antares,1,3.3,1,100.0,0,0.0,1,100.0,0,0.0,1,100.0,0,0.0,1,100.0,<--,Antares,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Diana,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Diana,3,10.0,1,33.3,0,0.0,1,33.3,0,0.0,1,33.3,0,0.0,1,100.0
Velajuel,1,3.3,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Velajuel,5,16.7,2,40.0,2,40.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Josephine,2,6.7,0,0.0,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Josephine,2,6.7,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
