battle_#,win_loss,p1,p2,p3,p4,p5,first,last,leader,banned,opp_p1,opp_p2,opp_p3,opp_p4,opp_p5,opp_first,opp_last,opp_leader,opp_banned,date_added,player,opponent
0,True,Fran,Jager,Ragdoll,Vigor,Rica,Fran,None,Fran,Rica,Okeanos,Miho,Verdehile,XingZhe,Ganymede,None,XingZhe,XingZhe,Ganymede,2021-01-09 14:21:26,MiranღNoah,슈퍼인조인간
1,True,Fran,Jager,MeiHouWang,Molly,Ragdoll,Fran,None,Fran,Ragdoll,Cheongpung,Okeanos,Savannah,Moore/WaterRYU1,Ganymede,None,Moore/WaterRYU1,Moore/WaterRYU1,Ganymede,2021-01-09 14:17:56,MiranღNoah,Ë❃JE_KFC
2,False,Fran,Seara,Miho,Taranys,Ragdoll,Fran,None,Seara,Ragdoll,Leo,Lucifer,Lushen,Raki,Bastet,None,Raki,Raki,Bastet,2021-01-09 14:14:36,MiranღNoah,ヒダリムキ
3,False,Fran,Jager,Vigor,Seara,Ragdoll,Fran,None,Jager,Ragdoll,Juno,Leo,Ethna,XingZhe,Molly,None,XingZhe,XingZhe,Molly,2021-01-09 14:11:56,MiranღNoah,78M-81Q
4,True,Fran,Ragdoll,Jager,Juno,Sekhmet,None,Juno,Juno,Sekhmet,Velajuel,Wedjat,Taranys,Bolverk,Bulldozer,Velajuel,None,Wedjat,Bulldozer,2021-01-09 10:42:46,MiranღNoah,PastelRake
5,False,Fran,Ragdoll,Jager,Juno,Sekhmet,None,Juno,Juno,Sekhmet,Velajuel,FengYan,Taranys,Wedjat,Bulldozer,Velajuel,None,Wedjat,Bulldozer,2021-01-09 10:37:38,MiranღNoah,삞힗찶
6,True,Fran,Ragdoll,Vigor,Rica,Jager,None,Rica,Fran,Jager,Okeanos,Han,Daphnis,XingZhe,Molly,Okeanos,None,XingZhe,Molly,2021-01-09 10:31:36,MiranღNoah,크롱
7,True,Fran,Ragdoll,Jager,Molly,Verdehile,None,Molly,Fran,Verdehile,Okeanos,Cheongpung,Chiwu,Valantis,Bellenus,Okeanos,None,Chiwu,Bellenus,2021-01-09 10:10:53,MiranღNoah,Icedcoyote
8,True,Fran,Jager,Molly,MeiHouWang,Ragdoll,None,MeiHouWang,Fran,Ragdoll,Seara,Giana,Okeanos,Ganymede,Cheongpung,Seara,None,Seara,Cheongpung,2021-01-08 14:40:35,MiranღNoah,欧洲萌新自在℡
9,False,Fran,Ragdoll,Seara,MeiHouWang,Jager,None,MeiHouWang,Seara,Jager,Hathor,Giana,Molly,Harmonia,MoLong,Hathor,None,Giana,MoLong,2021-01-08 14:37:29,MiranღNoah,R00T_
10,False,Fran,Molly,Jager,MeiHouWang,Ragdoll,None,MeiHouWang,Fran,Ragdoll,Okeanos,Bastet,Cheongpung,Daphnis,Miho,Okeanos,None,Okeanos,Miho,2021-01-08 14:33:31,MiranღNoah,KĪRĪN_
11,True,Fran,Ragdoll,Jager,Vigor,Rica,None,Rica,Fran,Rica,Seara,Daphnis,Brandia,Odin,Molly,Seara,None,Brandia,Molly,2021-01-08 14:29:34,MiranღNoah,Just丶再睡一夏
12,True,Fran,Jager,Vigor,Seara,Tesarion,Fran,None,Jager,Tesarion,Ragdoll,MoLong,Eleanor,Leo,Molly,None,Leo,MoLong,Molly,2021-01-08 14:26:18,MiranღNoah,Trɘbi®Trebi
13,False,Fran,Kahli,Seara,Lushen,Covenant,Fran,None,Seara,Covenant,Velajuel,FengYan,Barbara,Vanessa,Wedjat,None,Vanessa,Vanessa,Wedjat,2021-01-08 14:24:39,MiranღNoah,삞힗찶
14,False,Molly,Ragdoll,Jager,Verdehile,Fran,None,Fran,Jager,Fran,Okeanos,Bastet,Cheongpung,Tesarion,Miho,Okeanos,None,Okeanos,Miho,2021-01-08 14:21:44,MiranღNoah,KĪRĪN_
15,True,Fran,Ragdoll,Jager,MeiHouWang,Molly,None,MeiHouWang,Fran,Molly,Okeanos,Han,Woonsa,Seara,Ganymede,Okeanos,None,Okeanos,Ganymede,2021-01-10 00:47:19,MiranღNoah,哟哟茶客老
16,True,Fran,Odin,Laika,Ethna,Taranys,Fran,None,Fran,Taranys,Seara,Bastet,Wedjat,Oberon,Herteit,None,Herteit,Seara,Herteit,2021-01-09 22:06:26,MiranღNoah,愤怒的表表
17,True,Fran,Seara,Laika,Taranys,Juno,Fran,None,Seara,Juno,Wedjat,Odin,Oberon,Herteit,Bastet,None,Herteit,Oberon,Bastet,2021-01-09 22:03:30,MiranღNoah,愤怒的表表
18,False,Fran,Jager,Molly,MeiHouWang,Ragdoll,Fran,None,Fran,Ragdoll,Seara,Okeanos,Chiwu,Savannah,Tesarion,None,Tesarion,Okeanos,Tesarion,2021-01-09 21:59:43,MiranღNoah,(/\)
19,True,Fran,Jager,Molly,Rica,Ragdoll,Fran,None,Fran,Ragdoll,Ganymede,Woonsa,Valantis,Dover,Seara,None,Dover,Ganymede,Seara,2021-01-09 17:14:11,MiranღNoah,神父愛傳蕉℠
20,True,Fran,Jager,Molly,MeiHouWang,Ragdoll,Fran,None,Fran,Ragdoll,Seara,Okeanos,Ganymede,Chiwu,Daphnis,None,Daphnis,Chiwu,Daphnis,2021-01-09 17:07:30,MiranღNoah,Raigeki!
21,True,Fran,Seara,Jager,Taranys,Cheongpung,None,Taranys,Seara,Cheongpung,Molly,Vigor,Daphnis,XingZhe,Velajuel,Molly,None,XingZhe,Velajuel,2021-01-09 17:04:18,MiranღNoah,끼봉이
22,True,Ragdoll,Fran,Molly,Jager,Rica,None,Rica,Fran,Rica,Seara,Okeanos,Tesarion,XingZhe,Vigor,Seara,None,Seara,Vigor,2021-01-09 17:00:44,MiranღNoah,윤돌-
23,True,Fran,Molly,XingZhe,Cheongpung,Taranys,Fran,None,Fran,Taranys,MoLong,Diana,Bolverk,Icares,Amelia,None,Amelia,MoLong,Amelia,2021-01-09 16:53:32,MiranღNoah,AJ36
24,True,Fran,Ragdoll,Jager,Masha,Tesarion,Fran,None,Fran,Tesarion,Seara,Juno,Taranys,Molly,TianLang,None,TianLang,Seara,TianLang,2021-01-09 16:47:07,MiranღNoah,六脈神羊劍
25,False,Fran,XingZhe,Seara,Jager,Praha,Fran,None,Seara,Praha,Vigor,Molly,Okeanos,Velajuel,TianLang,None,TianLang,Okeanos,TianLang,2021-01-09 16:43:09,MiranღNoah,りちゃん.
