battle_#,win_loss,p1,p2,p3,p4,p5,first,last,leader,banned,opp_p1,opp_p2,opp_p3,opp_p4,opp_p5,opp_first,opp_last,opp_leader,opp_banned,date_added,player,opponent
0,True,Cheongpung,Savannah,Vanessa,Jamire,Giana,None,Jamire,Vanessa,Giana,Seara,Barbara,Okeanos,Nephthys,Triton,Seara,None,Seara,Triton,2021-01-09 17:39:26,Mr.Vio~Rage,BigRick084
1,True,Cheongpung,Giana,Barbara,Miho,Tesarion,Cheongpung,None,Giana,Tesarion,Juno,Okeanos,Artamiel,XingZhe,FengYan,None,FengYan,XingZhe,FengYan,2021-01-09 02:06:35,Mr.Vio~Rage,风霜于我
2,True,Giana,Cheongpung,Barbara,Bellenus,Jamire,None,Bellenus,Giana,Jamire,Seara,Okeanos,Psamathe,Savannah,Chiwu,Seara,None,Seara,Chiwu,2021-01-09 02:01:17,Mr.Vio~Rage,eilonbd
3,True,Giana,Cheongpung,Bellenus,Rica,Beelzebub,None,Rica,Giana,Beelzebub,Seara,Leo,Verdehile,Tetra,Lulu,Seara,None,Seara,Lulu,2021-01-09 01:57:50,Mr.Vio~Rage,⚡Hùng_Rơm
4,False,Cheongpung,Giana,Barbara,Beelzebub,Fran,Cheongpung,None,Beelzebub,Fran,Seara,Verdehile,Lulu,Ganymede,Leo,None,Ganymede,Seara,Leo,2021-01-09 01:55:21,Mr.Vio~Rage,zBeCooL
5,True,Giana,Cheongpung,Beelzebub,Savannah,Jamire,None,Jamire,Beelzebub,Jamire,Seara,Ganymede,Vigor,XingZhe,Hathor,Seara,None,Seara,Hathor,2021-01-08 23:12:50,Mr.Vio~Rage,伊布★糖
6,True,Giana,Cheongpung,Beelzebub,Barbara,Vigor,None,Vigor,Beelzebub,Vigor,Juno,Amelia,Miho,Verdehile,Seara,Seara,None,Juno,Seara,2021-01-08 23:10:03,Mr.Vio~Rage,蟑旋愛蟑螂✨
7,False,Giana,Savannah,Beelzebub,Tesarion,Cheongpung,None,Tesarion,Beelzebub,Cheongpung,Molly,Tetra,Artamiel,XingZhe,Leo,Molly,None,XingZhe,Leo,2021-01-08 23:07:10,Mr.Vio~Rage,大飞行家*
8,False,Giana,Cheongpung,Barbara,Savannah,Beelzebub,None,Savannah,Giana,Beelzebub,Seara,Juno,Ragdoll,Lulu,Leo,Seara,None,Seara,Leo,2021-01-08 20:57:22,Mr.Vio~Rage,Hatsunika
9,True,Barbara,Giana,Rica,Verdehile,Seara,Seara,None,Giana,Seara,Okeanos,Chiwu,Cheongpung,Juno,Ganymede,None,Juno,Chiwu,Ganymede,2021-01-08 20:53:24,Mr.Vio~Rage,Glorious
10,False,Seara,Barbara,Cheongpung,Beelzebub,Giana,Seara,None,Seara,Giana,Triana,Savannah,Masha,Verdehile,Okeanos,None,Verdehile,Triana,Okeanos,2021-01-08 20:51:02,Mr.Vio~Rage,Abdelou™
11,True,Giana,Barbara,Cheongpung,Beelzebub,Seara,Seara,None,Beelzebub,Seara,Fran,Hathor,Velajuel,Moore/WaterRYU1,Okeanos,None,Moore/WaterRYU1,Moore/WaterRYU1,Okeanos,2021-01-08 18:01:55,Mr.Vio~Rage,Nóng✨bẹn
12,False,Seara,Barbara,Akroma,Anavel,Juno,None,Juno,Akroma,Juno,Okeanos,Cheongpung,Chiwu,Asima,Dover,Okeanos,None,Chiwu,Dover,2021-01-08 17:58:05,Mr.Vio~Rage,꧁KẹoNgọt꧂
13,False,Barbara,Giana,Cheongpung,Beelzebub,Seara,Seara,None,Beelzebub,Seara,Okeanos,Ragdoll,XingZhe,Tetra,Molly,None,Tetra,Okeanos,Molly,2021-01-08 17:56:18,Mr.Vio~Rage,呆橘不发呆
14,False,Giana,Cheongpung,Barbara,Beelzebub,Seara,Seara,None,Beelzebub,Seara,Fran,Molly,Verdehile,Leo,Jager,None,Leo,Fran,Jager,2021-01-08 17:52:52,Mr.Vio~Rage,抵達歐洲的齊哥
15,True,Giana,Barbara,Rica,Beelzebub,Seara,Seara,None,Beelzebub,Seara,Woonsa,Valantis,Leo,Cheongpung,Ganymede,None,Cheongpung,Cheongpung,Ganymede,2021-01-11 05:12:53,Mr.Vio~Rage,一文字汁父
16,False,Barbara,Vanessa,Cheongpung,Beelzebub,Giana,Giana,None,Vanessa,Giana,Seara,Anavel,Fran,Masha,Chiwu,None,Masha,Seara,Chiwu,2021-01-10 22:41:44,Mr.Vio~Rage,SgtSlaughter
17,False,Barbara,Giana,Cheongpung,Rica,Seara,None,Rica,Giana,Seara,Okeanos,Hathor,Ganymede,Vanessa,Chiwu,Okeanos,None,Vanessa,Chiwu,2021-01-10 22:36:24,Mr.Vio~Rage,#미업
