monster_name,pick,pick-perc,win,win-perc,leader,leader-perc,banned,banned-perc,first,first-perc,last,last-perc,1p-win,1p-win-perc,5p-win,5p-win-perc,user,monster,opp_pick,opp_pick-perc,opp_win,opp_win-perc,opp_leader,opp_leader-perc,opp_banned,opp_banned-perc,opp_first,opp_first-perc,opp_last,opp_last-perc,opp_1p-win,opp_1p-win-perc,opp_5p-win,opp_5p-win-perc
Cheongpung,15,83.3,7,46.7,0,0.0,1,6.7,2,13.3,0,0.0,1,50.0,0,0.0,<--,Cheongpung,3,16.7,2,66.7,1,33.3,0,0.0,0,0.0,1,33.3,0,0.0,0,0.0
Savannah,4,22.2,2,50.0,0,0.0,0,0.0,0,0.0,1,25.0,0,0.0,0,0.0,<--,Savannah,2,11.1,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Vanessa,2,11.1,1,50.0,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Vanessa,1,5.6,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Jamire,3,16.7,3,100.0,0,0.0,2,66.7,0,0.0,2,66.7,0,0.0,2,100.0,<--,Jamire,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Giana,17,94.4,9,52.9,6,35.3,3,17.6,1,5.9,0,0.0,0,0.0,0,0.0,<--,Giana,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Seara,8,44.4,3,37.5,1,12.5,6,75.0,6,75.0,0,0.0,3,50.0,0,0.0,<--,Seara,8,44.4,5,62.5,7,87.5,1,12.5,6,75.0,0,0.0,1,16.7,0,0.0
Barbara,14,77.8,6,42.9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Barbara,1,5.6,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Okeanos,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Okeanos,9,50.0,5,55.6,1,11.1,2,22.2,2,22.2,0,0.0,2,100.0,0,0.0
Nephthys,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Nephthys,1,5.6,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Triton,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Triton,1,5.6,1,100.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0
