monster_name,pick,pick-perc,win,win-perc,leader,leader-perc,banned,banned-perc,first,first-perc,last,last-perc,1p-win,1p-win-perc,5p-win,5p-win-perc,user,monster,opp_pick,opp_pick-perc,opp_win,opp_win-perc,opp_leader,opp_leader-perc,opp_banned,opp_banned-perc,opp_first,opp_first-perc,opp_last,opp_last-perc,opp_1p-win,opp_1p-win-perc,opp_5p-win,opp_5p-win-perc
Okeanos,38,95.0,22,57.9,12,31.6,1,2.6,25,65.8,0,0.0,12,48.0,0,0.0,<--,Okeanos,2,5.0,0,0.0,1,50.0,0,0.0,2,100.0,0,0.0,2,100.0,0,0.0
Cheongpung,36,90.0,21,58.3,0,0.0,11,30.6,0,0.0,0,0.0,0,0.0,0,0.0,<--,Cheongpung,1,2.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Vigor,12,30.0,6,50.0,0,0.0,2,16.7,0,0.0,0,0.0,0,0.0,0,0.0,<--,Vigor,5,12.5,4,80.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Tablo,7,17.5,4,57.1,2,28.6,1,14.3,0,0.0,1,14.3,0,0.0,1,100.0,<--,Tablo,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
TianLang,33,82.5,15,45.5,0,0.0,12,36.4,0,0.0,2,6.1,0,0.0,1,50.0,<--,TianLang,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Yeonhong,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Yeonhong,5,12.5,3,60.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
MoLong,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,MoLong,2,5.0,1,50.0,2,100.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0
Verdehile,5,12.5,5,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Verdehile,13,32.5,8,61.5,0,0.0,1,7.7,0,0.0,1,7.7,0,0.0,1,100.0
Lulu,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Lulu,2,5.0,0,0.0,0,0.0,0,0.0,0,0.0,1,50.0,0,0.0,1,100.0
Seara,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Seara,15,37.5,10,66.7,9,60.0,4,26.7,4,26.7,0,0.0,0,0.0,0,0.0
