battle_#,win_loss,p1,p2,p3,p4,p5,first,last,leader,banned,opp_p1,opp_p2,opp_p3,opp_p4,opp_p5,opp_first,opp_last,opp_leader,opp_banned,date_added,player,opponent
0,True,Nephthys,Han,Artamiel,Rahul,Molly,None,Rahul,Han,Molly,Fran,Masha,Velajuel,Savannah,Ragdoll,Fran,None,Fran,Ragdoll,2021-01-09 11:46:51,PRO༊,我愛3Q哥
1,True,Molly,Nephthys,Han,Velajuel,Woonsa,Molly,None,Nephthys,Woonsa,Bastet,Okeanos,Vanessa,Shimitae,Savannah,None,Savannah,Vanessa,Savannah,2021-01-09 11:43:54,PRO༊,ssjwarrior
2,True,Nephthys,Molly,Han,Velajuel,Woonsa,None,Velajuel,Nephthys,Woonsa,Okeanos,Bastet,Vanessa,Triton,Shimitae,Okeanos,None,Vanessa,Shimitae,2021-01-09 11:40:11,PRO༊,ssjwarrior
3,False,Woonsa,Han,Rahul,Okeanos,Nephthys,None,Okeanos,Han,Nephthys,Tiana,Helena,Leo,Verdehile,Molly,Tiana,None,Tiana,Molly,2021-01-09 11:38:30,PRO༊,댕쿠
4,True,Han,Nephthys,Rahul,Artamiel,Asima,None,Artamiel,Nephthys,Asima,Molly,Juno,Tetra,Leo,Ragdoll,Molly,None,Juno,Ragdoll,2021-01-09 10:33:03,PRO༊,SebasLv
5,True,Nephthys,Han,Artamiel,Asima,Molly,Molly,None,Nephthys,Molly,Ragdoll,Vigor,Vanessa,XingZhe,Juno,None,Juno,Vanessa,Juno,2021-01-09 10:29:28,PRO༊,SebasLv
6,True,Molly,Han,Nephthys,Velajuel,Woonsa,Molly,None,Nephthys,Woonsa,Seara,Elucia,Vanessa,Juno,Giana,None,Juno,Vanessa,Giana,2021-01-09 10:26:40,PRO༊,那些你冒险的梦
7,False,Han,Rahul,Cheongpung,Zeratu,Nephthys,None,Zeratu,Han,Nephthys,Wedjat,FengYan,MoLong,Douglas/FireRYU1,Molly,Molly,None,Wedjat,Molly,2021-01-09 10:23:57,PRO༊,NUKOTA
8,True,Molly,Han,Nephthys,Rahul,Velajuel,Molly,None,Nephthys,Velajuel,Fran,Seara,Ragdoll,Elucia,Elsharion,None,Elsharion,Seara,Elsharion,2021-01-09 09:33:26,PRO༊,Ryuji@
9,True,Molly,Han,Woonsa,Velajuel,Nephthys,Molly,None,Han,Nephthys,Okeanos,Ganymede,Seara,Elucia,Barbara,None,Elucia,Seara,Barbara,2021-01-09 09:29:23,PRO༊,Sneekycastr0
10,True,Molly,Nephthys,Han,Artamiel,Woonsa,None,Artamiel,Nephthys,Woonsa,Seara,Chiwu,Okeanos,Vanessa,Barbara,Seara,None,Vanessa,Barbara,2021-01-09 08:19:48,PRO༊,☆étoile☆
11,False,Molly,Han,Cheongpung,Savannah,Nephthys,Molly,None,Cheongpung,Nephthys,XingZhe,Jager,Ragdoll,Leo,Fran,None,Leo,XingZhe,Fran,2021-01-09 08:16:47,PRO༊,秋风瑟
12,True,Molly,Han,Cheongpung,Artamiel,Nephthys,Molly,None,Han,Nephthys,Okeanos,Giana,Juno,Verdehile,Seara,None,Seara,Okeanos,Seara,2021-01-09 08:13:09,PRO༊,CapTaiN.
13,True,Molly,Han,Woonsa,Artamiel,Nephthys,None,Artamiel,Han,Nephthys,Okeanos,Giana,Verdehile,Juno,Seara,Seara,None,Okeanos,Seara,2021-01-09 08:09:30,PRO༊,CapTaiN.
14,False,Molly,Han,Nephthys,Cheongpung,Woonsa,Molly,None,Nephthys,Woonsa,Bastet,Lucifer,Lushen,Trinity,Leo,None,Trinity,Trinity,Leo,2021-01-09 08:07:24,PRO༊,GEAN
15,True,Molly,Han,Verdehile,Artamiel,Nephthys,Molly,None,Artamiel,Nephthys,Triana,Leo,Velajuel,Bastet,Ragdoll,None,Bastet,Bastet,Ragdoll,2021-01-10 12:01:47,PRO༊,℡APAL™
16,True,Nephthys,Han,Artamiel,Zeratu,Molly,Molly,None,Nephthys,Molly,Ragdoll,Cheongpung,Cayde/DarkDHALSIM1,Velajuel,Juno,None,Juno,Ragdoll,Juno,2021-01-10 11:55:39,PRO༊,ƞαpαt°
17,False,Nephthys,Woonsa,Cheongpung,Miho,Han,None,Miho,Nephthys,Han,Artamiel,Juno,Verdehile,Tetra,Molly,Molly,None,Artamiel,Molly,2021-01-10 11:51:58,PRO༊,皇小宝gogogo
18,True,Molly,Han,Artamiel,Woonsa,Nephthys,Molly,None,Han,Nephthys,Seara,Vigor,Juno,Tesarion,Velajuel,None,Tesarion,Seara,Velajuel,2021-01-10 10:09:21,PRO༊,隐ཀ毒药࿒࿐
19,True,Molly,Nephthys,Artamiel,Velajuel,Han,None,Velajuel,Nephthys,Han,Fran,Verdehile,Vigor,Tesarion,Loren,Fran,None,Fran,Loren,2021-01-10 08:59:25,PRO༊,YouLoveTheGame
20,True,Nephthys,Han,Verdehile,Artamiel,Molly,Molly,None,Nephthys,Molly,Ragdoll,Fran,Leo,XingZhe,Giana,None,Giana,XingZhe,Giana,2021-01-10 07:46:43,PRO༊,ばみゅーだ
21,True,Nephthys,Han,Woonsa,Velajuel,Molly,None,Velajuel,Nephthys,Molly,Okeanos,Tetra,Anavel,Sian,Barbara,Okeanos,None,Okeanos,Barbara,2021-01-10 06:38:49,PRO༊,≪QuaÐR๏ll≫
22,True,Molly,Han,Nephthys,Velajuel,Woonsa,Molly,None,Nephthys,Woonsa,Seara,Bellenus,Bastet,Okeanos,Giana,None,Okeanos,Seara,Giana,2021-01-10 06:33:19,PRO༊,kookie*
23,True,Molly,Woonsa,Han,Velajuel,Nephthys,None,Velajuel,Han,Nephthys,Okeanos,Yeonhong,Seara,Rica,Verdehile,Okeanos,None,Seara,Verdehile,2021-01-10 06:22:39,PRO༊,Raii!
24,True,Molly,Nephthys,Han,Velajuel,Woonsa,Molly,None,Nephthys,Woonsa,Seara,Vigor,Chiwu,Cheongpung,Savannah,None,Cheongpung,Chiwu,Savannah,2021-01-10 06:19:22,PRO༊,Monkey`man〠
25,True,Molly,Nephthys,Artamiel,Vigor,Han,Molly,None,Nephthys,Han,Fran,Juno,Tetra,Barbara,Seara,None,Barbara,Fran,Seara,2021-01-10 05:29:43,PRO༊,-BobbyAis-
