monster_name,pick,pick-perc,win,win-perc,leader,leader-perc,banned,banned-perc,first,first-perc,last,last-perc,1p-win,1p-win-perc,5p-win,5p-win-perc,user,monster,opp_pick,opp_pick-perc,opp_win,opp_win-perc,opp_leader,opp_leader-perc,opp_banned,opp_banned-perc,opp_first,opp_first-perc,opp_last,opp_last-perc,opp_1p-win,opp_1p-win-perc,opp_5p-win,opp_5p-win-perc
Nephthys,26,100.0,21,80.8,16,61.5,9,34.6,0,0.0,0,0.0,0,0.0,0,0.0,<--,Nephthys,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Han,26,100.0,21,80.8,8,30.8,3,11.5,0,0.0,0,0.0,0,0.0,0,0.0,<--,Han,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Artamiel,12,46.2,12,100.0,1,8.3,0,0.0,0,0.0,3,25.0,0,0.0,3,100.0,<--,Artamiel,1,3.8,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Rahul,5,19.2,3,60.0,0,0.0,0,0.0,0,0.0,1,20.0,0,0.0,1,100.0,<--,Rahul,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Molly,22,84.6,20,90.9,0,0.0,5,22.7,15,68.2,0,0.0,13,86.7,0,0.0,<--,Molly,4,15.4,1,25.0,0,0.0,3,75.0,3,75.0,0,0.0,2,66.7,0,0.0
Fran,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Fran,6,23.1,5,83.3,3,50.0,1,16.7,2,33.3,0,0.0,0,0.0,0,0.0
Masha,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Masha,1,3.8,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Velajuel,10,38.5,10,100.0,0,0.0,1,10.0,0,0.0,4,40.0,0,0.0,4,100.0,<--,Velajuel,4,15.4,4,100.0,0,0.0,1,25.0,0,0.0,0,0.0,0,0.0,0,0.0
Savannah,1,3.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Savannah,3,11.5,3,100.0,0,0.0,2,66.7,0,0.0,1,33.3,0,0.0,0,0.0
Ragdoll,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Ragdoll,8,30.8,7,87.5,1,12.5,3,37.5,0,0.0,0,0.0,0,0.0,0,0.0
Woonsa,14,53.8,11,78.6,0,0.0,7,50.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Woonsa,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Bastet,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Bastet,5,19.2,4,80.0,1,20.0,0,0.0,0,0.0,1,20.0,0,0.0,0,0.0
Okeanos,1,3.8,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,<--,Okeanos,9,34.6,9,100.0,3,33.3,0,0.0,3,33.3,1,11.1,0,0.0,0,0.0
Vanessa,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Vanessa,5,19.2,5,100.0,5,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
