battle_#,win_loss,p1,p2,p3,p4,p5,first,last,leader,banned,opp_p1,opp_p2,opp_p3,opp_p4,opp_p5,opp_first,opp_last,opp_leader,opp_banned,date_added,player,opponent
0,True,Seara,Okeanos,Molly,Juno,Leo,None,Leo,Seara,Leo,Chichi,SonZhangLao,Chiwu,Savannah,Masha,Chichi,None,Chiwu,Masha,2021-01-09 13:05:30,海贼༒卡罗特,L'est
1,True,Seara,Ganymede,Juno,Molly,Giana,None,Giana,Seara,Giana,Fran,Savannah,Verdehile,MoLong,Okeanos,Okeanos,None,MoLong,Okeanos,2021-01-09 12:49:20,海贼༒卡罗特,PinkRoid~
2,True,Okeanos,Fran,Giana,TianLang,Molly,Okeanos,None,Okeanos,Molly,Seara,Vigor,Juno,Lulu,Pater,None,Lulu,Seara,Pater,2021-01-09 12:34:31,海贼༒卡罗特,Ꮤ﹏椛落✿知秋
3,True,Okeanos,Seara,Juno,Molly,Akroma,None,Akroma,Seara,Akroma,Chiwu,Hathor,Ganymede,Izaria,ShiHou,Chiwu,None,Izaria,ShiHou,2021-01-09 12:24:00,海贼༒卡罗特,알테프사
4,True,Okeanos,Giana,Fran,Vigor,TianLang,None,TianLang,Okeanos,TianLang,Seara,Molly,Jager,Artamiel,Tetra,Seara,None,Jager,Tetra,2021-01-09 01:03:08,海贼༒卡罗特,서빈마마
5,True,Seara,Giana,Ganymede,TianLang,Molly,None,TianLang,Seara,Molly,Fran,Vigor,Cheongpung,Juno,Okeanos,Okeanos,None,Fran,Okeanos,2021-01-09 00:57:46,海贼༒卡罗特,UT.10
6,True,Fran,Seara,Tesarion,Vigor,Giana,Giana,None,Seara,Giana,Jager,Molly,Cheongpung,Ragdoll,Pater,None,Pater,Jager,Pater,2021-01-09 00:32:16,海贼༒卡罗特,杰咪爸
7,True,Okeanos,Seara,TianLang,Artamiel,Taranys,None,Taranys,Seara,Taranys,Juno,Diana,Icares,MoLong,Molly,Molly,None,MoLong,Molly,2021-01-09 00:26:56,海贼༒卡罗特,Bluemage42
8,True,Okeanos,Molly,Leo,Juno,Giana,Okeanos,None,Juno,Giana,Fran,Barbara,Ganymede,Tesarion,Seara,None,Tesarion,Ganymede,Seara,2021-01-09 00:16:23,海贼༒卡罗特,Drakule®
9,True,Okeanos,Fran,TianLang,Elucia,Giana,None,Elucia,Fran,Giana,Seara,Yeonhong,Juno,Vigor,Loren,Seara,None,Seara,Loren,2021-01-09 00:04:19,海贼༒卡罗特,豆豆不吃豆1989
10,True,Seara,Okeanos,Vigor,Leona,TianLang,None,Leona,Okeanos,TianLang,Ragdoll,Molly,Leo,Rica,Fran,Fran,None,Ragdoll,Fran,2021-01-08 23:55:08,海贼༒卡罗特,あらʕʘ‿ʘʔ
11,False,Seara,Molly,Jager,Tetra,Leo,Seara,None,Seara,Leo,Giana,Nephthys,Savannah,Bernadotte/KEN,Okeanos,None,Bernadotte/KEN,Nephthys,Okeanos,2021-01-08 23:50:20,海贼༒卡罗特,Luckygod!
12,True,Okeanos,Giana,Molly,Juno,TianLang,None,Juno,Juno,TianLang,Seara,Bastet,Chiwu,Cheongpung,Poseidon,Seara,None,Seara,Poseidon,2021-01-08 23:09:00,海贼༒卡罗特,YUNoShill?
13,True,Okeanos,Fran,Han,Jager,Giana,None,Jager,Fran,Giana,Seara,Barbara,Chiwu,Eshir,Ganymede,Seara,None,Chiwu,Ganymede,2021-01-08 23:02:34,海贼༒卡罗特,Drakule®
14,True,Seara,Giana,Juno,Molly,Okeanos,None,Molly,Seara,Okeanos,Hathor,Fran,Vanessa,Elucia,Ganymede,Hathor,None,Vanessa,Ganymede,2021-01-08 22:33:13,海贼༒卡罗特,三玖は俺の嫁
15,True,Seara,TianLang,Vigor,Giana,Ganymede,Seara,None,Seara,Ganymede,Ragdoll,Cheongpung,Velajuel,Beelzebub,Molly,None,Beelzebub,Beelzebub,Molly,2021-01-10 12:03:45,海贼༒卡罗特,ƞαpαt°
16,True,Giana,Okeanos,TianLang,Triana,Juno,None,Juno,Okeanos,Juno,Velajuel,Wedjat,Josephine,Cheongpung,Rica,Velajuel,None,Wedjat,Rica,2021-01-10 11:48:13,海贼༒卡罗特,おさださん
17,True,Seara,Okeanos,Giana,Moore/WaterRYU,QitianDasheng,Seara,None,Seara,QitianDasheng,Wolyung,Barbara,Daphnis,Kahli,Vanessa,None,Vanessa,Wolyung,Vanessa,2021-01-10 11:40:41,海贼༒卡罗特,tetsu0913
18,True,Okeanos,Molly,TianLang,Julianne,Giana,None,Julianne,Okeanos,Giana,Seara,Moore/WaterRYU,Velajuel,Laika,Vigor,Seara,None,Seara,Vigor,2021-01-10 11:30:33,海贼༒卡罗特,古城贾斯丁比伯
19,True,Giana,Molly,Jager,Moore/WaterRYU,Okeanos,None,Moore/WaterRYU,Moore/WaterRYU,Okeanos,Seara,Chiwu,Vigor,Tesarion,Ganymede,Seara,None,Chiwu,Ganymede,2021-01-10 09:05:16,海贼༒卡罗特,정현찡
20,True,Seara,Molly,Juno,Vigor,Giana,None,Vigor,Seara,Giana,Okeanos,Ganymede,Fran,Masha,TianLang,Okeanos,None,Fran,TianLang,2021-01-10 08:57:40,海贼༒卡罗特,정현찡
21,True,Giana,Molly,Akroma,Jager,Seara,Seara,None,Akroma,Seara,Okeanos,Ganymede,Moore/WaterRYU,TianLang,Savannah,None,Savannah,Moore/WaterRYU,Savannah,2021-01-10 08:44:54,海贼༒卡罗特,俏皮可爱小尾巴
22,True,Okeanos,Giana,TianLang,Jager,Fran,None,Jager,Jager,Fran,Seara,Yeonhong,Juno,Elucia,Ganymede,Seara,None,Seara,Ganymede,2021-01-10 00:58:55,海贼༒卡罗特,おがさわら
23,True,Giana,Okeanos,Juno,Molly,Seara,Seara,None,Juno,Seara,Fran,Savannah,Moore/WaterRYU1,Velajuel,Vigor,None,Vigor,Moore/WaterRYU1,Vigor,2021-01-10 00:53:36,海贼༒卡罗特,YouLoveTheGame
24,True,Seara,Okeanos,Molly,Cheongpung,Giana,None,Cheongpung,Seara,Giana,Fran,Moore/WaterRYU1,Savannah,MeiHouWang,Loren,Fran,None,Moore/WaterRYU1,Loren,2021-01-10 00:49:40,海贼༒卡罗特,YouLoveTheGame
25,True,Molly,Verdehile,Giana,Artamiel,Seara,None,Artamiel,Artamiel,Seara,Cheongpung,Wolyung,Han,Pater,Okeanos,Okeanos,None,Wolyung,Okeanos,2021-01-10 00:44:30,海贼༒卡罗特,Taniss
26,True,Okeanos,TianLang,Jager,Giana,Molly,None,Giana,Okeanos,Molly,Bastet,Akroma,Vigor,MeiHouWang,Pater,Bastet,None,Akroma,Pater,2021-01-10 00:30:01,海贼༒卡罗特,h0liday
27,True,TianLang,Juno,Tetra,Moore/WaterRYU,Okeanos,None,Moore/WaterRYU,Moore/WaterRYU,Okeanos,Tiana,Asima,Tesarion,Poseidon,Ganymede,Tiana,None,Asima,Ganymede,2021-01-10 00:23:43,海贼༒卡罗特,Sâm???
28,True,Giana,Okeanos,TianLang,Elucia,Seara,Seara,None,Okeanos,Seara,MoLong,Juno,Diana,Anavel,Harmonia,None,Anavel,MoLong,Harmonia,2021-01-10 00:19:59,海贼༒卡罗特,DienTran
29,True,TianLang,Giana,Triana,Juno,Seara,Seara,None,Juno,Seara,Wedjat,Velajuel,Josephine,FengYan,Tetra,None,Tetra,Wedjat,Tetra,2021-01-10 00:16:27,海贼༒卡罗特,삞댥챦
