battle_#,win_loss,p1,p2,p3,p4,p5,first,last,leader,banned,opp_p1,opp_p2,opp_p3,opp_p4,opp_p5,opp_first,opp_last,opp_leader,opp_banned,date_added,player,opponent
0,False,Ganymede,Okeanos,Icares,Oberon,MoLong,None,Oberon,Oberon,MoLong,Ragdoll,Seara,Molly,SonZhangLao,Cheongpung,Ragdoll,None,Seara,Cheongpung,2021-01-09 17:40:08,Raigeki!,D‐tag
1,True,Seara,Chiwu,Ganymede,Juno,Vigor,Seara,None,Chiwu,Vigor,Okeanos,Fran,Vanessa,Yeonhong,Masha,None,Masha,Vanessa,Masha,2021-01-09 17:36:25,Raigeki!,まつ@げりらじ
2,False,Seara,Ganymede,Taranys,Oberon,Okeanos,None,Oberon,Seara,Okeanos,Velajuel,Bulldozer,Juno,Rica,Wedjat,Velajuel,None,Velajuel,Wedjat,2021-01-09 17:33:23,Raigeki!,세빌라
3,True,Chiwu,Ganymede,Okeanos,Fran,Oberon,None,Oberon,Chiwu,Oberon,Molly,Giana,Juno,Gurkha/DarkM.BISON1,Seara,Seara,None,Gurkha/DarkM.BISON1,Seara,2021-01-09 17:29:16,Raigeki!,nv3rmind
4,False,Seara,Ganymede,Juno,Velajuel,Verdehile,None,Velajuel,Velajuel,Verdehile,Chiwu,Okeanos,Cheongpung,Savannah,Mina,Chiwu,None,Chiwu,Mina,2021-01-09 17:24:27,Raigeki!,★STAN㊋
5,True,Seara,Ganymede,Juno,Anavel,Verdehile,None,Anavel,Seara,Verdehile,Okeanos,Chiwu,Rica,ShiHou,Cheongpung,Okeanos,None,Chiwu,Cheongpung,2021-01-09 17:21:42,Raigeki!,★STAN㊋
6,True,Seara,Chiwu,Daphnis,Oberon,Fran,None,Oberon,Oberon,Fran,Okeanos,Ganymede,Molly,Abellio,Vanessa,Okeanos,None,Ganymede,Vanessa,2021-01-09 17:17:26,Raigeki!,#미업
7,True,Chiwu,Ganymede,Juno,Vigor,Oberon,None,Oberon,Chiwu,Oberon,Okeanos,Seara,Fran,Artamiel,Ragdoll,Okeanos,None,Seara,Ragdoll,2021-01-09 17:14:13,Raigeki!,HWAN!
8,False,Seara,Ganymede,Vigor,Juno,Oberon,None,Oberon,Seara,Oberon,Okeanos,Fran,Asima,Masha,Ragdoll,Okeanos,None,Fran,Ragdoll,2021-01-09 17:10:48,Raigeki!,HWAN!
9,False,Seara,Okeanos,Ganymede,Chiwu,Daphnis,None,Daphnis,Chiwu,Daphnis,Fran,Jager,Molly,MeiHouWang,Ragdoll,Fran,None,Fran,Ragdoll,2021-01-09 17:07:30,Raigeki!,MiranღNoah
10,True,Seara,Ganymede,Velajuel,Juno,Okeanos,Seara,None,Seara,Okeanos,Chichi,SonZhangLao,Savannah,Masha,Chiwu,None,Masha,SonZhangLao,Chiwu,2021-01-09 13:26:35,Raigeki!,L'est
11,True,Seara,Juno,Chiwu,XingZhe,Vigor,Seara,None,Chiwu,Vigor,Okeanos,Ganymede,Yeonhong,Oberon,Ragdoll,None,Ragdoll,Yeonhong,Ragdoll,2021-01-09 13:23:10,Raigeki!,BBodda
12,True,Ganymede,Chiwu,Daphnis,Juno,Okeanos,Okeanos,None,Chiwu,Okeanos,Seara,Fran,Hathor,Vigor,Moore/WaterRYU1,None,Vigor,Seara,Moore/WaterRYU1,2021-01-09 13:20:22,Raigeki!,PinkRoid~
13,False,Chiwu,Seara,Vigor,Juno,Rica,None,Rica,Chiwu,Rica,Okeanos,Moore/WaterRYU1,Savannah,Vanessa,Ganymede,Okeanos,None,Vanessa,Ganymede,2021-01-09 13:16:39,Raigeki!,PinkRoid~
14,True,Seara,Chiwu,Ganymede,Anavel,Elucia,Seara,None,Chiwu,Elucia,Okeanos,Vanessa,Giana,Ragdoll,Savannah,None,Savannah,Vanessa,Savannah,2021-01-09 13:12:10,Raigeki!,Benz.;
15,True,Ganymede,MoLong,Icares,Oberon,Hathor,None,Oberon,MoLong,Hathor,Molly,Artamiel,Woosa,Taranys,FengYan,Molly,None,Artamiel,FengYan,2021-01-10 10:12:10,Raigeki!,Sicnarf_shoes
16,True,Seara,Okeanos,Ganymede,Fran,Oberon,Seara,None,Seara,Oberon,Molly,Hathor,Artamiel,Velajuel,Woosa,None,Velajuel,Artamiel,Woosa,2021-01-10 10:09:18,Raigeki!,Sicnarf_shoes
17,True,Seara,Vigor,Juno,Daphnis,Chiwu,Seara,None,Seara,Chiwu,Ganymede,Okeanos,Savannah,Fran,Vanessa,None,Vanessa,Fran,Vanessa,2021-01-10 10:03:26,Raigeki!,LastNight
18,False,Seara,Chiwu,Vigor,Velajuel,Oberon,Seara,None,Seara,Oberon,Ganymede,Okeanos,Savannah,Molly,Verdehile,None,Molly,Ganymede,Verdehile,2021-01-10 09:58:26,Raigeki!,LastNight
19,True,Chiwu,Ganymede,Vigor,Juno,Rica,None,Rica,Chiwu,Rica,Vanessa,Okeanos,Molly,Savannah,Ragdoll,Vanessa,None,Vanessa,Ragdoll,2021-01-10 09:52:36,Raigeki!,Daeguk
20,True,Chiwu,Vigor,Juno,Anavel,Ganymede,None,Anavel,Chiwu,Ganymede,Okeanos,Moore/WaterRYU,Giana,Molly,Savannah,Okeanos,None,Okeanos,Savannah,2021-01-10 09:50:15,Raigeki!,肥大！使用飾拳
21,False,Seara,Ganymede,Okeanos,Oberon,Chiwu,Seara,None,Seara,Chiwu,Savannah,Vigor,Fran,Rica,Verdehile,None,Rica,Fran,Verdehile,2021-01-10 09:45:56,Raigeki!,Tetsuø
22,True,Chiwu,Ganymede,Juno,Vigor,Oberon,None,Oberon,Chiwu,Oberon,Seara,Okeanos,Fran,Masha,Ragdoll,Seara,None,Seara,Ragdoll,2021-01-10 09:42:48,Raigeki!,ÇuzImaG
23,True,Chiwu,Ganymede,Okeanos,Fran,Oberon,None,Oberon,Chiwu,Oberon,Seara,Verdehile,Juno,Molly,Leo,Seara,None,Seara,Leo,2021-01-10 09:38:32,Raigeki!,Bố⚡Mạnh
24,True,Seara,Okeanos,Chiwu,Oberon,Ganymede,None,Oberon,Chiwu,Ganymede,Vanessa,Vigor,Juno,Savannah,Verdehile,Vanessa,None,Vanessa,Verdehile,2021-01-10 09:34:58,Raigeki!,Tetsuø
25,False,Seara,Triana,Vigor,Laika,Miho,Seara,None,Laika,Miho,Leo,Lucifer,Lushen,Julie,Bastet,None,Julie,Lucifer,Bastet,2021-01-10 09:32:39,Raigeki!,ＪＪですか？
26,True,Seara,Okeanos,Lora,Hathor,Chiwu,Seara,None,Seara,Chiwu,Bastet,Lushen,Lucifer,Tablo,Leo,None,Tablo,Tablo,Leo,2021-01-10 09:31:09,Raigeki!,ＪＪですか？
27,False,Seara,Okeanos,Fran,Ganymede,Chiwu,None,Chiwu,Seara,Chiwu,Triana,Nicki,Raki,Raoq,Verdehile,Verdehile,None,Raki,Verdehile,2021-01-10 09:29:21,Raigeki!,RoflMаkr
28,False,Seara,Juno,Vigor,MeiHouWang,Verdehile,Seara,None,MeiHouWang,Verdehile,Okeanos,Chiwu,Cheongpung,Savannah,Dover,None,Dover,Okeanos,Dover,2021-01-10 09:27:00,Raigeki!,Lucifer_Angelz
29,True,Ganymede,Okeanos,Vanessa,Velajuel,Anavel,None,Anavel,Vanessa,Anavel,Chiwu,Giana,Mina,Juno,Seara,Seara,None,Chiwu,Seara,2021-01-09 23:13:54,Raigeki!,Leinsdorf
