monster_name,pick,pick-perc,win,win-perc,leader,leader-perc,banned,banned-perc,first,first-perc,last,last-perc,1p-win,1p-win-perc,5p-win,5p-win-perc,user,monster,opp_pick,opp_pick-perc,opp_win,opp_win-perc,opp_leader,opp_leader-perc,opp_banned,opp_banned-perc,opp_first,opp_first-perc,opp_last,opp_last-perc,opp_1p-win,opp_1p-win-perc,opp_5p-win,opp_5p-win-perc
Ganymede,22,73.3,15,68.2,0,0.0,2,9.1,0,0.0,0,0.0,0,0.0,0,0.0,<--,Ganymede,5,16.7,3,60.0,2,40.0,1,20.0,0,0.0,0,0.0,0,0.0,0,0.0
Okeanos,13,43.3,8,61.5,0,0.0,3,23.1,1,7.7,0,0.0,1,100.0,0,0.0,<--,Okeanos,15,50.0,10,66.7,2,13.3,0,0.0,6,40.0,0,0.0,2,33.3,0,0.0
Icares,2,6.7,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Icares,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Oberon,13,43.3,8,61.5,2,15.4,7,53.8,0,0.0,10,76.9,0,0.0,7,70.0,<--,Oberon,1,3.3,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
MoLong,2,6.7,1,50.0,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,MoLong,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Ragdoll,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Ragdoll,8,26.7,5,62.5,0,0.0,6,75.0,1,12.5,1,12.5,1,100.0,0,0.0
Seara,20,66.7,10,50.0,10,50.0,0,0.0,11,55.0,0,0.0,7,63.6,0,0.0,<--,Seara,7,23.3,6,85.7,5,71.4,2,28.6,4,57.1,0,0.0,0,0.0,0,0.0
Molly,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Molly,10,33.3,7,70.0,0,0.0,0,0.0,1,10.0,1,10.0,0,0.0,1,100.0
SonZhangLao,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,SonZhangLao,2,6.7,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Cheongpung,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Cheongpung,4,13.3,1,25.0,0,0.0,2,50.0,0,0.0,0,0.0,0,0.0,0,0.0
Chiwu,19,63.3,14,73.7,13,68.4,4,21.1,0,0.0,1,5.3,0,0.0,0,0.0,<--,Chiwu,5,16.7,3,60.0,3,60.0,1,20.0,1,20.0,0,0.0,1,100.0,0,0.0
Juno,14,46.7,10,71.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Juno,5,16.7,4,80.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Vigor,12,40.0,7,58.3,0,0.0,2,16.7,0,0.0,0,0.0,0,0.0,0,0.0,<--,Vigor,3,10.0,2,66.7,0,0.0,0,0.0,0,0.0,1,33.3,0,0.0,0,0.0
Fran,5,16.7,4,80.0,0,0.0,1,20.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Fran,8,26.7,5,62.5,4,50.0,0,0.0,1,12.5,0,0.0,1,100.0,0,0.0
Vanessa,1,3.3,1,100.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Vanessa,7,23.3,6,85.7,5,71.4,2,28.6,2,28.6,1,14.3,0,0.0,0,0.0
Yeonhong,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Yeonhong,2,6.7,2,100.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Masha,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Masha,4,13.3,3,75.0,0,0.0,1,25.0,0,0.0,2,50.0,0,0.0,0,0.0
Taranys,1,3.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Taranys,1,3.3,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Velajuel,4,13.3,2,50.0,1,25.0,0,0.0,0,0.0,1,25.0,0,0.0,0,0.0,<--,Velajuel,2,6.7,1,50.0,1,50.0,0,0.0,1,50.0,1,50.0,1,100.0,0,0.0
Bulldozer,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Bulldozer,1,3.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Rica,2,6.7,1,50.0,0,0.0,2,100.0,0,0.0,2,100.0,0,0.0,1,50.0,<--,Rica,3,10.0,1,33.3,0,0.0,0,0.0,0,0.0,1,33.3,0,0.0,1,100.0
Wedjat,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Wedjat,1,3.3,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0
Giana,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Giana,4,13.3,4,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Gurkha/DarkM.BISON1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Gurkha/DarkM.BISON1,1,3.3,1,100.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Verdehile,3,10.0,1,33.3,0,0.0,3,100.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Verdehile,5,16.7,2,40.0,0,0.0,4,80.0,1,20.0,0,0.0,1,100.0,0,0.0
Savannah,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Savannah,11,36.7,6,54.5,0,0.0,2,18.2,0,0.0,1,9.1,0,0.0,0,0.0
Mina,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Mina,2,6.7,1,50.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0
Anavel,4,13.3,4,100.0,0,0.0,1,25.0,0,0.0,3,75.0,0,0.0,3,100.0,<--,Anavel,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
ShiHou,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,ShiHou,1,3.3,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Daphnis,4,13.3,3,75.0,0,0.0,1,25.0,0,0.0,1,25.0,0,0.0,0,0.0,<--,Daphnis,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Abellio,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Abellio,1,3.3,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Artamiel,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Artamiel,3,10.0,3,100.0,2,66.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Asima,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Asima,1,3.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Jager,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Jager,1,3.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
MeiHouWang,1,3.3,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,MeiHouWang,1,3.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Chichi,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Chichi,1,3.3,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
XingZhe,1,3.3,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,XingZhe,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Hathor,2,6.7,2,100.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Hathor,2,6.7,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Moore/WaterRYU1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Moore/WaterRYU1,2,6.7,1,50.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0
Elucia,1,3.3,1,100.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Elucia,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Woosa,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Woosa,2,6.7,2,100.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0
FengYan,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,FengYan,1,3.3,1,100.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0
Moore/WaterRYU,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Moore/WaterRYU,1,3.3,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Leo,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Leo,3,10.0,2,66.7,0,0.0,2,66.7,0,0.0,0,0.0,0,0.0,0,0.0
Triana,1,3.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Triana,1,3.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Laika,1,3.3,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Laika,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Miho,1,3.3,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Miho,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
